familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia bigibbosa,-83.009977,9.032985,19.27499993642171,273.5833333333333
Melastomataceae,Miconia bigibbosa,-83,9.02,19.47500006357829,285.1666666666667
Melastomataceae,Miconia bigibbosa,-84.068889,9.583889,20.174999872843426,270.75
Melastomataceae,Miconia bigibbosa,-83.113611,9.101389,20.950000286102295,261.6666666666667
Melastomataceae,Miconia bigibbosa,-83.1153,9.103987,20.950000286102295,261.6666666666667
Melastomataceae,Miconia bigibbosa,-83.7642,9.2947,21.033333619435627,252.33333333333334
Melastomataceae,Miconia bigibbosa,-83.6,9.39,19.97500006357829,248.33333333333334
Melastomataceae,Miconia bigibbosa,-83.6,9.39,19.97500006357829,248.33333333333334
Melastomataceae,Miconia bigibbosa,-84.01667,9.481944,23.21666653951009,252.16666666666666
Melastomataceae,Miconia bigibbosa,-84.016667,9.481944,23.21666653951009,252.16666666666666
Melastomataceae,Miconia bigibbosa,-82.96,8.78,20.333333333333332,230.16666666666666
Melastomataceae,Miconia bigibbosa,-83.0125,9.026389,19.27499993642171,273.5833333333333
Melastomataceae,Miconia bigibbosa,-82.961389,8.783056,20.333333333333332,230.16666666666666
Melastomataceae,Miconia bigibbosa,-82.964502,9.031997,16.416666587193806,271.9166666666667
Melastomataceae,Miconia bigibbosa,-83.008169,9.027104,18.833333333333332,275.75
Melastomataceae,Miconia bigibbosa,-84.06,9.58,19.46666669845581,251.75
Melastomataceae,Miconia bigibbosa,-84.068889,9.583889,20.174999872843426,270.75
Melastomataceae,Miconia bigibbosa,-83.76,9.29,20.983333428700764,236.41666666666666
Melastomataceae,Miconia bigibbosa,-83.76,9.29,20.983333428700764,236.41666666666666
Melastomataceae,Miconia bigibbosa,-83.77,9.31,21.533333619435627,239.75
Melastomataceae,Miconia bigibbosa,-83.77,9.31,21.533333619435627,239.75
Melastomataceae,Miconia bigibbosa,-83.764167,9.294722,21.033333619435627,252.33333333333334
Melastomataceae,Miconia bigibbosa,-83.771944,9.311944,21.533333619435627,239.75
Melastomataceae,Miconia bigibbosa,-82.83,8.93,18.88333336512248,234.91666666666666
Melastomataceae,Miconia bigibbosa,-82.83,8.93,18.88333336512248,234.91666666666666
Melastomataceae,Miconia bigibbosa,-82.959505,8.795077,20.983333269755047,239.91666666666666
Melastomataceae,Miconia bigibbosa,-82.96113,8.78436,20.6833332379659,222.83333333333334
Melastomataceae,Miconia bigibbosa,-82.958056,8.785556,20.40833330154419,226.41666666666666
Melastomataceae,Miconia bigibbosa,-83.115272,9.103987,20.950000286102295,261.6666666666667
Melastomataceae,Miconia bigibbosa,-83.608333,9.391667,19.84166669845581,218.91666666666666
Melastomataceae,Miconia bigibbosa,-83.595278,9.389722,19.97500006357829,248.33333333333334
Melastomataceae,Miconia bigibbosa,-83.0125,9.026389,19.27499993642171,273.5833333333333
Melastomataceae,Miconia bigibbosa,-82.964444,9.031945,16.416666587193806,271.9166666666667
Melastomataceae,Miconia bigibbosa,-83.015533,9.032985,19.27499993642171,273.5833333333333
Melastomataceae,Miconia bigibbosa,-83.1136,9.1014,20.950000286102295,261.6666666666667
Melastomataceae,Miconia bigibbosa,-84.195833,9.672222,20.52500009536743,252.91666666666666
Melastomataceae,Miconia bigibbosa,-84.05,9.56,21.575000127156574,230.83333333333334
Melastomataceae,Miconia bigibbosa,-83.85,9.47,20.40833346048991,252.58333333333334
Melastomataceae,Miconia bigibbosa,-82.95,8.78,20.88333336512248,241
Melastomataceae,Miconia bigibbosa,-83.640555,9.395,20.866666793823242,210.83333333333334
Melastomataceae,Miconia bigibbosa,-82.9765,8.783944,19.425000031789143,227.66666666666666
Melastomataceae,Miconia bigibbosa,-82.96113,8.78436,20.6833332379659,222.83333333333334
Melastomataceae,Miconia bigibbosa,-82.959097,8.785139,20.6833332379659,222.83333333333334
Melastomataceae,Miconia bigibbosa,-82.958139,8.785806,20.40833330154419,226.41666666666666
Melastomataceae,Miconia bigibbosa,-82.848972,8.950472,18.05833355585734,253.75
Melastomataceae,Miconia bigibbosa,-82.840583,8.921222,19.52500009536743,239.41666666666666
