familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia brenesii,-84.483333,10.15,20.491666793823242,261.1666666666667
Melastomataceae,Miconia brenesii,-84.48,10.15,20.491666793823242,261.1666666666667
Melastomataceae,Miconia brenesii,-84.5,10.366667,25.641667048136394,281.0833333333333
Melastomataceae,Miconia brenesii,-84.5,10.36,25.666667143503826,287.0833333333333
Melastomataceae,Miconia brenesii,-84.5,10.36,25.666667143503826,287.0833333333333
Melastomataceae,Miconia brenesii,-84.58,10.15,18.71666653951009,211.08333333333334
Melastomataceae,Miconia brenesii,-84.583333,10.158333,18.75,253.08333333333334
Melastomataceae,Miconia brenesii,-84.56,10.15,19.27499993642171,242.75
Melastomataceae,Miconia brenesii,-84.117778,10.236389,18.700000286102295,250.58333333333334
Melastomataceae,Miconia brenesii,-83.95,9.76,17.65000009536743,194.75
Melastomataceae,Miconia brenesii,-84.9903,10.6714,20.208333333333332,289.4166666666667
Melastomataceae,Miconia brenesii,-84.5861,10.2167,21.65833314259847,280.5833333333333
Melastomataceae,Miconia brenesii,-85.036806,10.722937,23.05833339691162,280
Melastomataceae,Miconia brenesii,-84.48,10.13,21.06666660308838,213.08333333333334
Melastomataceae,Miconia brenesii,-85.03681,10.722937,23.05833339691162,280
Melastomataceae,Miconia brenesii,-82.958944,9.023611,17.800000031789143,262.9166666666667
Melastomataceae,Miconia brenesii,-82.25,8.766667,17.75000015894572,302.0833333333333
Melastomataceae,Miconia brenesii,-84.95,10.81,26.25833336512248,241.66666666666666
Melastomataceae,Miconia brenesii,-84.45,10.816667,25.93333355585734,257.4166666666667
Melastomataceae,Miconia brenesii,-85.05,10.733333,23.733333110809326,281
Melastomataceae,Miconia brenesii,-84.80055,10.30944,18.28333330154419,196.58333333333334
Melastomataceae,Miconia brenesii,-83.2802,9.605389,18.524999777475994,235
Melastomataceae,Miconia brenesii,-83.280167,9.605389,18.524999777475994,235
Melastomataceae,Miconia brenesii,-83.186389,9.459444,21.40833346048991,246.58333333333334
Melastomataceae,Miconia brenesii,-84.616667,10.216667,21.391666889190674,287.25
Melastomataceae,Miconia brenesii,-85.486389,10.893889,23.824999968210857,159.83333333333334
Melastomataceae,Miconia brenesii,-82.508056,9.257222,24.258333206176758,238.66666666666666
Melastomataceae,Miconia brenesii,-82.505833,9.254722,24.258333206176758,238.66666666666666
Melastomataceae,Miconia brenesii,-82.50265,9.26182,24.791666507720947,238.58333333333334
Melastomataceae,Miconia brenesii,-85.05,10.733333,23.733333110809326,281
Melastomataceae,Miconia brenesii,-85.05,10.73,23.733333110809326,281
Melastomataceae,Miconia brenesii,-84.5,10.175,20.56666660308838,288.25
Melastomataceae,Miconia brenesii,-84.5,10.175,20.56666660308838,288.25
Melastomataceae,Miconia brenesii,-84.816667,10.316667,18.958333174387615,202.83333333333334
Melastomataceae,Miconia brenesii,-84.80055,10.30944,18.28333330154419,196.58333333333334
Melastomataceae,Miconia brenesii,-84.793056000000007,10.258333,19.99166663487752,211.75
Melastomataceae,Miconia brenesii,-84.79,10.25,20.40833330154419,211.08333333333334
Melastomataceae,Miconia brenesii,-84.5278,10.2972,24.266666730244953,303.4166666666667
Melastomataceae,Miconia brenesii,-84.99583,10.720833,22.9333332379659,275.9166666666667
Melastomataceae,Miconia brenesii,-84.45,10.81,25.916666825612385,255.25
Melastomataceae,Miconia brenesii,-84.95,10.816667,26.25833336512248,227.58333333333334
Melastomataceae,Miconia brenesii,-84.995833,10.720833,22.9333332379659,275.9166666666667
Melastomataceae,Miconia brenesii,-84.995833,10.720833,22.9333332379659,275.9166666666667
Melastomataceae,Miconia brenesii,-84.61,10.21,20.09999990463257,285.6666666666667
Melastomataceae,Miconia brenesii,-85.470834,10.929167,20.908333619435627,180.91666666666666
Melastomataceae,Miconia brenesii,-85.469445,10.928611,20.908333619435627,180.91666666666666
Melastomataceae,Miconia brenesii,-85.486389,10.893889,23.824999968210857,159.83333333333334
Melastomataceae,Miconia brenesii,-85.47,10.92,21.233333269755047,180.66666666666666
Melastomataceae,Miconia brenesii,-85.469445,10.928611,20.908333619435627,180.91666666666666
Melastomataceae,Miconia brenesii,-85.4,11.033333,24.61666663487752,230.91666666666666
Melastomataceae,Miconia brenesii,-85.438889,10.972222,21.46666653951009,257.5833333333333
Melastomataceae,Miconia brenesii,-85.408334,11.033333,24.641666571299236,230.25
Melastomataceae,Miconia brenesii,-82.96634,9.023862,17.800000031789143,262.9166666666667
Melastomataceae,Miconia brenesii,-84.586111,10.216667,21.65833314259847,280.5833333333333
Melastomataceae,Miconia brenesii,-84.588889,10.216667,21.65833314259847,280.5833333333333
Melastomataceae,Miconia brenesii,-85.40139,10.880556,23.00833336512248,225.33333333333334
Melastomataceae,Miconia brenesii,-85.401389,10.880556,23.00833336512248,225.33333333333334
Melastomataceae,Miconia brenesii,-85.459903,10.930121,19.958333174387615,198.58333333333334
Melastomataceae,Miconia brenesii,-82.966337,9.023862,17.800000031789143,262.9166666666667
Melastomataceae,Miconia brenesii,-85.464477,10.930104,19.958333174387615,198.58333333333334
Melastomataceae,Miconia brenesii,-83.16813,9.8132,19.824999968210857,312.5
Melastomataceae,Miconia brenesii,-83.16788,9.80516,18.974999745686848,340.9166666666667
Melastomataceae,Miconia brenesii,-83.16371,9.81567,20.52499993642171,320.75
Melastomataceae,Miconia brenesii,-83.16832,9.81301,19.824999968210857,312.5
Melastomataceae,Miconia brenesii,-84.69,10.44,20.924999872843426,297.9166666666667
Melastomataceae,Miconia brenesii,-84.7,10.333333,21.266666571299236,298.25
Melastomataceae,Miconia brenesii,-84.552351,10.169839,19.80833339691162,313.25
Melastomataceae,Miconia brenesii,-84.11583,10.20833,17.108333428700764,263.8333333333333
Melastomataceae,Miconia brenesii,-84.85,10.383333,19.583333333333332,234.58333333333334
Melastomataceae,Miconia brenesii,-84.990278,10.671389,20.208333333333332,289.4166666666667
Melastomataceae,Miconia brenesii,-84.16946,10.174392,16.608333349227905,255.83333333333334
Melastomataceae,Miconia brenesii,-84.69,10.44,20.924999872843426,297.9166666666667
Melastomataceae,Miconia brenesii,-84.6,10.58,25.541666666666668,271.25
Melastomataceae,Miconia brenesii,-84.1125,10.210833,17.458333015441895,258.8333333333333
Melastomataceae,Miconia brenesii,-84.55,10.13,19.85000006357829,233.33333333333334
Melastomataceae,Miconia brenesii,-84.55,10.13,19.85000006357829,233.33333333333334
Melastomataceae,Miconia brenesii,-84.55,10.13,19.85000006357829,233.33333333333334
Melastomataceae,Miconia brenesii,-84.55,10.13,19.85000006357829,233.33333333333334
Melastomataceae,Miconia brenesii,-84.55,10.13,19.85000006357829,233.33333333333334
Melastomataceae,Miconia brenesii,-84.53,10.14,20.4416667620341,236.41666666666666
Melastomataceae,Miconia brenesii,-83.16813,9.8132,19.824999968210857,312.5
Melastomataceae,Miconia brenesii,-83.16167,9.82416,21.583333333333332,318.3333333333333
Melastomataceae,Miconia brenesii,-83.1637,9.81567,20.52499993642171,320.75
Melastomataceae,Miconia brenesii,-83.1679,9.80516,18.974999745686848,340.9166666666667
Melastomataceae,Miconia brenesii,-84.160556,10.143056,15.899999777475992,205.75
Melastomataceae,Miconia brenesii,-83.16167,9.82416,21.583333333333332,318.3333333333333
Melastomataceae,Miconia brenesii,-84.80555,10.31388,18.28333330154419,196.58333333333334
Melastomataceae,Miconia brenesii,-84.816667,10.316667,18.958333174387615,202.83333333333334
Melastomataceae,Miconia brenesii,-84.833333,10.8,26.366666793823242,241
Melastomataceae,Miconia brenesii,-84.833333,10.8,26.366666793823242,241
