familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia brevitheca,-78.666667,-0.166667,12.383333285649618,83.91666666666667
Melastomataceae,Miconia brevitheca,-78.666667,0.166667,19.641666889190674,158.83333333333334
Melastomataceae,Miconia brevitheca,-78.56722,-0.12407,7.441666642824809,84.25
Melastomataceae,Miconia brevitheca,-78.62804,-0.1175,11.84166661898295,89.58333333333333
Melastomataceae,Miconia brevitheca,-78.62804,-0.1175,11.84166661898295,89.58333333333333
Melastomataceae,Miconia brevitheca,-78.62804,-0.1175,11.84166661898295,89.58333333333333
Melastomataceae,Miconia brevitheca,-78.62804,-0.1175,11.84166661898295,89.58333333333333
Melastomataceae,Miconia brevitheca,-78.75,0.233,21.78333346048991,116
Melastomataceae,Miconia brevitheca,-83.78333,9.75556,18.699999968210857,246.16666666666666
Melastomataceae,Miconia brevitheca,-82.95894,9.02361,17.800000031789143,262.9166666666667
Melastomataceae,Miconia brevitheca,-78.802778,-0.231389,15.466666539510092,137.08333333333334
Melastomataceae,Miconia brevitheca,-78.833333,-0.333333,18.25000015894572,204.66666666666666
Melastomataceae,Miconia brevitheca,-78.833333,-0.25,15.758333524068197,152.08333333333334
Melastomataceae,Miconia brevitheca,-78.1869,-1.4628,18.10000006357829,196.5
Melastomataceae,Miconia brevitheca,-77.586667,0.488333,12.366666793823242,108.66666666666667
Melastomataceae,Miconia brevitheca,-78.6667,-0.1667,12.383333285649618,83.91666666666667
Melastomataceae,Miconia brevitheca,-77.586667,0.488333,12.366666793823242,108.66666666666667
Melastomataceae,Miconia brevitheca,-84.75,10.333333,18.43333371480306,275.9166666666667
Melastomataceae,Miconia brevitheca,-85,10.716667,22.9333332379659,275.9166666666667
Melastomataceae,Miconia brevitheca,-83.941667,10.155556,23.758333206176758,305.5
Melastomataceae,Miconia brevitheca,-83.189722,8.817222,21.966667016347248,271.1666666666667
Melastomataceae,Miconia brevitheca,-82.956944,9.022222,17.699999809265137,282.4166666666667
Melastomataceae,Miconia brevitheca,-84.990278,10.671389,20.208333333333332,289.4166666666667
Melastomataceae,Miconia brevitheca,-83.833333,9.744444,17.699999809265137,217.66666666666666
Melastomataceae,Miconia brevitheca,-83.781053,9.750811,18.699999968210857,246.16666666666666
Melastomataceae,Miconia brevitheca,-83.783333,9.755556,18.699999968210857,246.16666666666666
Melastomataceae,Miconia brevitheca,-83.986681,10.058516,19.641666730244953,278.9166666666667
Melastomataceae,Miconia brevitheca,-83.783334,9.755556,19.074999809265137,244.08333333333334
Melastomataceae,Miconia brevitheca,-82.958944,9.023611,17.800000031789143,262.9166666666667
Melastomataceae,Miconia brevitheca,-77.39997,1.73971,16.949999809265137,146.66666666666666
Melastomataceae,Miconia brevitheca,-76.04984,6.19515,16.408333619435627,200.16666666666666
Melastomataceae,Miconia brevitheca,-74.96973,5.25006,21.96666685740153,206.41666666666666
Melastomataceae,Miconia brevitheca,-78.8,-0.216667,16.316667079925537,165.75
Melastomataceae,Miconia brevitheca,-78.83,-0.333333,18.25000015894572,204.66666666666666
Melastomataceae,Miconia brevitheca,-77.7,7.95,21.141666571299236,187.91666666666666
Melastomataceae,Miconia brevitheca,-77.48333,-1.9,23.733333587646484,319
Melastomataceae,Miconia brevitheca,-79.16666,-0.86666,22.5666667620341,219.58333333333334
Melastomataceae,Miconia brevitheca,-78.75,0.23333,21.78333346048991,116
Melastomataceae,Miconia brevitheca,-79.3,-0.61666,22.30833339691162,219.33333333333334
Melastomataceae,Miconia brevitheca,-79.033333,0.083333,22.125,180.58333333333334
Melastomataceae,Miconia brevitheca,-79.03333,0.08333,22.125,180.58333333333334
Melastomataceae,Miconia brevitheca,-78.802778,-0.231389,15.466666539510092,137.08333333333334
