familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia elata,-70.016667,9.033333,26.733333269755047,110.25
Melastomataceae,Miconia elata,-83.766667,9.294444,22.69166644414266,271.5833333333333
Melastomataceae,Miconia elata,-72.916667,-3.333333,26.31666660308838,261.75
Melastomataceae,Miconia elata,-85.15,14.383333,25.25,184.83333333333334
Melastomataceae,Miconia elata,-94.516667,17.233333,24.89999993642171,282
Melastomataceae,Miconia elata,-84.166667,10.7,25.88333336512248,289.9166666666667
Melastomataceae,Miconia elata,-76.216667,-0.95,25.18333339691162,274
Melastomataceae,Miconia elata,-77.566667,-0.716667,20.69166644414266,321.0833333333333
Melastomataceae,Miconia elata,-79.916667,8.666667,23.96666653951009,190.16666666666666
Melastomataceae,Miconia elata,-83.09632,9.070655,22.133333047231037,244.66666666666666
Melastomataceae,Miconia elata,-76.350505,5.96746,25.108333428700764,458.9166666666667
Melastomataceae,Miconia elata,-76.5,-0.8,25.050000031789143,284.25
Melastomataceae,Miconia elata,-54.928611,-3.052778,25.9333332379659,153.66666666666666
Melastomataceae,Miconia elata,-60.058333,-1.989444,26.34166669845581,209.33333333333334
Melastomataceae,Miconia elata,-62.089167,-1.028611,26.358333269755047,222
Melastomataceae,Miconia elata,-76.383333,-0.516667,25.241666316986084,273.3333333333333
Melastomataceae,Miconia elata,-76.383333,-0.516667,25.241666316986084,273.3333333333333
Melastomataceae,Miconia elata,-72.05278,-0.74688,26.391666571299236,229.41666666666666
Melastomataceae,Miconia elata,-71.89367,-0.775,26.34999990463257,232.08333333333334
Melastomataceae,Miconia elata,-72.04972,-0.7468,26.358333428700764,229.58333333333334
Melastomataceae,Miconia elata,-74.26667,1.08389,25.550000349680584,223.16666666666666
Melastomataceae,Miconia elata,-76.48,1.02,24.958333174387615,335.5
Melastomataceae,Miconia elata,-72.31083,2.68667,27.633333206176758,233.08333333333334
Melastomataceae,Miconia elata,-74.1674,2.6857,25.366666793823242,189.41666666666666
Melastomataceae,Miconia elata,-72.66083,2.49408,27.616666793823242,232.66666666666666
Melastomataceae,Miconia elata,-71.65,-1.2,26.074999968210857,239.5
Melastomataceae,Miconia elata,-70.21881,-2.5280300000000002,26.40833330154419,259.3333333333333
Melastomataceae,Miconia elata,-76.64966,1.12637,23.858333428700764,355.1666666666667
Melastomataceae,Miconia elata,-72.800002,2.433337,27.62499984105428,224.25
Melastomataceae,Miconia elata,-72.619722,0.498694,26.291666666666668,224.25
Melastomataceae,Miconia elata,-72.54222,2.53333,27.85000006357829,228.5
Melastomataceae,Miconia elata,-75.67,1.62,24.99166663487752,262.25
Melastomataceae,Miconia elata,-75.65667,1.65,24.008333206176758,234.83333333333334
Melastomataceae,Miconia elata,-75.521278,1.499639,25.6833332379659,285.6666666666667
Melastomataceae,Miconia elata,-72.69603,2.52694,27.916666507720947,232.33333333333334
Melastomataceae,Miconia elata,-73.365806,2.887167,26.449999968210857,222.66666666666666
Melastomataceae,Miconia elata,-68.006111,4.486944,27.391666730244953,240.25
Melastomataceae,Miconia elata,-70.275117,4.836017,26.983333587646484,233.25
Melastomataceae,Miconia elata,-76.631444,1.076278,23.96666669845581,353.8333333333333
Melastomataceae,Miconia elata,-75.656278,1.499944,25.608333269755047,275.9166666666667
Melastomataceae,Miconia elata,-75.733611,1.390833,25.416666666666668,291.75
Melastomataceae,Miconia elata,-69.787083,-2.870694,26.608333428700764,249.91666666666666
Melastomataceae,Miconia elata,-73.936528,3.3515,25.233333269755047,238.33333333333334
Melastomataceae,Miconia elata,-73.424472,2.822944,26.550000031789143,213.08333333333334
Melastomataceae,Miconia elata,-77.080958,0.674725,22.224999745686848,288.75
Melastomataceae,Miconia elata,-73.72,2.72,26.249999682108562,196.08333333333334
Melastomataceae,Miconia elata,-72.5,2.45,27.641666730244953,229.33333333333334
Melastomataceae,Miconia elata,-75.678236,1.739,21.641666730244953,166.16666666666666
Melastomataceae,Miconia elata,-71.613111,6.21,26.233333428700764,165.66666666666666
Melastomataceae,Miconia elata,-73.9,2.33,25.43333339691162,209.58333333333334
Melastomataceae,Miconia elata,-73.598689,3.888925,25.450000127156574,286.0833333333333
Melastomataceae,Miconia elata,-73.055278,2.0225,26.358333269755047,207.66666666666666
Melastomataceae,Miconia elata,-75.905056,1.672056,20.9416667620341,184.5
Melastomataceae,Miconia elata,-75.903667,1.626694,22.791666507720947,208.5
Melastomataceae,Miconia elata,-74.275,1.091944,25.575000286102295,221.41666666666666
Melastomataceae,Miconia elata,-95.064722,18.484722,24.46666653951009,175.58333333333334
Melastomataceae,Miconia elata,-76.861694,5.108222,26.391666730244953,614.1666666666666
Melastomataceae,Miconia elata,-63.4,3.33,25.266666730244953,210.58333333333334
Melastomataceae,Miconia elata,-65.216667,2.95,26.983333428700764,219.08333333333334
Melastomataceae,Miconia elata,-83.833,14.5,24.683333079020183,227.33333333333334
Melastomataceae,Miconia elata,-94.588055,17.2125,25.25,298.4166666666667
Melastomataceae,Miconia elata,-91.698333,17.33,26.141666571299236,204.08333333333334
Melastomataceae,Miconia elata,-94.516667,17.233333,24.89999993642171,282
Melastomataceae,Miconia elata,-91.41574428,17.02658481,24.175000031789143,192.66666666666666
Melastomataceae,Miconia elata,-90.90257383,16.14520428,25.87500015894572,250.08333333333334
Melastomataceae,Miconia elata,-90.900555,16.147778,25.87500015894572,250.08333333333334
Melastomataceae,Miconia elata,-95.064722,18.484722,24.46666653951009,175.58333333333334
Melastomataceae,Miconia elata,-83.100021,22.766652,22.774999777475994,135.25
Melastomataceae,Miconia elata,-75.483362,20.528286,21.133333524068195,137.25
Melastomataceae,Miconia elata,-88.4975,16.37306,25.741666793823242,212
Melastomataceae,Miconia elata,-64.37,4.05,24.03333346048991,242.41666666666666
Melastomataceae,Miconia elata,-53.5,1.5,25.324999968210857,190.25
Melastomataceae,Miconia elata,-53.5,1.5,25.324999968210857,190.25
Melastomataceae,Miconia elata,-84.066667,14.65,24.65000009536743,229
Melastomataceae,Miconia elata,-75.765,1.391389,25.391666730244953,291.5
Melastomataceae,Miconia elata,-82.844333,8.912333,19.94166644414266,236.83333333333334
Melastomataceae,Miconia elata,-83.083333,9.066667,21.3166667620341,234.08333333333334
Melastomataceae,Miconia elata,-53.5,1.5,25.324999968210857,190.25
Melastomataceae,Miconia elata,-53.5,1.5,25.324999968210857,190.25
Melastomataceae,Miconia elata,-63.4,3.333333,25.266666730244953,210.58333333333334
Melastomataceae,Miconia elata,-75.083333,8.066667,27.700000286102295,185.91666666666666
Melastomataceae,Miconia elata,-90.778217,16.603717,25.72500006357829,241.83333333333334
Melastomataceae,Miconia elata,-49.283333,-0.15,NA,NA
Melastomataceae,Miconia elata,-80.1197,21.94917,20.0666667620341,131.91666666666666
Melastomataceae,Miconia elata,-75.037216,20.339321,21.46666653951009,139.66666666666666
Melastomataceae,Miconia elata,-61.3,10.78333,25.97500006357829,161.25
Melastomataceae,Miconia elata,-88.32388,17.09944,25.916666666666668,183.58333333333334
Melastomataceae,Miconia elata,-79.85,9.15,26.358333428700764,200.33333333333334
Melastomataceae,Miconia elata,-74,1,25.65000009536743,217.41666666666666
Melastomataceae,Miconia elata,-73.6662,4.0677,25.024999777475994,283.3333333333333
Melastomataceae,Miconia elata,-83.5,9.25,23.56666660308838,227
Melastomataceae,Miconia elata,-89.208,15.417,26.916666666666668,201.25
Melastomataceae,Miconia elata,-89,15.25,26.09166685740153,166.41666666666666
Melastomataceae,Miconia elata,-79.83611,9.1625,26.30833339691162,215.33333333333334
Melastomataceae,Miconia elata,-64.940057,-9.622332,26.38333336512248,148.33333333333334
Melastomataceae,Miconia elata,-76.387532,18.029838,24.0583332379659,179
Melastomataceae,Miconia elata,-97.00472,18.89388,21.09166653951009,119.91666666666667
Melastomataceae,Miconia elata,-72.70611,5.29416,23.233333269755047,247.83333333333334
Melastomataceae,Miconia elata,-52.63,2.45,25.875,209.16666666666666
Melastomataceae,Miconia elata,-52.34,3.17,25.916666825612385,234
Melastomataceae,Miconia elata,-83.95,14.38333,24.77500009536743,225.91666666666666
Melastomataceae,Miconia elata,-79.83444,9.17333,26.458333333333332,228.83333333333334
Melastomataceae,Miconia elata,-79.383611,9.220833,22.233333269755047,260.75
Melastomataceae,Miconia elata,-73.638163,3.170203,26.3083332379659,233.33333333333334
Melastomataceae,Miconia elata,-63.4,-0.333333,26.549999872843426,206
Melastomataceae,Miconia elata,-63.4,3.33,25.266666730244953,210.58333333333334
Melastomataceae,Miconia elata,-63.4,3.333333,25.266666730244953,210.58333333333334
Melastomataceae,Miconia elata,-63.05,3.416667,25.68333339691162,214.83333333333334
Melastomataceae,Miconia elata,-79.72916,9.00138,26.208333333333332,204.41666666666666
Melastomataceae,Miconia elata,-91.09,16.11,25.75,229.41666666666666
Melastomataceae,Miconia elata,-88.616667,17.083333,24.825000127156574,168.41666666666666
Melastomataceae,Miconia elata,-84.01,10.43,25.949999809265137,317.4166666666667
Melastomataceae,Miconia elata,-66.101475,-2.50117,26.61666663487752,225.75
Melastomataceae,Miconia elata,-66.101389,-2.501111,26.61666663487752,225.75
Melastomataceae,Miconia elata,-66.01666,-2.53333,26.483333269755047,235.16666666666666
Melastomataceae,Miconia elata,-66,3.5,26.991666952768963,291.1666666666667
Melastomataceae,Miconia elata,-64.6,3.81,24.10000006357829,248.66666666666666
Melastomataceae,Miconia elata,-88.566667,17.05,24.266666730244953,169.33333333333334
Melastomataceae,Miconia elata,-79.79222,9.21222,26.233333428700764,182.33333333333334
Melastomataceae,Miconia elata,-84,9.6667,17.50833336512248,180.33333333333334
Melastomataceae,Miconia elata,-75.05,7.21666,23.583333492279053,270.3333333333333
Melastomataceae,Miconia elata,-75.0003,7.17056,25.949999968210857,291.9166666666667
Melastomataceae,Miconia elata,-75.000275,7.170556,25.949999968210857,291.9166666666667
Melastomataceae,Miconia elata,-73.41858923,10.59944392,23.88333336512248,125.08333333333333
Melastomataceae,Miconia elata,-84.125,14.675,24.916666507720947,226.75
Melastomataceae,Miconia elata,-83.61666,9.33333,22.90833346048991,229
Melastomataceae,Miconia elata,-83.833336,14.05,25.074999809265137,223.25
Melastomataceae,Miconia elata,-83.833333,14.5,24.683333079020183,227.33333333333334
Melastomataceae,Miconia elata,-87.935278,14.969167,24.508333683013916,193.5
Melastomataceae,Miconia elata,-84.03,10.43,25.858332951863606,310.9166666666667
Melastomataceae,Miconia elata,-84.00361,10.43138,26.008333206176758,307.9166666666667
Melastomataceae,Miconia elata,-72.33333,11.01666,25.391666571299236,91.16666666666667
Melastomataceae,Miconia elata,-71.47,7.68,26.733333428700764,172
Melastomataceae,Miconia elata,-94.52,17.23,24.89999993642171,282
Melastomataceae,Miconia elata,-91.571667,16.11,21.424999872843426,238.66666666666666
Melastomataceae,Miconia elata,-84.8,13.68333,25.78333346048991,182.75
Melastomataceae,Miconia elata,-84.00361,10.43138,26.008333206176758,307.9166666666667
Melastomataceae,Miconia elata,-76.38333,-0.51666,25.175000190734863,274
Melastomataceae,Miconia elata,-76.383,-0.516,25.175000190734863,274
Melastomataceae,Miconia elata,-76.38,-0.52,25.241666316986084,273.3333333333333
Melastomataceae,Miconia elata,-70.02,9.03,26.733333269755047,110.25
Melastomataceae,Miconia elata,-70.01666,9.03333,26.791666666666668,111.83333333333333
Melastomataceae,Miconia elata,-87.93,14.958056,23.925000190734863,192.5
Melastomataceae,Miconia elata,-76.383,-0.516,25.175000190734863,274
Melastomataceae,Miconia elata,-84.00361,10.43138,26.008333206176758,307.9166666666667
Melastomataceae,Miconia elata,-83.083333,9.066667,21.3166667620341,234.08333333333334
Melastomataceae,Miconia elata,-83.08,9.06,21.93333339691162,244.16666666666666
Melastomataceae,Miconia elata,-83.08,9.07,21.3166667620341,234.08333333333334
Melastomataceae,Miconia elata,-53.5,0.5,25.1916667620341,192.75
Melastomataceae,Miconia elata,-53.5,1.5,25.324999968210857,190.25
Melastomataceae,Miconia elata,-90.91,16.12,25.90833330154419,251
Melastomataceae,Miconia elata,-90.90027,16.13111,25.875,251.66666666666666
Melastomataceae,Miconia elata,-73.42,-3.8,26.21666669845581,225.5
Melastomataceae,Miconia elata,-52.7,4.03,25.6916667620341,249.58333333333334
Melastomataceae,Miconia elata,-77.02,-0.43,24.86666663487752,297.0833333333333
Melastomataceae,Miconia elata,-77,-0.433333,24.891666571299236,298.6666666666667
