familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia longifolia,-77.983333,1.15,17.46666685740153,135.83333333333334
Melastomataceae,Miconia longifolia,-77.983333,1.15,17.46666685740153,135.83333333333334
Melastomataceae,Miconia longifolia,-77.983333,1.316667,18.25,165.41666666666666
Melastomataceae,Miconia longifolia,-77.983333,1.316667,18.25,165.41666666666666
Melastomataceae,Miconia longifolia,-77.983333,1.15,17.46666685740153,135.83333333333334
Melastomataceae,Miconia longifolia,-77.983333,1.316667,18.25,165.41666666666666
Melastomataceae,Miconia longifolia,-76.173528,4.571028,17.708333333333332,173.08333333333334
Melastomataceae,Miconia longifolia,-61.65,8.57,26.391666571299236,130.83333333333334
Melastomataceae,Miconia longifolia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Melastomataceae,Miconia longifolia,-55.41,5.78,26.833333333333332,174.16666666666666
Melastomataceae,Miconia longifolia,-83.7,13.7,25.8166667620341,210.25
Melastomataceae,Miconia longifolia,-88.5,17.01666,25.049999713897705,178.83333333333334
Melastomataceae,Miconia longifolia,-73.24638,-3.76361,26.208333333333332,245.33333333333334
Melastomataceae,Miconia longifolia,-74.5,10,27.725000222524006,109.75
Melastomataceae,Miconia longifolia,-72.5,5.5,23.425000031789143,218.41666666666666
Melastomataceae,Miconia longifolia,-54.36,5.13,26.458333333333332,201.41666666666666
Melastomataceae,Miconia longifolia,-88.544722,17.349722,25.833333651224773,163.66666666666666
Melastomataceae,Miconia longifolia,-63.02222,-7.51638,26.075000127156574,188.16666666666666
Melastomataceae,Miconia longifolia,-76.66666,-6.35,24.96666669845581,128.41666666666666
Melastomataceae,Miconia longifolia,-73,3.5,26.59999990463257,241.5
Melastomataceae,Miconia longifolia,-93.091111,16.793056,23.53333330154419,95
Melastomataceae,Miconia longifolia,-92.65,15.22,27.641666730244953,165.75
Melastomataceae,Miconia longifolia,-83.64083,9.31111,23.40833330154419,240.66666666666666
Melastomataceae,Miconia longifolia,-76,3,7.324999968210856,136.16666666666666
Melastomataceae,Miconia longifolia,-74,1,25.65000009536743,217.41666666666666
Melastomataceae,Miconia longifolia,-88.48333,16.36666,NA,NA
Melastomataceae,Miconia longifolia,-72.6453,4.09856,26.524999777475994,239
Melastomataceae,Miconia longifolia,-55.53,4.95,26.77499993642171,189.16666666666666
Melastomataceae,Miconia longifolia,-79.13333,-2.18333,23.083333492279053,175.5
Melastomataceae,Miconia longifolia,-83.01,9.9,26.37500015894572,249.08333333333334
Melastomataceae,Miconia longifolia,-64.83333,-3.23333,26.71666685740153,238.25
Melastomataceae,Miconia longifolia,-64.83,-3.23,26.71666685740153,238.25
