familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia multispicata,-76.861694,5.108222,26.391666730244953,614.1666666666666
Melastomataceae,Miconia multispicata,-71.894917,6.360389,23.541666507720947,189.08333333333334
Melastomataceae,Miconia multispicata,-73,3.5,26.59999990463257,241.5
Melastomataceae,Miconia multispicata,-70.75,0.25,25.05833339691162,257.25
Melastomataceae,Miconia multispicata,-73,8,15.366666555404663,113.25
Melastomataceae,Miconia multispicata,-73.8779,3.27041,25.800000031789143,257.8333333333333
Melastomataceae,Miconia multispicata,-77.81527,18.32388,23.241666793823242,190
Melastomataceae,Miconia multispicata,-76.37166,18.14027,24.38333336512248,188.16666666666666
Melastomataceae,Miconia multispicata,-72.8296,3.05138,27.108333587646484,252.5
Melastomataceae,Miconia multispicata,-72.7821,2.664,27.641666571299236,210.66666666666666
Melastomataceae,Miconia multispicata,-72.587,5.19528,25.558333079020183,222.75
Melastomataceae,Miconia multispicata,-64.37,4.05,24.03333346048991,242.41666666666666
Melastomataceae,Miconia multispicata,-64.37,4.1734,24.61666663487752,250.25
Melastomataceae,Miconia multispicata,-63.575,2.742,23.775000254313152,216.75
Melastomataceae,Miconia multispicata,-63.56,2.7131,23.80833339691162,215.41666666666666
Melastomataceae,Miconia multispicata,-63.55,-4.1677,26.700000127156574,178.33333333333334
Melastomataceae,Miconia multispicata,-63.55,2.7,23.80833339691162,213.16666666666666
Melastomataceae,Miconia multispicata,-84.01,10.43,25.949999809265137,317.4166666666667
Melastomataceae,Miconia multispicata,-79.78444,9.20166,26.15000009536743,196.75
Melastomataceae,Miconia multispicata,-84.01,10.43,25.949999809265137,317.4166666666667
Melastomataceae,Miconia multispicata,-78.936944,9.305556,24.59999990463257,212.16666666666666
Melastomataceae,Miconia multispicata,-68.5,10.26666,22.24166663487752,90.08333333333333
Melastomataceae,Miconia multispicata,-79.40833,9.16694,23.72500006357829,226.16666666666666
Melastomataceae,Miconia multispicata,-84,10.5,26.02499993642171,310.25
Melastomataceae,Miconia multispicata,-83.966667,10.433333,26.075000127156574,310.5
Melastomataceae,Miconia multispicata,-83.96,10.43,26.050000031789143,311
