familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia nutans,-83.9519,10.0114,17.35000006357829,334.6666666666667
Melastomataceae,Miconia nutans,-83.176944,8.815556,20.233333269755047,289.9166666666667
Melastomataceae,Miconia nutans,-76.95,-6.11666,22.391666730244953,119.83333333333333
Melastomataceae,Miconia nutans,-83.64083,9.39361,20.866666793823242,210.83333333333334
Melastomataceae,Miconia nutans,-83.62833,9.39777,20.458333333333332,221.08333333333334
Melastomataceae,Miconia nutans,-74.460501,4.724636,21.008333524068195,176.58333333333334
Melastomataceae,Miconia nutans,-78.15833,-3.18333,22.583333651224773,178.08333333333334
Melastomataceae,Miconia nutans,-82.9,8.88,21.52500009536743,241.83333333333334
Melastomataceae,Miconia nutans,-82.26666,8.75,20.77499993642171,225.5
Melastomataceae,Miconia nutans,-78.13333,-1.46666,20.083333492279053,335.25
Melastomataceae,Miconia nutans,-78.05,-1.48333,19.72499990463257,293.6666666666667
Melastomataceae,Miconia nutans,-78.05,-1.483,19.72499990463257,293.6666666666667
Melastomataceae,Miconia nutans,-78.05,-1.48,19.72499990463257,293.6666666666667
Melastomataceae,Miconia nutans,-77.76666,7.76666,22.425000190734863,251.33333333333334
Melastomataceae,Miconia nutans,-77.71666,7.78333,20.40833346048991,223
Melastomataceae,Miconia nutans,-77.98333,-1.46666,20.983333269755047,369.5833333333333
Melastomataceae,Miconia nutans,-78.13333,-1.46666,20.083333492279053,335.25
Melastomataceae,Miconia nutans,-78.06666,-1.48333,20.233333269755047,340.4166666666667
Melastomataceae,Miconia nutans,-74.5,10,27.725000222524006,109.75
Melastomataceae,Miconia nutans,-73.98,10.98,18.458333174387615,143.83333333333334
Melastomataceae,Miconia nutans,-91.658889,16.078611,19.625,232.25
Melastomataceae,Miconia nutans,-90,15.6667,22.03333330154419,365.1666666666667
Melastomataceae,Miconia nutans,-78.13333,-1.46666,20.083333492279053,335.25
Melastomataceae,Miconia nutans,-83.083333,8.966667,24.55833339691162,201.66666666666666
Melastomataceae,Miconia nutans,-81.768056,8.396389,21.84999990463257,229.83333333333334
Melastomataceae,Miconia nutans,-78.06666,-2.25,21.233333110809326,215.16666666666666
Melastomataceae,Miconia nutans,-77.98333,-1.46666,20.983333269755047,369.5833333333333
Melastomataceae,Miconia nutans,-77.88333,-1.51666,22.083333174387615,362.75
Melastomataceae,Miconia nutans,-76.5125,-8.18416,25.28333314259847,217.16666666666666
Melastomataceae,Miconia nutans,-83.44,9.82,19.99166663487752,270.25
Melastomataceae,Miconia nutans,-83.4075,9.83222,19.916666666666668,256.75
Melastomataceae,Miconia nutans,-85.96666,11.83333,21.03333330154419,158.08333333333334
Melastomataceae,Miconia nutans,-76.58333,-6.4,25.55833355585734,124.5
Melastomataceae,Miconia nutans,-85.5,11.43333,22.96666669845581,200.25
Melastomataceae,Miconia nutans,-85.5,11.433333,22.96666669845581,200.25
Melastomataceae,Miconia nutans,-82.21666,8.7,18.9416667620341,290
Melastomataceae,Miconia nutans,-81.66666,8.58333,18.441666920979817,292
