familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Miconia punctata,-66.617,4.083,27.43333339691162,261.75
Melastomataceae,Miconia punctata,-66.3,4.7,27.608333269755047,252.41666666666666
Melastomataceae,Miconia punctata,-77.16653,3.9442,25.758333206176758,509.75
Melastomataceae,Miconia punctata,-74.14,-9.1839,26.22499990463257,146.33333333333334
Melastomataceae,Miconia punctata,-90.42,15.676667,25.62500015894572,347.75
Melastomataceae,Miconia punctata,-68.183381,-15.400373,23.05833355585734,122.08333333333333
Melastomataceae,Miconia punctata,-90.429413,15.667745,25.616666793823242,346.6666666666667
Melastomataceae,Miconia punctata,-90.1792,15.7422,23.483333428700764,387.5
Melastomataceae,Miconia punctata,-75.483362,20.528286,21.133333524068195,137.25
Melastomataceae,Miconia punctata,-76.064722,20.016407,20.333333333333332,144
Melastomataceae,Miconia punctata,-88.32388,17.09944,25.916666666666668,183.58333333333334
Melastomataceae,Miconia punctata,-88.235830000000007,16.93333,NA,NA
Melastomataceae,Miconia punctata,-74.23333,-1.01666,25.84166669845581,238.83333333333334
Melastomataceae,Miconia punctata,-58.6286,-7.4188,25.916666666666668,178.16666666666666
Melastomataceae,Miconia punctata,-83.64138,9.3925,20.866666793823242,210.83333333333334
Melastomataceae,Miconia punctata,-58.66,1.58,26.083333492279053,146.91666666666666
Melastomataceae,Miconia punctata,-83.66055,9.37166,22.950000286102295,254.83333333333334
Melastomataceae,Miconia punctata,-68.2,-15.41666,23.299999872843426,123.66666666666667
Melastomataceae,Miconia punctata,-68.16666,-15.25,23.166666507720947,126.41666666666667
Melastomataceae,Miconia punctata,-83.7,9.81,22.708333015441895,247.16666666666666
Melastomataceae,Miconia punctata,-74,1,25.65000009536743,217.41666666666666
Melastomataceae,Miconia punctata,-88.61666,16.71666,24.258333206176758,175.5
Melastomataceae,Miconia punctata,-76.5,3.75,19.62500015894572,133.41666666666666
Melastomataceae,Miconia punctata,-92.750833,15.740278,21.93333339691162,219.16666666666666
Melastomataceae,Miconia punctata,-77,6,26.47500006357829,536.25
Melastomataceae,Miconia punctata,-96.141667,18.075,25.983333110809326,220.41666666666666
Melastomataceae,Miconia punctata,-95.225,18.458333,24.800000031789143,177.75
Melastomataceae,Miconia punctata,-83.41,9.2,24.383333524068195,275.9166666666667
Melastomataceae,Miconia punctata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Melastomataceae,Miconia punctata,-52.26884831,-13.55586213,24.741666793823242,132.91666666666666
Melastomataceae,Miconia punctata,-84,9.6667,17.50833336512248,180.33333333333334
Melastomataceae,Miconia punctata,-79.375,9.233889,23.300000031789143,239.16666666666666
Melastomataceae,Miconia punctata,-63.460422,-7.4979189999999996,25.94166644414266,188.5
Melastomataceae,Miconia punctata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Melastomataceae,Miconia punctata,-59.928188,-2.95487,26.358333428700764,192.25
Melastomataceae,Miconia punctata,-77.733333,7.733333,21.299999872843426,230.16666666666666
Melastomataceae,Miconia punctata,-71.54555,7.66527,26.18333339691162,176.41666666666666
Melastomataceae,Miconia punctata,-51.77,-12.82,25.55833339691162,129.33333333333334
Melastomataceae,Miconia punctata,-51.766667,-12.816667,25.55833339691162,129.33333333333334
Melastomataceae,Miconia punctata,-51.76666,-12.81666,25.63333336512248,130.41666666666666
Melastomataceae,Miconia punctata,-64.37,-4.05,26.53333330154419,188
Melastomataceae,Miconia punctata,-64.37,4.05,24.03333346048991,242.41666666666666
Melastomataceae,Miconia punctata,-64.37,4.1734,24.61666663487752,250.25
Melastomataceae,Miconia punctata,-64.36667,4.05,24.03333346048991,242.41666666666666
Melastomataceae,Miconia punctata,-79.7,9.35,25.52499993642171,248.75
Melastomataceae,Miconia punctata,-66.75,3.75,27.300000031789143,266.3333333333333
Melastomataceae,Miconia punctata,-89.06305,15.71555,25.6833332379659,251.83333333333334
Melastomataceae,Miconia punctata,-84.05,14.46666,24.53333330154419,229.83333333333334
Melastomataceae,Miconia punctata,-72.67164576,-7.63455502,25.208333333333332,182.75
Melastomataceae,Miconia punctata,-77.715833,7.9225,21.31666660308838,187.16666666666666
Melastomataceae,Miconia punctata,-73.2325,-3.765,26.199999968210857,231.58333333333334
Melastomataceae,Miconia punctata,-51.883333,-12.833333,25.483333110809326,131.08333333333334
Melastomataceae,Miconia punctata,-51.88,-12.83,25.483333110809326,131.08333333333334
Melastomataceae,Miconia punctata,-51.53,-12.5,25.90833346048991,135.91666666666666
Melastomataceae,Miconia punctata,-88.588333,17.058889,24.74166663487752,171.58333333333334
Melastomataceae,Miconia punctata,-77.4075,6.220556,26.233333110809326,386.5833333333333
Melastomataceae,Miconia punctata,-77,6,26.47500006357829,536.25
Melastomataceae,Miconia punctata,-76.81666,3.48333,20.81666660308838,182.58333333333334
