familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Monimiaceae,Mollinedia viridiflora,-89.3672223,14.4127778,13.833333253860474,136
Monimiaceae,Mollinedia viridiflora,-82.67916,9.165,20.74999984105428,274.8333333333333
Monimiaceae,Mollinedia viridiflora,-82.6613889,9.1641667000000009,19.424999872843426,252.66666666666666
Monimiaceae,Mollinedia viridiflora,-82.66138,9.16416,19.424999872843426,252.66666666666666
Monimiaceae,Mollinedia viridiflora,-82.65305,9.16472,17.891666571299236,300.3333333333333
Monimiaceae,Mollinedia viridiflora,-88,15.5,26.9333332379659,116.91666666666667
Monimiaceae,Mollinedia viridiflora,-96.373,17.487,15.650000015894571,188.25
Monimiaceae,Mollinedia viridiflora,-96.3667,17.6208,20.016666412353516,243.66666666666666
Monimiaceae,Mollinedia viridiflora,-96.3589,17.5711,18.25833296775818,250.83333333333334
Monimiaceae,Mollinedia viridiflora,-96.35,17.5833,21.55833371480306,215.58333333333334
Monimiaceae,Mollinedia viridiflora,-96.3333,17.5778,21.400000254313152,226.66666666666666
Monimiaceae,Mollinedia viridiflora,-96.3014,17.6639,23.14999993642171,221.91666666666666
Monimiaceae,Mollinedia viridiflora,-96.2833,17.6167,22.925000031789143,212.58333333333334
Monimiaceae,Mollinedia viridiflora,-84.1125,10.2108,17.458333015441895,258.8333333333333
Monimiaceae,Mollinedia viridiflora,-84.1072,10.1836,16.391666491826374,266.25
Monimiaceae,Mollinedia viridiflora,-84.1069,10.1825,15.474999904632568,262.1666666666667
Monimiaceae,Mollinedia viridiflora,-84.1014,10.2131,17.266666889190674,278.4166666666667
Monimiaceae,Mollinedia viridiflora,-84.1,10.2,16.933333079020183,282.4166666666667
Monimiaceae,Mollinedia viridiflora,-84.0825,10.2772,21.183332920074463,285.3333333333333
Monimiaceae,Mollinedia viridiflora,-84.0769,10.2958,22.30833339691162,280.9166666666667
Monimiaceae,Mollinedia viridiflora,-84.0736,10.2972,22.34166685740153,291.25
Monimiaceae,Mollinedia viridiflora,-90.857222,16.159722,25.958333492279053,255.25
Monimiaceae,Mollinedia viridiflora,-92.613889,15.405556,20.4416667620341,168.58333333333334
Monimiaceae,Mollinedia viridiflora,-92.529167,15.372222,23.90000009536743,191.16666666666666
Monimiaceae,Mollinedia viridiflora,-92.905556,17.183333,17.5666667620341,118.83333333333333
Monimiaceae,Mollinedia viridiflora,-92.916667,17.194444,17.016666809717815,116.08333333333333
Monimiaceae,Mollinedia viridiflora,-92.895833,17.163889,17.774999856948853,118
Monimiaceae,Mollinedia viridiflora,-92.902778,17.186111,16.674999713897705,114.33333333333333
Monimiaceae,Mollinedia viridiflora,-92.9,17.2,15.916666666666666,112.83333333333333
Monimiaceae,Mollinedia viridiflora,-92.902778,17.186111,16.674999713897705,114.33333333333333
Monimiaceae,Mollinedia viridiflora,-93.304167,16.843056,21.583333492279053,93.25
Monimiaceae,Mollinedia viridiflora,-91.466667,16.816667,22.008333524068195,176.66666666666666
Monimiaceae,Mollinedia viridiflora,-91.066667,16.15,25.4333332379659,231.66666666666666
Monimiaceae,Mollinedia viridiflora,-91.416667,17,23.52500009536743,181.75
Monimiaceae,Mollinedia viridiflora,-91.35,16.088889000000002,24.333333174387615,201.25
Monimiaceae,Mollinedia viridiflora,-92.304167,15.358333,17.925000349680584,110.75
Monimiaceae,Mollinedia viridiflora,-91.219444,16.906944,24.4416667620341,209.58333333333334
Monimiaceae,Mollinedia viridiflora,-92.333333,15.366667,17.016666730244953,111.08333333333333
Monimiaceae,Mollinedia viridiflora,-91.129167,16.761111,24.80833355585734,228.33333333333334
Monimiaceae,Mollinedia viridiflora,-91.325,16.791667,23.21666653951009,173
Monimiaceae,Mollinedia viridiflora,-88.616667,16.806944,22.833333333333332,170.41666666666666
Monimiaceae,Mollinedia viridiflora,-84.605556000000007,10.211111,20.541666825612385,289.8333333333333
Monimiaceae,Mollinedia viridiflora,-95.183333,18.55,20.050000190734863,236.83333333333334
Monimiaceae,Mollinedia viridiflora,-92.910925,17.183397,17.391666809717815,118.16666666666667
Monimiaceae,Mollinedia viridiflora,-95.083333,18.45,24.600000222524006,165.66666666666666
Monimiaceae,Mollinedia viridiflora,-95.083333,18.583333,24.674999713897705,190.33333333333334
Monimiaceae,Mollinedia viridiflora,-92.331239,15.380658,15.899999856948853,111.75
Monimiaceae,Mollinedia viridiflora,-95.069658,18.586269,25.3166667620341,203
Monimiaceae,Mollinedia viridiflora,-92.331239,15.380658,15.899999856948853,111.75
Monimiaceae,Mollinedia viridiflora,-96.954997,16.191092,20.333333651224773,114.91666666666667
Monimiaceae,Mollinedia viridiflora,-92.331239,15.380658,15.899999856948853,111.75
Monimiaceae,Mollinedia viridiflora,-94.816667,17.1,25.24166663487752,238.5
Monimiaceae,Mollinedia viridiflora,-96.851167,18.154889,21.949999968210857,216.08333333333334
Monimiaceae,Mollinedia viridiflora,-96.824556,18.206,20.31666660308838,224.25
Monimiaceae,Mollinedia viridiflora,-83.71,9.81,21.950000127156574,258.8333333333333
Monimiaceae,Mollinedia viridiflora,-83.44,9.83,20.450000127156574,245.08333333333334
Monimiaceae,Mollinedia viridiflora,-83.23,9.37,15.741666793823242,243
Monimiaceae,Mollinedia viridiflora,-83.22,9.35,14.875,291
Monimiaceae,Mollinedia viridiflora,-83.57,9.83,21.791666666666668,246.41666666666666
Monimiaceae,Mollinedia viridiflora,-84.8,10.3,18.574999968210857,210.08333333333334
Monimiaceae,Mollinedia viridiflora,-84.58,10.21,20.833333492279053,294.8333333333333
Monimiaceae,Mollinedia viridiflora,-84.75,10.3,20.391666730244953,286.8333333333333
Monimiaceae,Mollinedia viridiflora,-84.12,9.84,16.15833346048991,188.66666666666666
Monimiaceae,Mollinedia viridiflora,-84.01,10.06,17.433333079020183,322.25
Monimiaceae,Mollinedia viridiflora,-84.1,10.21,17.25000015894572,317.25
Monimiaceae,Mollinedia viridiflora,-84.07,10.29,21.866666952768963,289.5
Monimiaceae,Mollinedia viridiflora,-83.72743,9.6765817,16.208333333333332,341.0833333333333
Monimiaceae,Mollinedia viridiflora,-84.11778,10.235278,18.700000286102295,250.58333333333334
Monimiaceae,Mollinedia viridiflora,-85.45872,10.93269,19.958333174387615,198.58333333333334
Monimiaceae,Mollinedia viridiflora,-85.05139,10.718058,23.674999872843426,279.5833333333333
Monimiaceae,Mollinedia viridiflora,-84.16101,9.8986242,18.074999968210857,216.91666666666666
Monimiaceae,Mollinedia viridiflora,-84.15611,9.8908333,17.199999968210857,211.5
Monimiaceae,Mollinedia viridiflora,-84.15557,9.8488933,16.549999952316284,205.91666666666666
Monimiaceae,Mollinedia viridiflora,-84.07686,10.326222,23.71666669845581,291
Monimiaceae,Mollinedia viridiflora,-84.01667,9.8305556,17.38333336512248,181.91666666666666
Monimiaceae,Mollinedia viridiflora,-83.95139,9.55,17.34166685740153,265.5
Monimiaceae,Mollinedia viridiflora,-83.86128,10.193917,24.74166711171468,312.4166666666667
Monimiaceae,Mollinedia viridiflora,-83.81886,9.5389167,14.71666669845581,195.66666666666666
Monimiaceae,Mollinedia viridiflora,-83.54647,9.4567214,12.516666730244955,227.58333333333334
Monimiaceae,Mollinedia viridiflora,-83.4527778,9.9722223,24.291666666666668,281.75
Monimiaceae,Mollinedia viridiflora,-83.222,9.35378,15.391666730244955,287.0833333333333
Monimiaceae,Mollinedia viridiflora,-83.0894,9.110656,17.28333346048991,272.6666666666667
Monimiaceae,Mollinedia viridiflora,-88.455278,16.782222,25.391666730244953,184.58333333333334
Monimiaceae,Mollinedia viridiflora,-88.453611,16.783056,25.391666730244953,184.58333333333334
Monimiaceae,Mollinedia viridiflora,-88.452222,16.781667,25.391666730244953,184.58333333333334
Monimiaceae,Mollinedia viridiflora,-88.621944,16.776111,23.858333428700764,171.16666666666666
Monimiaceae,Mollinedia viridiflora,-88.464167,16.776944,25.458333174387615,185
Monimiaceae,Mollinedia viridiflora,-85.93333,13.03333,17.991666316986084,142.33333333333334
Monimiaceae,Mollinedia viridiflora,-85.91666,13,19.350000381469727,138.25
Monimiaceae,Mollinedia viridiflora,-85.9166667,13.05,18.19166660308838,145
Monimiaceae,Mollinedia viridiflora,-85.91666,13.05,18.53333314259847,141.75
Monimiaceae,Mollinedia viridiflora,-85.93333,14.98333,18.208333253860474,140.25
Monimiaceae,Mollinedia viridiflora,-91.309722,16.228139,25.141666730244953,197
Monimiaceae,Mollinedia viridiflora,-88.6219445,16.7761111,23.858333428700764,171.16666666666666
Monimiaceae,Mollinedia viridiflora,-102,23,17.06666660308838,30.666666666666668
Monimiaceae,Mollinedia viridiflora,-102,23,17.06666660308838,30.666666666666668
Monimiaceae,Mollinedia viridiflora,-83.9519,10.0114,17.35000006357829,334.6666666666667
Monimiaceae,Mollinedia viridiflora,-82.25,8.5,26.21666653951009,254.41666666666666
Monimiaceae,Mollinedia viridiflora,-85.9166667,13.05,18.19166660308838,145
Monimiaceae,Mollinedia viridiflora,-85.91666,13.05,18.53333314259847,141.75
Monimiaceae,Mollinedia viridiflora,-84.8978,12.8614,24.808332920074463,191.83333333333334
Monimiaceae,Mollinedia viridiflora,-85.91666,13.01666,17.74166663487752,146.83333333333334
Monimiaceae,Mollinedia viridiflora,-84,9.6667,17.50833336512248,180.33333333333334
Monimiaceae,Mollinedia viridiflora,-102,23,17.06666660308838,30.666666666666668
Monimiaceae,Mollinedia viridiflora,-85.9167,13,19.00833288828532,133.41666666666666
Monimiaceae,Mollinedia viridiflora,-73.477,11.147,25.950000127156574,85.5
Monimiaceae,Mollinedia viridiflora,-96.883333,19.216667,20.583333174387615,115.91666666666667
Monimiaceae,Mollinedia viridiflora,-92.6402777,15.4330556,22.883333206176758,210
Monimiaceae,Mollinedia viridiflora,-92.6402777,15.4330556,22.883333206176758,210
Monimiaceae,Mollinedia viridiflora,-85.6833333,13.55,20.88333336512248,155.41666666666666
Monimiaceae,Mollinedia viridiflora,-84.9833333,13.7833333,24.925000031789143,181.41666666666666
Monimiaceae,Mollinedia viridiflora,-85.7,13.5666667,18.041666507720947,162.91666666666666
Monimiaceae,Mollinedia viridiflora,-85.2166667,12.9666667,21.22499990463257,181.91666666666666
Monimiaceae,Mollinedia viridiflora,-85.7,13.55,19.25833336512248,157.91666666666666
Monimiaceae,Mollinedia viridiflora,-85.49125,12.9396944,20.516666571299236,176.58333333333334
Monimiaceae,Mollinedia viridiflora,-85.9333333,13.0333333,17.991666316986084,142.33333333333334
Monimiaceae,Mollinedia viridiflora,-85.9166667,13.0166667,18.166666507720947,142.58333333333334
Monimiaceae,Mollinedia viridiflora,-85.7,13.55,19.25833336512248,157.91666666666666
Monimiaceae,Mollinedia viridiflora,-85.7,13.5666667,18.041666507720947,162.91666666666666
Monimiaceae,Mollinedia viridiflora,-85.6833333,13.55,20.88333336512248,155.41666666666666
Monimiaceae,Mollinedia viridiflora,-85.2166667,12.9666667,21.22499990463257,181.91666666666666
Monimiaceae,Mollinedia viridiflora,-84.9833333,13.7833333,24.925000031789143,181.41666666666666
Monimiaceae,Mollinedia viridiflora,-95.158333,18.608333,22.71666685740153,197.33333333333334
Monimiaceae,Mollinedia viridiflora,-95.158333,18.608333,22.71666685740153,197.33333333333334
Monimiaceae,Mollinedia viridiflora,-96.554722,17.726667,20.949999968210857,221.16666666666666
Monimiaceae,Mollinedia viridiflora,-96.541944,17.671944,15.90833314259847,253
Monimiaceae,Mollinedia viridiflora,-91.1221275,16.71465875,24.65833314259847,214.41666666666666
Monimiaceae,Mollinedia viridiflora,-96.621944,17.7,16.075000127156574,166.41666666666666
Monimiaceae,Mollinedia viridiflora,-96.385,17.606667,18.950000286102295,244
Monimiaceae,Mollinedia viridiflora,-91.250556,16.957222,24.541666507720947,212.33333333333334
Monimiaceae,Mollinedia viridiflora,-91.249722,16.981389,24.541666666666668,208.25
Monimiaceae,Mollinedia viridiflora,-95.15,18.6,22.758333206176758,196.08333333333334
Monimiaceae,Mollinedia viridiflora,-94.7,17.175,25.050000031789143,267.8333333333333
Monimiaceae,Mollinedia viridiflora,-95.15,18.6,22.758333206176758,196.08333333333334
Monimiaceae,Mollinedia viridiflora,-96.35,17.616667,20.608333269755047,248.83333333333334
Monimiaceae,Mollinedia viridiflora,-91.251,16.957,24.541666507720947,212.33333333333334
Monimiaceae,Mollinedia viridiflora,-91.25,16.981,24.541666666666668,208.25
Monimiaceae,Mollinedia viridiflora,-91.95,16.11666667,19.59166653951009,116.25
Monimiaceae,Mollinedia viridiflora,-95.97305556,17.25666667,19.208333174387615,258
Monimiaceae,Mollinedia viridiflora,-95.07500462,18.57566996,24.674999713897705,190.33333333333334
Monimiaceae,Mollinedia viridiflora,-92.905,17.18,17.5666667620341,118.83333333333333
Monimiaceae,Mollinedia viridiflora,-91.130278,16.760555,24.80833355585734,228.33333333333334
Monimiaceae,Mollinedia viridiflora,-90.925,16.125,25.90833330154419,250.16666666666666
Monimiaceae,Mollinedia viridiflora,-83.666667,10.666667,26.208333492279053,308.25
