familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Naucleopsis ulei,-76.2,0,25.28333330154419,294
Moraceae,Naucleopsis ulei,-76.2,0,25.28333330154419,294
Moraceae,Naucleopsis ulei,-76.18333,0.01666,25.175000349680584,296.75
Moraceae,Naucleopsis ulei,-76.183,0.016,25.175000349680584,296.75
Moraceae,Naucleopsis ulei,-76.4622667,-0.6272833,24.96666669845581,280.25
Moraceae,Naucleopsis ulei,-76.4559667,-0.6001333,25.141666889190674,277.5833333333333
Moraceae,Naucleopsis ulei,-76.42945,-0.6658833,25.108333587646484,277.9166666666667
Moraceae,Naucleopsis ulei,-76.2787167,-0.8643167,25.133333524068195,274.5
Moraceae,Naucleopsis ulei,-76.24285,-0.8726167,25.141666889190674,273.6666666666667
Moraceae,Naucleopsis ulei,-76.2334,-0.8668167,25.141666889190674,273.1666666666667
Moraceae,Naucleopsis ulei,-76.22135,-0.9737167,25.18333339691162,273.1666666666667
Moraceae,Naucleopsis ulei,-76.46095,-0.6261167,24.96666669845581,280.25
Moraceae,Naucleopsis ulei,-76.18925,-1.02125,25.09166669845581,273.8333333333333
Moraceae,Naucleopsis ulei,-65.42472,-10.03,26.383333206176758,144.08333333333334
Moraceae,Naucleopsis ulei,-77.56,-0.83833,20.766666571299236,330.8333333333333
Moraceae,Naucleopsis ulei,-77.61666,-1.06666,23.94166660308838,355.3333333333333
Moraceae,Naucleopsis ulei,-77.53833,-0.82833,19.399999777475994,308.75
Moraceae,Naucleopsis ulei,-64.83333,-17.33333,22.09166669845581,195.08333333333334
Moraceae,Naucleopsis ulei,-64.7669445,-17.0869444,25.18333339691162,265.25
Moraceae,Naucleopsis ulei,-64.833333,-9.438611,26.241666475931805,151.25
Moraceae,Naucleopsis ulei,-64.6575,-9.246389,26.141666889190674,160.5
Moraceae,Naucleopsis ulei,-77.208,-2.262,24.949999650319416,279.3333333333333
Moraceae,Naucleopsis ulei,-84.22,9.59,25.02499993642171,249.41666666666666
Moraceae,Naucleopsis ulei,-78.1869,-1.4628,18.10000006357829,196.5
Moraceae,Naucleopsis ulei,-74.14,-9.1839,26.22499990463257,146.33333333333334
Moraceae,Naucleopsis ulei,-52.8731,-10.8339,25.53333346048991,172.25
Moraceae,Naucleopsis ulei,-74.14,-9.1839,26.22499990463257,146.33333333333334
Moraceae,Naucleopsis ulei,-75,-4,26.225000222524006,209
Moraceae,Naucleopsis ulei,-63,-11,24.5,146.25
Moraceae,Naucleopsis ulei,-75,-4,26.225000222524006,209
Moraceae,Naucleopsis ulei,-70.25,-12,24.558333079020183,225.75
Moraceae,Naucleopsis ulei,-75.4,-10.5667,18.80833371480306,108.25
Moraceae,Naucleopsis ulei,-75,-4,26.225000222524006,209
Moraceae,Naucleopsis ulei,-75,-4,26.225000222524006,209
Moraceae,Naucleopsis ulei,-75.4,-10.5667,18.80833371480306,108.25
Moraceae,Naucleopsis ulei,-80,9.1667,26.508333524068195,203.41666666666666
Moraceae,Naucleopsis ulei,-67.6667,-11.3333,25.899999777475994,137.66666666666666
Moraceae,Naucleopsis ulei,-72.390278,-4.834444,26.108333746592205,224.16666666666666
Moraceae,Naucleopsis ulei,-73.018667,-2.885028,26.166666825612385,265
Moraceae,Naucleopsis ulei,-72.95244,-2.816667,26.133333524068195,263
Moraceae,Naucleopsis ulei,-73.816167,-1.517611,25.9333332379659,239.41666666666666
Moraceae,Naucleopsis ulei,-73.88028,-4.27667,26.40833314259847,208.91666666666666
Moraceae,Naucleopsis ulei,-52.53,-5.64861,24.61666663487752,156
Moraceae,Naucleopsis ulei,-83.55,8.7,25.19166644414266,257.0833333333333
Moraceae,Naucleopsis ulei,-77.6,-1.06667,23.94166660308838,355.5
Moraceae,Naucleopsis ulei,-76.5833,5.76667,26.93333339691162,591.5
Moraceae,Naucleopsis ulei,-76.087,7.552,26.1833332379659,257.5
Moraceae,Naucleopsis ulei,-73.75,-4.91667,26.50000015894572,211.66666666666666
Moraceae,Naucleopsis ulei,-73.0667,-3.51667,26.31666644414266,247.25
Moraceae,Naucleopsis ulei,-72.75,-4.25,26.016666730244953,228.58333333333334
