familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Nectandra hihua,-74.14,-9.1839,26.22499990463257,146.33333333333334
Lauraceae,Nectandra hihua,-87.16666,12.53333,27.52500009536743,140.83333333333334
Lauraceae,Nectandra hihua,-84.8978,12.8614,24.808332920074463,191.83333333333334
Lauraceae,Nectandra hihua,-44.096503,-19.690239,20.791666666666668,116.75
Lauraceae,Nectandra hihua,-79.03635,21.62117,25.733333428700764,101.33333333333333
Lauraceae,Nectandra hihua,-76,20.5,25.824999809265137,100.08333333333333
Lauraceae,Nectandra hihua,-92.858333,17.775,26.450000127156574,197.5
Lauraceae,Nectandra hihua,-92.658333,18.441667,26.516666571299236,136.08333333333334
Lauraceae,Nectandra hihua,-98.075,16.341667,26.383333047231037,117.91666666666667
Lauraceae,Nectandra hihua,-67.916667,-15.483333,23.791666507720947,129.5
Lauraceae,Nectandra hihua,-64.670931,-16.714611,25.358333428700764,296.1666666666667
Lauraceae,Nectandra hihua,-66.738782,18.024799,25.258333524068195,99.75
Lauraceae,Nectandra hihua,-79.618941,21.870604,21.77499993642171,131.5
Lauraceae,Nectandra hihua,-97.625,16.758333,15.258333126703898,93.58333333333333
Lauraceae,Nectandra hihua,-89.845,13.921389,23.13333336512248,143.75
Lauraceae,Nectandra hihua,-89.673056,13.744722,24.5583332379659,145.33333333333334
Lauraceae,Nectandra hihua,-74.37556,-9.16389,26.425000349680584,151.5
Lauraceae,Nectandra hihua,-74.14,-9.1839,26.22499990463257,146.33333333333334
Lauraceae,Nectandra hihua,-56.44681802,-14.41226479,24.858333269755047,139.33333333333334
Lauraceae,Nectandra hihua,-88.3167,16.7833,26.12499984105428,179.16666666666666
Lauraceae,Nectandra hihua,-80.223497,21.980283,22.56666660308838,118
Lauraceae,Nectandra hihua,-88.898742,16.300139,25.1916667620341,263.3333333333333
Lauraceae,Nectandra hihua,-88.81666,16.1,25.324999968210857,297.5833333333333
Lauraceae,Nectandra hihua,-88.898742,16.300139,25.1916667620341,263.3333333333333
Lauraceae,Nectandra hihua,-88.879883,17.020131,22.699999809265137,164
Lauraceae,Nectandra hihua,-70.25,-7.5,25.274999777475994,192.33333333333334
Lauraceae,Nectandra hihua,-73,3.5,26.59999990463257,241.5
Lauraceae,Nectandra hihua,-91.48333,14.48,26.733333110809326,200.58333333333334
Lauraceae,Nectandra hihua,-90.73694,14.34444,23.87499984105428,235.25
Lauraceae,Nectandra hihua,-80.223,22.016093,23.133333206176758,115
Lauraceae,Nectandra hihua,-78.66666,1.3,25.28333330154419,232.75
Lauraceae,Nectandra hihua,-88.84,16.16861,25.34166653951009,293.0833333333333
Lauraceae,Nectandra hihua,-88.75472,16.14055,25.38333336512248,282.5833333333333
Lauraceae,Nectandra hihua,-58.91,6.15,26.449999650319416,157.08333333333334
Lauraceae,Nectandra hihua,-80.002778,9.322778,NA,NA
Lauraceae,Nectandra hihua,-92.691667,15.275,27.666666507720947,170.16666666666666
Lauraceae,Nectandra hihua,-93.325,16.308333,23.99166663487752,87.16666666666667
Lauraceae,Nectandra hihua,-92.891667,15.441667,27.708333333333332,205.16666666666666
Lauraceae,Nectandra hihua,-92.858333,15.991667,25.10000006357829,148.25
Lauraceae,Nectandra hihua,-73.9022,2.82778,23.40833346048991,205.58333333333334
Lauraceae,Nectandra hihua,-93.583333,16.236667,22.266666730244953,84.16666666666667
Lauraceae,Nectandra hihua,-89.05,16.233333,24.608333587646484,277.1666666666667
Lauraceae,Nectandra hihua,-80.00138,9.30166,26.416666666666668,215.91666666666666
Lauraceae,Nectandra hihua,-73.93667,3.3354,25.383333047231037,234.75
Lauraceae,Nectandra hihua,-91.508333,17.391667,26.608333587646484,187.83333333333334
Lauraceae,Nectandra hihua,-93.008333,16.141667,25.233333269755047,112.75
Lauraceae,Nectandra hihua,-74.5,10,27.725000222524006,109.75
Lauraceae,Nectandra hihua,-89.719167,16.693889,25.425000190734863,190.58333333333334
Lauraceae,Nectandra hihua,-99.48194,17.2875,24.59999990463257,128
Lauraceae,Nectandra hihua,-89.94388,15.80444,26.416666507720947,304.75
Lauraceae,Nectandra hihua,-70.66666,7.91666,27.8083332379659,138.83333333333334
Lauraceae,Nectandra hihua,-82.39166,9.25833,25.608333269755047,230.33333333333334
Lauraceae,Nectandra hihua,-80.001389,9.301667,26.416666666666668,215.91666666666666
Lauraceae,Nectandra hihua,-80.00138,9.30166,26.416666666666668,215.91666666666666
Lauraceae,Nectandra hihua,-79.43333,0.3,25.024999777475994,192.5
Lauraceae,Nectandra hihua,-93.608333,17.191667,25.55833371480306,206.75
Lauraceae,Nectandra hihua,-92.091667,15.073333,20.049999872843426,275.8333333333333
Lauraceae,Nectandra hihua,-77.775,8.97916,26.674999872843426,143.16666666666666
Lauraceae,Nectandra hihua,-53.90260636,-23.87823763,21.116666793823242,120.5
Lauraceae,Nectandra hihua,-52.02,-16.43,23.391666730244953,132.33333333333334
Lauraceae,Nectandra hihua,-51.82262931,-16.43062291,24.60000006357829,132
Lauraceae,Nectandra hihua,-51.8103,-16.9567,22.64999993642171,138.91666666666666
Lauraceae,Nectandra hihua,-89.35083,16.08111,24.583333492279053,289.4166666666667
Lauraceae,Nectandra hihua,-89.29611,15.99916,24.97500006357829,288.0833333333333
Lauraceae,Nectandra hihua,-105.253333,19.939167,25.716666380564373,63.083333333333336
Lauraceae,Nectandra hihua,-105.493333,19.998333,NA,NA
Lauraceae,Nectandra hihua,-95.073889,18.584722,25.3166667620341,203
Lauraceae,Nectandra hihua,-95.06,18.58,25.633333206176758,205.5
Lauraceae,Nectandra hihua,-89.242222,15.948889,25.90833314259847,281
Lauraceae,Nectandra hihua,-79.975,9.31944,26.34999990463257,212.5
Lauraceae,Nectandra hihua,-89.24416,15.94805,25.90833314259847,281
Lauraceae,Nectandra hihua,-80.001389,9.301667,26.416666666666668,215.91666666666666
Lauraceae,Nectandra hihua,-50.25,-5.5,25.4416667620341,154.75
Lauraceae,Nectandra hihua,-79.923333,9.270556,26.675000031789143,197.33333333333334
Lauraceae,Nectandra hihua,-79.7,9.44166,25.266666889190674,231.66666666666666
Lauraceae,Nectandra hihua,-72.74585282,-8.27206623,25.31666660308838,181.91666666666666
Lauraceae,Nectandra hihua,-98.041667,16.325,26.44166644414266,115.91666666666667
Lauraceae,Nectandra hihua,-92.475,15.141667,27.516666412353516,184.41666666666666
Lauraceae,Nectandra hihua,-78.23333,9.3,26.8166667620341,168.66666666666666
