familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea austinii,-80.102665,8.507188,26.266666730244953,185.25
Lauraceae,Ocotea austinii,-84.38111,10.21166,15.71666685740153,195.75
Lauraceae,Ocotea austinii,-84.5,10.5,26.18333339691162,277.0833333333333
Lauraceae,Ocotea austinii,-82.51666,8.85,14.066666762034098,202.25
Lauraceae,Ocotea austinii,-83.95,9.73,14.108333428700766,215.41666666666666
Lauraceae,Ocotea austinii,-83.94,9.73,14.050000190734863,202.75
Lauraceae,Ocotea austinii,-82.46166,8.83833,16.274999856948853,202.16666666666666
Lauraceae,Ocotea austinii,-82.483333,8.816667,16.850000381469727,217.5
Lauraceae,Ocotea austinii,-83.95,9.7,13.600000143051147,178.25
Lauraceae,Ocotea austinii,-83.90111,9.85333,19.40833330154419,225.83333333333334
Lauraceae,Ocotea austinii,-84.1,10.1,14.858333428700766,200.16666666666666
Lauraceae,Ocotea austinii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Lauraceae,Ocotea austinii,-83.88,9.92,14.724999984105429,179.41666666666666
Lauraceae,Ocotea austinii,-82.541667,8.845833,13.266666650772095,206.83333333333334
Lauraceae,Ocotea austinii,-82.53333,8.85,12.28333314259847,199.66666666666666
Lauraceae,Ocotea austinii,-83.81,9.94,15.574999968210856,323.8333333333333
Lauraceae,Ocotea austinii,-82.55,8.85,13.266666650772095,206.83333333333334
Lauraceae,Ocotea austinii,-83.99,9.78,16.90833346048991,175.58333333333334
Lauraceae,Ocotea austinii,-84.78,10.29,18.441667079925537,245.33333333333334
Lauraceae,Ocotea austinii,-82.35,8.783333,16.89999993642171,217.91666666666666
Lauraceae,Ocotea austinii,-82.841667,9.083333,10.90833338101705,257
Lauraceae,Ocotea austinii,-82.84,9.08,11.891666650772095,246.08333333333334
Lauraceae,Ocotea austinii,-82.56666,8.88333,14.025000015894571,209
Lauraceae,Ocotea austinii,-82.55,8.866667,13.00000007947286,222.58333333333334
Lauraceae,Ocotea austinii,-82.63333,8.78333,18.741666475931805,263.1666666666667
Lauraceae,Ocotea austinii,-82.58333,8.83333,13.708333333333334,210.66666666666666
Lauraceae,Ocotea austinii,-81.767222,8.488333,18.59999990463257,226.25
Lauraceae,Ocotea austinii,-83.88,9.95,12.608333428700766,170.83333333333334
Lauraceae,Ocotea austinii,-82.398333,8.83,15.016666809717814,308.0833333333333
Lauraceae,Ocotea austinii,-84.225,10.130556,17.85000006357829,200.16666666666666
Lauraceae,Ocotea austinii,-84.800007,10.3,18.699999968210857,200.83333333333334
Lauraceae,Ocotea austinii,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Ocotea austinii,-84.72,10.34,19.708333333333332,268.1666666666667
Lauraceae,Ocotea austinii,-84.105556000000007,10.133333,11.083333333333334,177.83333333333334
Lauraceae,Ocotea austinii,-84.1,10.122222,12.258333285649618,178.83333333333334
Lauraceae,Ocotea austinii,-84.1,10.13,11.49999992052714,191.91666666666666
Lauraceae,Ocotea austinii,-84,10.316667,24.824999968210857,316
Lauraceae,Ocotea austinii,-83.8,9.58,11.541666666666666,186.25
Lauraceae,Ocotea austinii,-83.319444,9.436111,11.824999968210856,299.3333333333333
Lauraceae,Ocotea austinii,-83.31,9.43,12.12499992052714,323.25
Lauraceae,Ocotea austinii,-82.725,8.921667,13.324999968210856,205.08333333333334
Lauraceae,Ocotea austinii,-82.72,8.92,13.324999968210856,205.08333333333334
Lauraceae,Ocotea austinii,-84.120833,10.122778,12.583333174387613,186.25
Lauraceae,Ocotea austinii,-84.1,10.13,11.49999992052714,191.91666666666666
Lauraceae,Ocotea austinii,-84.1,10.133333,11.49999992052714,191.91666666666666
Lauraceae,Ocotea austinii,-83.86,9.57,14.866666634877523,189.83333333333334
Lauraceae,Ocotea austinii,-84.830556,10.355556,18.824999968210857,228.25
Lauraceae,Ocotea austinii,-84.83,10.35,18.5583332379659,212.75
Lauraceae,Ocotea austinii,-84.800008,10.3,18.699999968210857,200.83333333333334
Lauraceae,Ocotea austinii,-84.111111,10.138333,11.574999968210856,180.25
Lauraceae,Ocotea austinii,-83.8,9.55,12.008333285649618,202.25
Lauraceae,Ocotea austinii,-83.691667,9.963889,20.59166653951009,270.5833333333333
Lauraceae,Ocotea austinii,-83.69,9.96,21.06666660308838,263.4166666666667
Lauraceae,Ocotea austinii,-83.1,9.38,17.09166653951009,311.8333333333333
Lauraceae,Ocotea austinii,-83.1,9.388889,17.84166669845581,291.6666666666667
Lauraceae,Ocotea austinii,-82.58333,8.9,13.349999984105429,214.5
Lauraceae,Ocotea austinii,-84.1375,9.847222,14.616666714350382,216.75
Lauraceae,Ocotea austinii,-84.13,9.84,15.81666668256124,187.91666666666666
Lauraceae,Ocotea austinii,-83.225,9.35,14.875,291
Lauraceae,Ocotea austinii,-83.222222,9.35,14.875,291
Lauraceae,Ocotea austinii,-83.22,9.35,14.875,291
Lauraceae,Ocotea austinii,-83.177778,9.4,13.699999968210856,334.8333333333333
Lauraceae,Ocotea austinii,-83.17,9.4,12.391666650772095,316.25
Lauraceae,Ocotea austinii,-83.169444,9.398611,12.391666650772095,316.25
Lauraceae,Ocotea austinii,-83.16944,9.39861,12.391666650772095,316.25
Lauraceae,Ocotea austinii,-82.961112,9.025,17.800000031789143,262.9166666666667
Lauraceae,Ocotea austinii,-83.79,9.58,10.041666587193808,180.58333333333334
Lauraceae,Ocotea austinii,-83.690278,9.554167,10.05833331743876,178.5
Lauraceae,Ocotea austinii,-83.69,9.55,11.641666491826376,191
Lauraceae,Ocotea austinii,-83.679167,9.556944,10.06666668256124,195.33333333333334
Lauraceae,Ocotea austinii,-83.67,9.55,12.558333476384481,213.41666666666666
Lauraceae,Ocotea austinii,-83.665278,9.568056,9.558333396911621,183.75
Lauraceae,Ocotea austinii,-83.66,9.56,9.958333412806192,188.58333333333334
Lauraceae,Ocotea austinii,-82.73333,8.88333,16.3166667620341,236.16666666666666
Lauraceae,Ocotea austinii,-82.71666,8.9,14.616666634877523,208
Lauraceae,Ocotea austinii,-82.71,8.9,14.616666634877523,208
Lauraceae,Ocotea austinii,-82.708333,8.91,13.391666650772095,275.0833333333333
Lauraceae,Ocotea austinii,-82.744144,8.951034,14.733333269755045,217.58333333333334
Lauraceae,Ocotea austinii,-82.74,8.95,15.758333603541056,208.66666666666666
Lauraceae,Ocotea austinii,-83.891667,9.7,13.141666650772095,195.75
Lauraceae,Ocotea austinii,-83.89,9.7,12.949999968210856,193.08333333333334
Lauraceae,Ocotea austinii,-82.83,8.92,19.258333206176758,249.33333333333334
Lauraceae,Ocotea austinii,-82.771121,8.885994,19.25,244.08333333333334
Lauraceae,Ocotea austinii,-83.8,9.57,11.891666730244955,187.33333333333334
Lauraceae,Ocotea austinii,-82.53222,8.84666,12.28333314259847,199.66666666666666
Lauraceae,Ocotea austinii,-83.85806,10.01944,14.416666507720947,321.9166666666667
