familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea insularis,-83.46,8.65,26.44166660308838,256.1666666666667
Lauraceae,Ocotea insularis,-83.466667,8.65,26.44166660308838,235.83333333333334
Lauraceae,Ocotea insularis,-83.54,10.04,23.449999968210857,281.0833333333333
Lauraceae,Ocotea insularis,-84.85,10.366667,19.34166669845581,239.83333333333334
Lauraceae,Ocotea insularis,-84.930556,10.588889,22.174999872843426,293.25
Lauraceae,Ocotea insularis,-84.56,10.15,19.27499993642171,242.75
Lauraceae,Ocotea insularis,-84.85,10.366667,19.34166669845581,239.83333333333334
Lauraceae,Ocotea insularis,-83.9,9.77,17.59166669845581,204.91666666666666
Lauraceae,Ocotea insularis,-84.51,10.63,25.81666660308838,267
Lauraceae,Ocotea insularis,-84.51,10.63,25.81666660308838,267
Lauraceae,Ocotea insularis,-79.9,-0.21666,24.52499993642171,117.5
Lauraceae,Ocotea insularis,-79.88333,0.3,25.075000286102295,129.08333333333334
Lauraceae,Ocotea insularis,-79.916667,0.316667,25.075000286102295,127
Lauraceae,Ocotea insularis,-79.31666,-2.6,19.616666475931805,83.16666666666667
Lauraceae,Ocotea insularis,-80.023056,0.686389,24.97499990463257,123.58333333333333
Lauraceae,Ocotea insularis,-84.16,10.21,18.883333206176758,296.8333333333333
Lauraceae,Ocotea insularis,-82.143333,8.938333,24.93333355585734,248.91666666666666
Lauraceae,Ocotea insularis,-83.525,8.7,25.516666571299236,242.16666666666666
Lauraceae,Ocotea insularis,-83.536111,8.713889,23.99166663487752,288.3333333333333
Lauraceae,Ocotea insularis,-83.53,8.71,24.416666825612385,286.0833333333333
Lauraceae,Ocotea insularis,-79.38333,0.38333,25.03333314259847,189.41666666666666
Lauraceae,Ocotea insularis,-85.39389,10.86972,22.90833346048991,224.83333333333334
Lauraceae,Ocotea insularis,-84.5,10.19,20.683332920074463,287.6666666666667
Lauraceae,Ocotea insularis,-84.11417,10.236667,18.675000190734863,250.66666666666666
Lauraceae,Ocotea insularis,-84.78,10.3,18.616666475931805,253.41666666666666
Lauraceae,Ocotea insularis,-78.8,-0.033333,19.25,206.33333333333334
Lauraceae,Ocotea insularis,-78.66666,-0.01666,15.800000270207724,124
Lauraceae,Ocotea insularis,-76.533889,7.248333,27.199999968210857,293.0833333333333
Lauraceae,Ocotea insularis,-77.75,-0.7,19.600000222524006,286.3333333333333
Lauraceae,Ocotea insularis,-84.48,10.13,21.06666660308838,213.08333333333334
Lauraceae,Ocotea insularis,-84.48,10.13,21.06666660308838,213.08333333333334
Lauraceae,Ocotea insularis,-78.41666,-3.16666,22.72499990463257,162.25
Lauraceae,Ocotea insularis,-78.666667,0.083333,19.09166669845581,178.58333333333334
Lauraceae,Ocotea insularis,-78.66666,0.08333,19.266666889190674,178.16666666666666
Lauraceae,Ocotea insularis,-78.666667,0.166667,19.641666889190674,158.83333333333334
Lauraceae,Ocotea insularis,-82.165,8.905,24.416666825612385,250.83333333333334
Lauraceae,Ocotea insularis,-82.154167,8.907778,24.25,251.5
Lauraceae,Ocotea insularis,-79.75,9.333333,26.041666666666668,240
Lauraceae,Ocotea insularis,-82.4,8.816667,15.600000143051147,269.5833333333333
Lauraceae,Ocotea insularis,-85.333056,10.348056,27.09166669845581,156.83333333333334
Lauraceae,Ocotea insularis,-85.3,10.34,27.0666667620341,147.16666666666666
Lauraceae,Ocotea insularis,-87.056486,5.543919,24.94166660308838,226.5
Lauraceae,Ocotea insularis,-79.358056,9.236667,22.616666475931805,223.91666666666666
Lauraceae,Ocotea insularis,-78.53333,0.93333,23.199999968210857,215.75
Lauraceae,Ocotea insularis,-79.2175,0.89583,25.358333428700764,177.66666666666666
Lauraceae,Ocotea insularis,-79.21666,0.88333,25.25,181.41666666666666
Lauraceae,Ocotea insularis,-79.2175,0.89583,25.358333428700764,177.66666666666666
Lauraceae,Ocotea insularis,-84.68,10.26,18.69166644414266,273.75
Lauraceae,Ocotea insularis,-84.68,10.28,17.833333333333332,290.9166666666667
Lauraceae,Ocotea insularis,-85.303,10.904,24.74999984105428,262.25
Lauraceae,Ocotea insularis,-85.387,10.87,22.59999990463257,230.75
Lauraceae,Ocotea insularis,-77.74833,-0.68,20.083333492279053,296.6666666666667
Lauraceae,Ocotea insularis,-77.88333,-0.6,16.241666475931805,191.83333333333334
Lauraceae,Ocotea insularis,-77.883333,-0.6,16.241666475931805,191.83333333333334
Lauraceae,Ocotea insularis,-84.79597,10.343861,17.733333110809326,253.16666666666666
Lauraceae,Ocotea insularis,-79.113379,-2.140096,20.633333206176758,124.25
Lauraceae,Ocotea insularis,-84,10.03,18.891666889190674,270.4166666666667
Lauraceae,Ocotea insularis,-78.41666,0.91666,19.825000286102295,182.41666666666666
Lauraceae,Ocotea insularis,-77.9,-0.43333,14.150000015894571,143.58333333333334
Lauraceae,Ocotea insularis,-84.3,10.21,18.625,286.75
Lauraceae,Ocotea insularis,-84.53,10.3,24.266666730244953,303.4166666666667
Lauraceae,Ocotea insularis,-84.22,10.13,17.85000006357829,200.16666666666666
Lauraceae,Ocotea insularis,-84.251389,10.25,19.016666571299236,312.4166666666667
Lauraceae,Ocotea insularis,-84.25138,10.25,19.016666571299236,312.4166666666667
Lauraceae,Ocotea insularis,-84.25,10.25,18.358333110809326,292.1666666666667
Lauraceae,Ocotea insularis,-84.22,10.13,17.85000006357829,200.16666666666666
Lauraceae,Ocotea insularis,-84.45,10.05,20.925000190734863,219.16666666666666
