familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea leucoxylon,-39.133333,-13.716667,NA,NA
Lauraceae,Ocotea leucoxylon,-39.133333,-13.716667,NA,NA
Lauraceae,Ocotea leucoxylon,-40.530278,-19.971389,19.699999809265137,109.75
Lauraceae,Ocotea leucoxylon,-40.530278,-19.971389,19.699999809265137,109.75
Lauraceae,Ocotea leucoxylon,-73.436326,6.683174,18.15000009536743,133.33333333333334
Lauraceae,Ocotea leucoxylon,-73.447358,6.695381,20.491666475931805,131.41666666666666
Lauraceae,Ocotea leucoxylon,-39.054722,-15.159722,24.116666793823242,152.16666666666666
Lauraceae,Ocotea leucoxylon,-40.635556,-19.925556,19.37500015894572,111.75
Lauraceae,Ocotea leucoxylon,-39.986667,-19.170833,23.62499984105428,100.83333333333333
Lauraceae,Ocotea leucoxylon,-39.98675,-19.17075,23.62499984105428,100.83333333333333
Lauraceae,Ocotea leucoxylon,-39.986667,-19.170833,23.62499984105428,100.83333333333333
Lauraceae,Ocotea leucoxylon,-39.98675,-19.17075,23.62499984105428,100.83333333333333
Lauraceae,Ocotea leucoxylon,-39.98675,-19.17075,23.62499984105428,100.83333333333333
Lauraceae,Ocotea leucoxylon,-40.553056,-19.9075,18.958333333333332,111.75
Lauraceae,Ocotea leucoxylon,-39.835278,-18.4325,23.88333336512248,109.16666666666667
Lauraceae,Ocotea leucoxylon,-40.635556,-19.925556,19.37500015894572,111.75
Lauraceae,Ocotea leucoxylon,-39.959083,-19.187528,23.641666571299236,101.08333333333333
Lauraceae,Ocotea leucoxylon,-40.59,-19.933333,19.56666660308838,109.91666666666667
Lauraceae,Ocotea leucoxylon,-40.589167,-19.922222,19.291666666666668,110.33333333333333
Lauraceae,Ocotea leucoxylon,-40.5325,-19.958056,19.791666666666668,110.33333333333333
Lauraceae,Ocotea leucoxylon,-50.388333,-6.402778,23.450000127156574,163.25
Lauraceae,Ocotea leucoxylon,-41.7575,-20.491389,15.375,118
Lauraceae,Ocotea leucoxylon,-41.7575,-20.491389,15.375,118
Lauraceae,Ocotea leucoxylon,-39.25,-16.5,23.858333587646484,124.33333333333333
Lauraceae,Ocotea leucoxylon,-39.202778,-14.770278,24.349999745686848,145.58333333333334
Lauraceae,Ocotea leucoxylon,-39.069167,-15.15,24.175000190734863,151.58333333333334
Lauraceae,Ocotea leucoxylon,-56.78,-9.340556,26.55833339691162,174.25
Lauraceae,Ocotea leucoxylon,-39.170833,-13.802778,24.06666660308838,179.5
Lauraceae,Ocotea leucoxylon,-40.553056,-19.9075,18.958333333333332,111.75
Lauraceae,Ocotea leucoxylon,-40.553056,-19.9075,18.958333333333332,111.75
Lauraceae,Ocotea leucoxylon,-40.553056,-19.9075,18.958333333333332,111.75
Lauraceae,Ocotea leucoxylon,-39.074387,-14.797045,24.50833336512248,163.41666666666666
Lauraceae,Ocotea leucoxylon,-35.002778,-7.838889,24.53333330154419,134.66666666666666
Lauraceae,Ocotea leucoxylon,-35.002778,-7.838889,24.53333330154419,134.66666666666666
Lauraceae,Ocotea leucoxylon,-40.591667,-19.909167,19.483333269755047,110.33333333333333
Lauraceae,Ocotea leucoxylon,-40.530278,-19.971389,19.699999809265137,109.75
Lauraceae,Ocotea leucoxylon,-40.6075,-19.931389,19.483333269755047,110.66666666666667
Lauraceae,Ocotea leucoxylon,-40.553056,-19.9075,18.958333333333332,111.75
Lauraceae,Ocotea leucoxylon,-40.583333,-19.984167,18.44166660308838,112.33333333333333
Lauraceae,Ocotea leucoxylon,-40.553056,-19.9075,18.958333333333332,111.75
Lauraceae,Ocotea leucoxylon,-76.861694,5.108222,26.391666730244953,614.1666666666666
Lauraceae,Ocotea leucoxylon,-76.861694,5.108222,26.391666730244953,614.1666666666666
Lauraceae,Ocotea leucoxylon,-39.566111,-15.395833,20.34166669845581,106.16666666666667
Lauraceae,Ocotea leucoxylon,-70.0906,9.2439,23.658332983652752,118.83333333333333
Lauraceae,Ocotea leucoxylon,-94.64917648,17.20190607,25.141666889190674,284.1666666666667
Lauraceae,Ocotea leucoxylon,-72.13333,-0.56666,26.333333333333332,228.58333333333334
Lauraceae,Ocotea leucoxylon,-72.11,-0.68,26.291666507720947,228.91666666666666
Lauraceae,Ocotea leucoxylon,-39.202778,-14.770278,24.349999745686848,145.58333333333334
Lauraceae,Ocotea leucoxylon,-39.195833,-15.297222,23.916666666666668,136.25
Lauraceae,Ocotea leucoxylon,-39.195833,-15.297222,23.916666666666668,136.25
Lauraceae,Ocotea leucoxylon,-84.154336,10.561887,25.958333333333332,292.3333333333333
Lauraceae,Ocotea leucoxylon,-40.635556,-19.925556,19.37500015894572,111.75
Lauraceae,Ocotea leucoxylon,-40.645833,-19.981944,18.84166693687439,111.16666666666667
Lauraceae,Ocotea leucoxylon,-39.959722,-19.204167,23.55833355585734,100.91666666666667
Lauraceae,Ocotea leucoxylon,-39.069167,-15.15,24.175000190734863,151.58333333333334
Lauraceae,Ocotea leucoxylon,-72.7945,9.33657,27.90833330154419,195.16666666666666
