familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea macropoda,-84.02,10.44,26.008333206176758,308.0833333333333
Lauraceae,Ocotea macropoda,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Ocotea macropoda,-78.1869,-1.4628,18.10000006357829,196.5
Lauraceae,Ocotea macropoda,-65.9119,7.0758,27.366666952768963,155.91666666666666
Lauraceae,Ocotea macropoda,-52.8731,-10.8339,25.53333346048991,172.25
Lauraceae,Ocotea macropoda,-73,8,15.366666555404663,113.25
Lauraceae,Ocotea macropoda,-74.1667,5,9.616666714350382,104.5
Lauraceae,Ocotea macropoda,-76.108889,4.776444,18.90833330154419,172
Lauraceae,Ocotea macropoda,-75.731611,4.608667,20.341667016347248,162
Lauraceae,Ocotea macropoda,-75.72925,4.609556,20.341667016347248,162
Lauraceae,Ocotea macropoda,-53.08982,-10.77311,25.88333336512248,176.08333333333334
Lauraceae,Ocotea macropoda,-53.08972,-10.77306,25.88333336512248,176.08333333333334
Lauraceae,Ocotea macropoda,-84.577,9.58,26.566666920979817,236.33333333333334
Lauraceae,Ocotea macropoda,-84.05,10.4,25.34166653951009,309.8333333333333
Lauraceae,Ocotea macropoda,-84.0167,10.4333,25.949999809265137,316.25
Lauraceae,Ocotea macropoda,-76.5833,3.53333,16.983333428700764,144.75
Lauraceae,Ocotea macropoda,-76.180667,3.931611,17.066666920979817,169.58333333333334
Lauraceae,Ocotea macropoda,-76.585083,3.123611,23.59166653951009,175.91666666666666
Lauraceae,Ocotea macropoda,-84.01667,10.433333,25.949999809265137,316.25
Lauraceae,Ocotea macropoda,-84.506944,10.875,26.0583332379659,252.5
Lauraceae,Ocotea macropoda,-82.852778,9.741667,26.46666669845581,265.3333333333333
Lauraceae,Ocotea macropoda,-82.666667,9.575,26.40000009536743,229.08333333333334
Lauraceae,Ocotea macropoda,-83.026389,9.673611,25.708333333333332,257.75
Lauraceae,Ocotea macropoda,-84.046667,10.541111,25.99166663487752,309.1666666666667
Lauraceae,Ocotea macropoda,-76.161333,4.0274470000000004,22.19166660308838,127.75
Lauraceae,Ocotea macropoda,-75.247944,5.696722,11.99999992052714,205
Lauraceae,Ocotea macropoda,-75.666667,4.683333,18.49999984105428,185.25
Lauraceae,Ocotea macropoda,-75.790556,4.455278,22.008333206176758,165.75
Lauraceae,Ocotea macropoda,-41.4575,-13.504167,18.96666669845581,83.25
Lauraceae,Ocotea macropoda,-45.9375,-23.075,19.37500015894572,110.75
