familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea mollifolia,-84.187941,9.970203,22.18333339691162,219.91666666666666
Lauraceae,Ocotea mollifolia,-84.046667,10.535278,25.99166663487752,309.1666666666667
Lauraceae,Ocotea mollifolia,-84.53,10.23,22.28333330154419,272.4166666666667
Lauraceae,Ocotea mollifolia,-84.5,10.08,20.916666984558105,220.08333333333334
Lauraceae,Ocotea mollifolia,-84.01,10.43,25.949999809265137,317.4166666666667
Lauraceae,Ocotea mollifolia,-84.02,10.48,26.03333330154419,310.8333333333333
Lauraceae,Ocotea mollifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Ocotea mollifolia,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Ocotea mollifolia,-84.02,10.41,25.65000009536743,308.75
Lauraceae,Ocotea mollifolia,-84.003611,10.431389,26.008333206176758,307.9166666666667
Lauraceae,Ocotea mollifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Ocotea mollifolia,-84.04,10.41,25.62500015894572,316
Lauraceae,Ocotea mollifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Ocotea mollifolia,-84.03,10.43,25.858332951863606,310.9166666666667
Lauraceae,Ocotea mollifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Ocotea mollifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Ocotea mollifolia,-84,10.4,25.866666316986084,317.5833333333333
Lauraceae,Ocotea mollifolia,-84.716667,10.333333,20.44166660308838,284.6666666666667
Lauraceae,Ocotea mollifolia,-84.71,10.33,21.016666889190674,282.6666666666667
Lauraceae,Ocotea mollifolia,-84.61,10.21,20.09999990463257,285.6666666666667
Lauraceae,Ocotea mollifolia,-82.181667,8.785,22.583333174387615,296.75
Lauraceae,Ocotea mollifolia,-84.716667,10.316667,20.858333587646484,282.5833333333333
Lauraceae,Ocotea mollifolia,-84.71666,10.31666,21.825000127156574,299.4166666666667
Lauraceae,Ocotea mollifolia,-84.71,10.31,21.825000127156574,299.4166666666667
Lauraceae,Ocotea mollifolia,-84.61,10.21,20.09999990463257,285.6666666666667
Lauraceae,Ocotea mollifolia,-83.55,8.7,25.19166644414266,257.0833333333333
Lauraceae,Ocotea mollifolia,-83.433333,10.016667,24.44166660308838,281.6666666666667
Lauraceae,Ocotea mollifolia,-83.43,10.01,24.916666507720947,283.6666666666667
