familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea oblonga,-77.9,-0.46666,17.083333333333332,168.16666666666666
Lauraceae,Ocotea oblonga,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Lauraceae,Ocotea oblonga,-79.86121916,9.15829246,26.208333492279053,206.91666666666666
Lauraceae,Ocotea oblonga,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Lauraceae,Ocotea oblonga,-68.993454,-11.243736,25.108333269755047,139.16666666666666
Lauraceae,Ocotea oblonga,-68.48861,-15.08638,20.69166644414266,109.33333333333333
Lauraceae,Ocotea oblonga,-68.44805,-15.04111,21.64999993642171,116.83333333333333
Lauraceae,Ocotea oblonga,-68.43416,-14.96861,20.24166663487752,110.41666666666667
Lauraceae,Ocotea oblonga,-68.6340555,-14.7707223,19.475000222524006,113.5
Lauraceae,Ocotea oblonga,-64.7663889,-17.0883333,25.133333206176758,263.75
Lauraceae,Ocotea oblonga,-88.92416,16.49416,23.699999968210857,219.25
Lauraceae,Ocotea oblonga,-53.8222223,2.5166667,25.625,191.33333333333334
Lauraceae,Ocotea oblonga,-82.9833,9.3333,17.358333269755047,333.5
Lauraceae,Ocotea oblonga,-77.9,-0.4333,14.150000015894571,143.58333333333334
Lauraceae,Ocotea oblonga,-77.8333,-0.5,15.266666730244955,198
Lauraceae,Ocotea oblonga,-76.8167,-1.7167,24.858333269755047,305.75
Lauraceae,Ocotea oblonga,-78.6667,0.1667,19.641666889190674,158.83333333333334
Lauraceae,Ocotea oblonga,-70.05861,-4.07972,26.675000190734863,245.83333333333334
Lauraceae,Ocotea oblonga,-71.3978222,-11.8870005,25.05833339691162,213.91666666666666
Lauraceae,Ocotea oblonga,-74.91666,6,23.700000127156574,232.5
Lauraceae,Ocotea oblonga,-74.95,5.95,24.30833339691162,216.33333333333334
Lauraceae,Ocotea oblonga,-72.66666,1.08333,26.041666666666668,223.58333333333334
Lauraceae,Ocotea oblonga,-77.31666,-6.16666,19.71666669845581,89.83333333333333
Lauraceae,Ocotea oblonga,-76.81666,-1.71666,24.87499984105428,305.5
Lauraceae,Ocotea oblonga,-89.209722,15.775833,25.208333174387615,266.75
Lauraceae,Ocotea oblonga,-89.207778,15.780278,25.208333015441895,266.5833333333333
Lauraceae,Ocotea oblonga,-89.206111,15.78,25.208333015441895,266.5833333333333
Lauraceae,Ocotea oblonga,-89.204167,15.779444,25.208333015441895,266.5833333333333
Lauraceae,Ocotea oblonga,-89.338889,15.520833,27.03333346048991,225.16666666666666
Lauraceae,Ocotea oblonga,-90.1792,15.7422,23.483333428700764,387.5
Lauraceae,Ocotea oblonga,-78.1869,-1.4628,18.10000006357829,196.5
Lauraceae,Ocotea oblonga,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Ocotea oblonga,-75.25,3.75,27.666666825612385,145.41666666666666
Lauraceae,Ocotea oblonga,-74.14,-9.1839,26.22499990463257,146.33333333333334
Lauraceae,Ocotea oblonga,-72.8667,3.8811,26.583333174387615,229.33333333333334
Lauraceae,Ocotea oblonga,-65.9119,7.0758,27.366666952768963,155.91666666666666
Lauraceae,Ocotea oblonga,-64.435,-16.7261,25.208333333333332,250.41666666666666
Lauraceae,Ocotea oblonga,-52.9708,3.8558,25.333333333333332,235.08333333333334
Lauraceae,Ocotea oblonga,-52.8731,-10.8339,25.53333346048991,172.25
Lauraceae,Ocotea oblonga,-88.75,17.25,25.416666825612385,155.33333333333334
Lauraceae,Ocotea oblonga,-76.8333,2.5,18.86666663487752,199.16666666666666
Lauraceae,Ocotea oblonga,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Ocotea oblonga,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Ocotea oblonga,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Ocotea oblonga,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Ocotea oblonga,-76.8333,2.5,18.86666663487752,199.16666666666666
Lauraceae,Ocotea oblonga,-75.5,7,16.18333339691162,220.91666666666666
Lauraceae,Ocotea oblonga,-70.25,-12,24.558333079020183,225.75
Lauraceae,Ocotea oblonga,-77.32,-6.17,18.31666644414266,90
Lauraceae,Ocotea oblonga,-73.8936,-7.9444,25.4416667620341,164.25
Lauraceae,Ocotea oblonga,-79.85138,9.15416,25.983333269755047,199.5
Lauraceae,Ocotea oblonga,-74.1,-2.18333333,26.0583332379659,277
Lauraceae,Ocotea oblonga,-70.00972222,0.97694444,25.63333336512248,276.8333333333333
Lauraceae,Ocotea oblonga,-61.80333,-15.05583,25.61666663487752,105.91666666666667
Lauraceae,Ocotea oblonga,-53.24111,3.92472,25.291666666666668,227.58333333333334
Lauraceae,Ocotea oblonga,-74.16667,2.6667,25.516666412353516,190.66666666666666
Lauraceae,Ocotea oblonga,-74.16181,2.73482,25.3166667620341,193.58333333333334
Lauraceae,Ocotea oblonga,-72.453381,2.092186,27.3166667620341,218.83333333333334
Lauraceae,Ocotea oblonga,-72.376667,2.516667,27.608333428700764,232.25
Lauraceae,Ocotea oblonga,-68.48861,-15.08638,20.69166644414266,109.33333333333333
Lauraceae,Ocotea oblonga,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Lauraceae,Ocotea oblonga,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Lauraceae,Ocotea oblonga,-75.463755,4.62922,11.575000127156576,137
Lauraceae,Ocotea oblonga,-85.316667,10.8,18.574999968210857,192.91666666666666
Lauraceae,Ocotea oblonga,-82.983333,9.347222,19.09999990463257,281
Lauraceae,Ocotea oblonga,-83.633333,8.766667,26.175000190734863,296.9166666666667
Lauraceae,Ocotea oblonga,-83.577778,8.730556,25.46666669845581,249.91666666666666
Lauraceae,Ocotea oblonga,-83.470367,8.734216,25.508333206176758,274.5833333333333
Lauraceae,Ocotea oblonga,-84.881667,10.684722,26.14999993642171,274.75
Lauraceae,Ocotea oblonga,-83.335556,8.405833,26.258333206176758,304.9166666666667
Lauraceae,Ocotea oblonga,-63.55,2.7,23.80833339691162,213.16666666666666
Lauraceae,Ocotea oblonga,-66.166667,0.833333,26.516666730244953,243.33333333333334
Lauraceae,Ocotea oblonga,-66.15,5.683333,22.8166667620341,193.91666666666666
Lauraceae,Ocotea oblonga,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Lauraceae,Ocotea oblonga,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Lauraceae,Ocotea oblonga,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Lauraceae,Ocotea oblonga,-67.437389,-3.322222,26.3083332379659,235.75
Lauraceae,Ocotea oblonga,-61.041083,-5.636306,27.141666889190674,209.41666666666666
Lauraceae,Ocotea oblonga,-70.241,1.25045,25.85000006357829,273.6666666666667
Lauraceae,Ocotea oblonga,-74.16667,2.6667,25.516666412353516,190.66666666666666
Lauraceae,Ocotea oblonga,-72.38,-0.59777,26.233333428700764,226.58333333333334
