familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea puberula,-55.191667,5.425,26.791666507720947,188.5
Lauraceae,Ocotea puberula,-55.106333,4.490667,26.599999745686848,196.41666666666666
Lauraceae,Ocotea puberula,-44.566667,-22.25,14.116666555404663,160
Lauraceae,Ocotea puberula,-41.100556,-20.519167,13.94166668256124,120.66666666666667
Lauraceae,Ocotea puberula,-44.389167,-22.276389000000002,18.075000047683716,126.16666666666667
Lauraceae,Ocotea puberula,-48.183333,-23.033333,20.233333587646484,102.41666666666667
Lauraceae,Ocotea puberula,-45.42,-23.37,17.84999982515971,123.75
Lauraceae,Ocotea puberula,-75.236802,6.356619,17.708333333333332,219.5
Lauraceae,Ocotea puberula,-75.211674,6.322652,18.466666380564373,216.33333333333334
Lauraceae,Ocotea puberula,-75.134416,6.222817,17.933333079020183,217.83333333333334
Lauraceae,Ocotea puberula,-85.4502,11.0183,24.475000222524006,195
Lauraceae,Ocotea puberula,-51.885,-27.360278,18.108333428700764,143.66666666666666
Lauraceae,Ocotea puberula,-51.526111,-27.32,17.791666587193806,133.5
Lauraceae,Ocotea puberula,-53.418056,-26.591944,18.74999992052714,165.58333333333334
Lauraceae,Ocotea puberula,-53.098889,-26.637222,18.150000015894573,168.66666666666666
Lauraceae,Ocotea puberula,-50.005278,-25.253611,17.450000286102295,123.08333333333333
Lauraceae,Ocotea puberula,-49.146389,-25.298055,17.224999745686848,141.33333333333334
Lauraceae,Ocotea puberula,-49.049722,-27.573333,16.50833336512248,139.08333333333334
Lauraceae,Ocotea puberula,-49.049722,-27.54,16.12500007947286,140.16666666666666
Lauraceae,Ocotea puberula,-48.960833,-27.809722,16.824999888737995,136.08333333333334
Lauraceae,Ocotea puberula,-48.96,-27.54,16.641666730244953,140.41666666666666
Lauraceae,Ocotea puberula,-48.800833,-27.7025,19.683333317438763,129.66666666666666
Lauraceae,Ocotea puberula,-54.144167,-24.233611,20.875,133.58333333333334
Lauraceae,Ocotea puberula,-53.6575,-25.516667,19.608333349227905,148.16666666666666
Lauraceae,Ocotea puberula,-53.653889,-25.499167,19.641666809717815,148.66666666666666
Lauraceae,Ocotea puberula,-53.646667,-25.492778,19.708333174387615,148.41666666666666
Lauraceae,Ocotea puberula,-53.645556,-25.5125,19.675000111262005,148.58333333333334
Lauraceae,Ocotea puberula,-53.640556,-25.502778,19.608333508173626,149.16666666666666
Lauraceae,Ocotea puberula,-53.64,-25.515833,19.59166677792867,149.08333333333334
Lauraceae,Ocotea puberula,-72.596942,5.214797,25.800000190734863,247.91666666666666
Lauraceae,Ocotea puberula,-52.683333,-26.233333,17.183333317438763,161.58333333333334
Lauraceae,Ocotea puberula,-56.683611,-28.100556,20.97500006357829,125.66666666666667
Lauraceae,Ocotea puberula,-51.916667,-23.416667,18.27500009536743,107
Lauraceae,Ocotea puberula,-51.866592,-23.346092,19.391666571299236,107.41666666666667
Lauraceae,Ocotea puberula,-52.722556,-23.861583,19.441666682561237,118.25
Lauraceae,Ocotea puberula,-52.853583,-22.631472,22.18333355585734,100.33333333333333
Lauraceae,Ocotea puberula,-51.944986,-23.390906,18.96666685740153,106.41666666666667
Lauraceae,Ocotea puberula,-51.944611,-23.391992,18.833333253860474,106
Lauraceae,Ocotea puberula,-52.2836,-24.4205,18.866666555404663,127.33333333333333
Lauraceae,Ocotea puberula,-48.997778,-25.494167,17.15833353996277,158.08333333333334
Lauraceae,Ocotea puberula,-51.583333,-25.9,15.416666587193808,148.08333333333334
Lauraceae,Ocotea puberula,-51.929444,-23.4275,18.30833339691162,105.16666666666667
Lauraceae,Ocotea puberula,-96.321705,17.5198861,21.625,201
Lauraceae,Ocotea puberula,-96.3111487,17.5090536,19.608333110809326,223.41666666666666
Lauraceae,Ocotea puberula,-51.18,-30.08,19.21666669845581,128.25
Lauraceae,Ocotea puberula,-55.73,-15.45,21.89999993642171,130
Lauraceae,Ocotea puberula,-48.94,-25.43,18.325000127156574,151.16666666666666
Lauraceae,Ocotea puberula,-48.94,-25.43,18.325000127156574,151.16666666666666
Lauraceae,Ocotea puberula,-48.91,-25.43,19.791666587193806,152.08333333333334
Lauraceae,Ocotea puberula,-48.74,-25.83,20.741666952768963,149.5
Lauraceae,Ocotea puberula,-40.82,-19.87,19.89999993642171,108.58333333333333
Lauraceae,Ocotea puberula,-38.72,-3.9,21.825000127156574,138.58333333333334
Lauraceae,Ocotea puberula,-48.033333,-15.924167,20.300000031789143,128.41666666666666
Lauraceae,Ocotea puberula,-92.155877,15.032049,24.43333339691162,270.5
Lauraceae,Ocotea puberula,-75.196624,5.89142,20.72499990463257,221.75
Lauraceae,Ocotea puberula,-49.581111,-25.102778,18.22500006357829,131.25
Lauraceae,Ocotea puberula,-53.114167,-24.32,20.60000006357829,130.58333333333334
Lauraceae,Ocotea puberula,-46.372778,-20.511389,17.916666746139526,140
Lauraceae,Ocotea puberula,-53.06,-25.421389,18.53333330154419,149.41666666666666
Lauraceae,Ocotea puberula,-52.003889,-23.520556,18.883333206176758,109
Lauraceae,Ocotea puberula,-51.575278,-23.523611,18.574999888737995,121
Lauraceae,Ocotea puberula,-51.051111,-23.58,20.516666730244953,124
Lauraceae,Ocotea puberula,-48.423333,-24.5125,21.675000031789143,120.25
Lauraceae,Ocotea puberula,-53.501667,-25.084444,18.366666714350384,151.16666666666666
Lauraceae,Ocotea puberula,-53.055,-25.431111,18.325000047683716,150.16666666666666
Lauraceae,Ocotea puberula,-52.385555,-23.560833,20.47499990463257,110.66666666666667
Lauraceae,Ocotea puberula,-54.211111,-24.510556,20.599999745686848,138.33333333333334
Lauraceae,Ocotea puberula,-53.087778,-25.716389,18.408333381017048,159.41666666666666
Lauraceae,Ocotea puberula,-53.384722,-25.293333,18.733333349227905,150.41666666666666
Lauraceae,Ocotea puberula,-53.3825,-25.301111,18.675000190734863,151
Lauraceae,Ocotea puberula,-46.5419,-22.9519,18.4416667620341,117.25
Lauraceae,Ocotea puberula,-47.4581,-23.5017,19.641666730244953,105
Lauraceae,Ocotea puberula,-47.086761,-22.863721,20.491666793823242,107.25
Lauraceae,Ocotea puberula,-51.9386,-23.4253,18.21666669845581,105.08333333333333
Lauraceae,Ocotea puberula,-46.0386,-23.5725,18.025000015894573,152.83333333333334
Lauraceae,Ocotea puberula,-51.1628,-23.3103,20.608333428700764,133.41666666666666
Lauraceae,Ocotea puberula,-48.35056,-23.423889,19.18333339691162,102.25
Lauraceae,Ocotea puberula,-51.1628,-23.3103,20.608333428700764,133.41666666666666
Lauraceae,Ocotea puberula,-47.7147,-23.1019,20.47499990463257,97.08333333333333
Lauraceae,Ocotea puberula,-46.6808,-22.6819,19.03333369890849,111.66666666666667
Lauraceae,Ocotea puberula,-49.25,-24.266667,16.47500006357829,115.5
Lauraceae,Ocotea puberula,-47.092482,-23.714883,17.100000143051147,127.83333333333333
Lauraceae,Ocotea puberula,-46.1447,-22.7553,17.483333428700764,128.58333333333334
Lauraceae,Ocotea puberula,-47.072168,-23.72448,17.02500009536743,129
Lauraceae,Ocotea puberula,-47.058125,-23.734814,16.958333253860474,130.91666666666666
Lauraceae,Ocotea puberula,-46.1447,-22.7553,17.483333428700764,128.58333333333334
Lauraceae,Ocotea puberula,-45.080223,-23.373498,20.724999745686848,210.75
Lauraceae,Ocotea puberula,-45.079426,-23.380633,21.4416667620341,229.91666666666666
Lauraceae,Ocotea puberula,-45.07925,-23.38076,21.4416667620341,229.91666666666666
Lauraceae,Ocotea puberula,-45.078966,-23.380353,21.4416667620341,229.91666666666666
Lauraceae,Ocotea puberula,-45.12775,-23.421611,21.883333047231037,216
Lauraceae,Ocotea puberula,-45.080833,-23.373889,20.724999745686848,210.75
Lauraceae,Ocotea puberula,-45.079367,-23.380832,21.4416667620341,229.91666666666666
Lauraceae,Ocotea puberula,-45.078927,-23.381103,21.4416667620341,229.91666666666666
Lauraceae,Ocotea puberula,-45.012952,-23.23559,15.783333460489908,139.66666666666666
Lauraceae,Ocotea puberula,-50.5475,-27.955556,15.291666587193808,125.16666666666667
Lauraceae,Ocotea puberula,-53.4,-26.59,18.483333349227905,166.5
Lauraceae,Ocotea puberula,-52.201111,-27.268889,18.508333285649616,160.83333333333334
Lauraceae,Ocotea puberula,-49.355833,-28.056944,16.300000031789143,131.83333333333334
Lauraceae,Ocotea puberula,-49.179722,-27.116111,16.399999777475994,141.08333333333334
