familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea rivularis,-83.2,8.79,24.325000127156574,245.75
Lauraceae,Ocotea rivularis,-83.56,8.7,25.233333269755047,236.25
Lauraceae,Ocotea rivularis,-83.6,8.73,25.12500015894572,244.66666666666666
Lauraceae,Ocotea rivularis,-83.6,8.733333,25.12500015894572,244.66666666666666
Lauraceae,Ocotea rivularis,-83.566667,8.666667,24.883333524068195,267.8333333333333
Lauraceae,Ocotea rivularis,-83.56,8.66,25.14999993642171,267.3333333333333
Lauraceae,Ocotea rivularis,-83.56,8.67,25.300000031789143,253.75
Lauraceae,Ocotea rivularis,-83.59,8.65,24.21666653951009,284
Lauraceae,Ocotea rivularis,-83.566667,8.666667,24.883333524068195,267.8333333333333
Lauraceae,Ocotea rivularis,-83.56666,8.66666,25.14999993642171,267.3333333333333
Lauraceae,Ocotea rivularis,-83.68,8.62,25.49166663487752,233.41666666666666
Lauraceae,Ocotea rivularis,-83.63333,8.76666,25.449999809265137,302.75
Lauraceae,Ocotea rivularis,-83.63,8.76,25.449999809265137,302.75
Lauraceae,Ocotea rivularis,-83.559722,8.716667,24.99166663487752,245.5
Lauraceae,Ocotea rivularis,-83.55,8.69,25.608333587646484,237.83333333333334
Lauraceae,Ocotea rivularis,-83.393056,8.770833,25.52499993642171,280.4166666666667
Lauraceae,Ocotea rivularis,-83.39,8.77,25.88333336512248,292
Lauraceae,Ocotea rivularis,-83.583333,8.683333,24.61666663487752,239.08333333333334
Lauraceae,Ocotea rivularis,-83.58,8.68,24.61666663487752,239.08333333333334
Lauraceae,Ocotea rivularis,-83.516667,8.7,25.516666571299236,242.16666666666666
Lauraceae,Ocotea rivularis,-83.51,8.7,26.125000317891438,247.33333333333334
Lauraceae,Ocotea rivularis,-83.202778,8.677778,25.37500015894572,259.5833333333333
Lauraceae,Ocotea rivularis,-83.2,8.67,25.608333587646484,259.75
Lauraceae,Ocotea rivularis,-83.25,8.76,26.133333524068195,270.9166666666667
Lauraceae,Ocotea rivularis,-83.25,8.766667,26.416666507720947,286.0833333333333
Lauraceae,Ocotea rivularis,-83.16,8.64,26.18333339691162,289.3333333333333
Lauraceae,Ocotea rivularis,-83.21667,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.21,8.68,25.22499990463257,247.66666666666666
Lauraceae,Ocotea rivularis,-83.476389,8.781944,26.233333110809326,282.8333333333333
Lauraceae,Ocotea rivularis,-83.21667,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.2,8.68333,25.616666952768963,252.41666666666666
Lauraceae,Ocotea rivularis,-83.5125,8.759167,26.008333206176758,258.5
Lauraceae,Ocotea rivularis,-83.21,8.68,25.22499990463257,247.66666666666666
Lauraceae,Ocotea rivularis,-83.2167,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.2167,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.2167,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.2167,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.2167,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.2167,8.68333,25.69166644414266,249.16666666666666
Lauraceae,Ocotea rivularis,-83.2167,8.68333,25.69166644414266,249.16666666666666
