familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Ocotea stenoneura,-83.9519,10.0114,17.35000006357829,334.6666666666667
Lauraceae,Ocotea stenoneura,-84.187941,9.970203,22.18333339691162,219.91666666666666
Lauraceae,Ocotea stenoneura,-83.9519,10.0114,17.35000006357829,334.6666666666667
Lauraceae,Ocotea stenoneura,-83.7,9.83,22.350000222524006,253.91666666666666
Lauraceae,Ocotea stenoneura,-83.641389,9.3925,20.866666793823242,210.83333333333334
Lauraceae,Ocotea stenoneura,-82.63166,8.75833,19.233333110809326,251.33333333333334
Lauraceae,Ocotea stenoneura,-84.479444,10.396944,26.075000127156574,282.4166666666667
Lauraceae,Ocotea stenoneura,-77.3,8.15,17.97500006357829,171.58333333333334
Lauraceae,Ocotea stenoneura,-82.93,8.8,21.516666889190674,255.91666666666666
Lauraceae,Ocotea stenoneura,-82.975,8.788889,20.266666730244953,223.33333333333334
Lauraceae,Ocotea stenoneura,-82.97,8.78,19.891666571299236,244.33333333333334
Lauraceae,Ocotea stenoneura,-84.833889,10.311111,19.949999809265137,194.75
Lauraceae,Ocotea stenoneura,-83.69,9.96,21.06666660308838,263.4166666666667
Lauraceae,Ocotea stenoneura,-83.688333,9.970833,20.641666730244953,269.1666666666667
Lauraceae,Ocotea stenoneura,-83.085278,9.406667,19.875,265.75
Lauraceae,Ocotea stenoneura,-83.08,9.4,20.38333336512248,260
Lauraceae,Ocotea stenoneura,-84.775,10.4083,22.65833330154419,326.3333333333333
Lauraceae,Ocotea stenoneura,-84.775,10.408333,22.65833330154419,326.3333333333333
Lauraceae,Ocotea stenoneura,-84.77,10.4,22.258333206176758,338.4166666666667
Lauraceae,Ocotea stenoneura,-84.7,10.33,21.266666571299236,298.25
Lauraceae,Ocotea stenoneura,-84.7,10.33333,21.266666571299236,298.25
Lauraceae,Ocotea stenoneura,-84.7,10.333333,21.266666571299236,298.25
Lauraceae,Ocotea stenoneura,-83.234722,9.334722,13.833333412806192,226.41666666666666
Lauraceae,Ocotea stenoneura,-83.232222,9.370278,15.741666793823242,243
Lauraceae,Ocotea stenoneura,-83.230555,9.359722,15.808333476384481,241.83333333333334
Lauraceae,Ocotea stenoneura,-83.23,9.33,13.483333428700766,240.5
Lauraceae,Ocotea stenoneura,-83.229167,9.359722,15.808333476384481,241.83333333333334
Lauraceae,Ocotea stenoneura,-83.22,9.35,14.875,291
Lauraceae,Ocotea stenoneura,-83.217778,9.400556,17.22500006357829,237.33333333333334
Lauraceae,Ocotea stenoneura,-83.215278,9.390278,16.37500023841858,229.75
Lauraceae,Ocotea stenoneura,-83.21,9.39,16.37500023841858,229.75
Lauraceae,Ocotea stenoneura,-84.204167,9.718611,20.425000031789143,221.16666666666666
Lauraceae,Ocotea stenoneura,-84.2,9.71,18.72500006357829,222.83333333333334
Lauraceae,Ocotea stenoneura,-83.589279,9.39344,19.300000031789143,244.66666666666666
Lauraceae,Ocotea stenoneura,-83.58916,9.39333,19.300000031789143,244.66666666666666
Lauraceae,Ocotea stenoneura,-83.58,9.39,17.916666666666668,264.5833333333333
Lauraceae,Ocotea stenoneura,-83.009966,9.039314,17.649999777475994,279.8333333333333
Lauraceae,Ocotea stenoneura,-82.964316,9.128749,12.28333322207133,194.33333333333334
Lauraceae,Ocotea stenoneura,-82.96,9.12,12.083333253860474,194.33333333333334
Lauraceae,Ocotea stenoneura,-82.75,8.833333,20.31666660308838,237.58333333333334
Lauraceae,Ocotea stenoneura,-82.75,8.866667,18.19166660308838,269.9166666666667
Lauraceae,Ocotea stenoneura,-83.008169,9.027104,18.833333333333332,275.75
Lauraceae,Ocotea stenoneura,-83,9.02,19.47500006357829,285.1666666666667
Lauraceae,Ocotea stenoneura,-82.858277,8.945877,19.24999984105428,236.5
Lauraceae,Ocotea stenoneura,-82.85,8.94,19.333333333333332,245.5
Lauraceae,Ocotea stenoneura,-82.836111,8.954167,18.00833336512248,272.8333333333333
Lauraceae,Ocotea stenoneura,-82.74,8.95,15.758333603541056,208.66666666666666
Lauraceae,Ocotea stenoneura,-82.964981,9.019791,17.800000031789143,262.9166666666667
Lauraceae,Ocotea stenoneura,-82.96472,9.01972,17.800000031789143,262.9166666666667
Lauraceae,Ocotea stenoneura,-84.169464,10.174392,16.608333349227905,255.83333333333334
Lauraceae,Ocotea stenoneura,-83.066572,9.138805,14.849999984105429,243.75
Lauraceae,Ocotea stenoneura,-83.06657,9.138805,14.849999984105429,243.75
Lauraceae,Ocotea stenoneura,-82.965139,9.025917,16.416666587193806,271.9166666666667
Lauraceae,Ocotea stenoneura,-84.18806,9.97028,22.18333339691162,219.91666666666666
