familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Olmedia aspera,-76.135694,4.7445,18.74166663487752,186
Moraceae,Olmedia aspera,-76.116222,4.779056,18.90833330154419,172
Moraceae,Olmedia aspera,-76.115361,4.779222,18.90833330154419,172
Moraceae,Olmedia aspera,-76.114806,4.780194,18.90833330154419,172
Moraceae,Olmedia aspera,-76.094333,4.801028,18.84166653951009,207.58333333333334
Moraceae,Olmedia aspera,-75.732533,4.6124,20.341667016347248,162
Moraceae,Olmedia aspera,-75.732317,4.613333,20.341667016347248,162
Moraceae,Olmedia aspera,-75.726067,4.64295,20.016666571299236,169.33333333333334
Moraceae,Olmedia aspera,-75.725817,4.6429,20.016666571299236,169.33333333333334
Moraceae,Olmedia aspera,-75.725217,4.642367,20.016666571299236,169.33333333333334
Moraceae,Olmedia aspera,-75.720717,4.577233,20.53333330154419,162.83333333333334
Moraceae,Olmedia aspera,-75.720667,4.577367,20.53333330154419,162.83333333333334
Moraceae,Olmedia aspera,-75.671333,4.59795,18.974999745686848,181.66666666666666
Moraceae,Olmedia aspera,-76.18322,3.616676,20.55833339691162,137.91666666666666
Moraceae,Olmedia aspera,-76.213583,4.722222,18.774999618530273,178.33333333333334
Moraceae,Olmedia aspera,-76.213528,4.722333,18.774999618530273,178.33333333333334
Moraceae,Olmedia aspera,-76.159167,4.028611,22.19166660308838,127.75
Moraceae,Olmedia aspera,-76.111861,4.778778,18.90833330154419,172
Moraceae,Olmedia aspera,-76.111639,4.779472,18.90833330154419,172
Moraceae,Olmedia aspera,-76.111556,4.779278,18.90833330154419,172
Moraceae,Olmedia aspera,-75.731611,4.608667,20.341667016347248,162
Moraceae,Olmedia aspera,-75.731556,4.608417,20.341667016347248,162
Moraceae,Olmedia aspera,-75.729306,4.609028,20.341667016347248,162
Moraceae,Olmedia aspera,-75.722917,4.640583,19.949999650319416,170.16666666666666
Moraceae,Olmedia aspera,-75.719083,4.632111,19.899999618530273,170.58333333333334
Moraceae,Olmedia aspera,-75.698167,4.595556,19.708333333333332,175
