familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Araliaceae,Oreopanax xalapensis,-89.7166667,14.1166667,19.674999872843426,149.33333333333334
Araliaceae,Oreopanax xalapensis,-89.7255556,14.1197223,19.11666663487752,150.91666666666666
Araliaceae,Oreopanax xalapensis,-89.63333,13.86666,14.333333253860474,163.25
Araliaceae,Oreopanax xalapensis,-86.41666,13.1,20.1916667620341,101.83333333333333
Araliaceae,Oreopanax xalapensis,-86.41666,13.1,20.1916667620341,101.83333333333333
Araliaceae,Oreopanax xalapensis,-85.9666667,11.8333333,21.733333428700764,143.66666666666666
Araliaceae,Oreopanax xalapensis,-85.96666,11.83333,21.03333330154419,158.08333333333334
Araliaceae,Oreopanax xalapensis,-85.9666667,11.8166667,23.4333332379659,140.41666666666666
Araliaceae,Oreopanax xalapensis,-85.96666,11.81666,23.85000006357829,130.25
Araliaceae,Oreopanax xalapensis,-82.5,8.83333,15.550000190734863,222.75
Araliaceae,Oreopanax xalapensis,-83.91361,9.89777,17.69166660308838,168.58333333333334
Araliaceae,Oreopanax xalapensis,-110.95,18.7667,23.21666653951009,29.333333333333332
Araliaceae,Oreopanax xalapensis,-96.525,17.5875,11.416666746139526,106.16666666666667
Araliaceae,Oreopanax xalapensis,-96.4764,17.5931,14.100000063578287,139
Araliaceae,Oreopanax xalapensis,-96.4583,17.5583,11.166666666666666,110.75
Araliaceae,Oreopanax xalapensis,-96.4369,17.385,11.691666603088379,102
Araliaceae,Oreopanax xalapensis,-96.373,17.487,15.650000015894571,188.25
Araliaceae,Oreopanax xalapensis,-84.1231,10.1383,12.016666650772095,180.58333333333334
Araliaceae,Oreopanax xalapensis,-84.1075,10.1383,11.37500007947286,197.08333333333334
Araliaceae,Oreopanax xalapensis,-84.1056,10.1372,11.37500007947286,197.08333333333334
Araliaceae,Oreopanax xalapensis,-92.591667,16.825,13.224999984105429,98.66666666666667
Araliaceae,Oreopanax xalapensis,-92.408333,16.875,17.891666650772095,121.66666666666667
Araliaceae,Oreopanax xalapensis,-92.85,15.583333,24.208333651224773,212.41666666666666
Araliaceae,Oreopanax xalapensis,-92.225,15.3125,17.90833346048991,118.33333333333333
Araliaceae,Oreopanax xalapensis,-92.498611,15.415278,19.81666644414266,156.08333333333334
Araliaceae,Oreopanax xalapensis,-92.316667,16.625,16.066666841506958,95.83333333333333
Araliaceae,Oreopanax xalapensis,-92.591667,16.825,13.224999984105429,98.66666666666667
Araliaceae,Oreopanax xalapensis,-92.504444,16.818333,15.74999992052714,100.41666666666667
Araliaceae,Oreopanax xalapensis,-92.5,16.808333,15.541666746139526,98.41666666666667
Araliaceae,Oreopanax xalapensis,-92.441667,16.819444,17.21666653951009,116.08333333333333
Araliaceae,Oreopanax xalapensis,-92.908333,17.188889,16.674999713897705,114.33333333333333
Araliaceae,Oreopanax xalapensis,-92.902778,17.186111,16.674999713897705,114.33333333333333
Araliaceae,Oreopanax xalapensis,-92.9,17.2,15.916666666666666,112.83333333333333
Araliaceae,Oreopanax xalapensis,-92.675,16.738889,15.166666587193808,89.91666666666667
Araliaceae,Oreopanax xalapensis,-92.252778,15.334722,19.174999872843426,137.25
Araliaceae,Oreopanax xalapensis,-92.252778,15.334722,19.174999872843426,137.25
Araliaceae,Oreopanax xalapensis,-93.875,16.669444,24.06666660308838,70.58333333333333
Araliaceae,Oreopanax xalapensis,-92.613333,16.748611,15.441666841506958,90.25
Araliaceae,Oreopanax xalapensis,-92.111111,15.130556,7.883333325386047,127.66666666666667
Araliaceae,Oreopanax xalapensis,-91.666667,16.083333,19.608333269755047,228.5
Araliaceae,Oreopanax xalapensis,-92.680556,16.716667,15.108333428700766,88.91666666666667
Araliaceae,Oreopanax xalapensis,-92.63,16.73,15.800000031789144,89.41666666666667
Araliaceae,Oreopanax xalapensis,-100.85,19.67528,12.950000047683716,92.16666666666667
Araliaceae,Oreopanax xalapensis,-92.904167,17.179167,17.5666667620341,118.83333333333333
Araliaceae,Oreopanax xalapensis,-92.696111,16.745833,13.691666603088379,94
Araliaceae,Oreopanax xalapensis,-97.966667,17.2,20.016666571299236,98.33333333333333
Araliaceae,Oreopanax xalapensis,-96.03333333,17.2,16.849999745686848,182.33333333333334
Araliaceae,Oreopanax xalapensis,-96.898056,19.790833,16.366666555404663,129.41666666666666
Araliaceae,Oreopanax xalapensis,-102.341667,19.355556,16.016666571299236,91.08333333333333
Araliaceae,Oreopanax xalapensis,-96.404464,15.945267,21.49166663487752,187.25
Araliaceae,Oreopanax xalapensis,-96.403328,15.950558,21.8249994913737,155
Araliaceae,Oreopanax xalapensis,-102.342,19.356,16.016666571299236,91.08333333333333
Araliaceae,Oreopanax xalapensis,-99.865281,18.396111,20.99166663487752,93.75
Araliaceae,Oreopanax xalapensis,-93.091111,16.793056,23.53333330154419,95
Araliaceae,Oreopanax xalapensis,-92.270561,15.385,18.59166685740153,117
Araliaceae,Oreopanax xalapensis,-92.476669,16.828331,15.241666475931803,101.33333333333333
Araliaceae,Oreopanax xalapensis,-92.453889,16.827781,17.50000023841858,119.91666666666667
Araliaceae,Oreopanax xalapensis,-92.475561,16.788331,14.483333349227905,98.66666666666667
Araliaceae,Oreopanax xalapensis,-92.841183,16.063639,25.216667016347248,130.5
Araliaceae,Oreopanax xalapensis,-91.726456,16.117083,19.75,199.58333333333334
Araliaceae,Oreopanax xalapensis,-93.091111,16.793056,23.53333330154419,95
Araliaceae,Oreopanax xalapensis,-92.475561,16.788331,14.483333349227905,98.66666666666667
Araliaceae,Oreopanax xalapensis,-92.088061,15.054169,22.008333524068195,283.5833333333333
Araliaceae,Oreopanax xalapensis,-92.679868,16.724009,15.108333428700766,88.91666666666667
Araliaceae,Oreopanax xalapensis,-97.861669,17.04845,23.44166644414266,118.16666666666667
Araliaceae,Oreopanax xalapensis,-91.44444,16.14444,23.991666475931805,183.33333333333334
Araliaceae,Oreopanax xalapensis,-98.7439,20.202489,12.641666650772095,64.08333333333333
Araliaceae,Oreopanax xalapensis,-98.225561,20.328456,16.2583331267039,152.5
Araliaceae,Oreopanax xalapensis,-92.682219,16.848061,15.208333174387613,96.33333333333333
Araliaceae,Oreopanax xalapensis,-91.44444,16.14444,23.991666475931805,183.33333333333334
Araliaceae,Oreopanax xalapensis,-97.987528,17.199167,18.81666660308838,88.75
Araliaceae,Oreopanax xalapensis,-96.637778,18.108444,20.791666666666668,339.4166666666667
Araliaceae,Oreopanax xalapensis,-84.11,10.13,11.524999856948853,174.41666666666666
Araliaceae,Oreopanax xalapensis,-83.77,9.99,13.05833331743876,371.8333333333333
Araliaceae,Oreopanax xalapensis,-83.0794132,9.1419002,15.800000111262003,255
Araliaceae,Oreopanax xalapensis,-84.8,10.3,18.574999968210857,210.08333333333334
Araliaceae,Oreopanax xalapensis,-84.16,9.91,19.03333330154419,224.75
Araliaceae,Oreopanax xalapensis,-84.1,10.13,11.49999992052714,191.91666666666666
Araliaceae,Oreopanax xalapensis,-97.826944,20.013611,18.041666825612385,160.33333333333334
Araliaceae,Oreopanax xalapensis,-97.678333,19.871667,16.108333428700764,100
Araliaceae,Oreopanax xalapensis,-97.655278,19.907778,16.6166668732961,109.83333333333333
Araliaceae,Oreopanax xalapensis,-92.4925,16.742222,14.40833338101705,96.5
Araliaceae,Oreopanax xalapensis,-92.491944,16.743889,14.40833338101705,96.5
Araliaceae,Oreopanax xalapensis,-92.490833,16.737222,14.333333174387613,96.66666666666667
Araliaceae,Oreopanax xalapensis,-92.49,16.735556,14.333333174387613,96.66666666666667
Araliaceae,Oreopanax xalapensis,-92.489722,16.739167,14.333333174387613,96.66666666666667
Araliaceae,Oreopanax xalapensis,-92.09028,15.08611,18.425000031789143,205.25
Araliaceae,Oreopanax xalapensis,-92.905,17.18,17.5666667620341,118.83333333333333
Araliaceae,Oreopanax xalapensis,-93.517083,16.932417,21.800000031789143,102.91666666666667
Araliaceae,Oreopanax xalapensis,-92.670833,16.743889,15.133333285649618,90.08333333333333
Araliaceae,Oreopanax xalapensis,-98.708333,20.208333,12.09166661898295,74.83333333333333
Araliaceae,Oreopanax xalapensis,-104.982778,21.432222,18.050000031789143,115.66666666666667
