familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Ormosia amazonica,-79.85,-0.617,24.12500015894572,138.58333333333334
Fabaceae,Ormosia amazonica,-77.826,-1.919,22.5583332379659,311.1666666666667
Fabaceae,Ormosia amazonica,-55.516877,-1.904701,26.758333047231037,170.16666666666666
Fabaceae,Ormosia amazonica,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Ormosia amazonica,-52.53,-5.64861,24.61666663487752,156
Fabaceae,Ormosia amazonica,-74.14,-9.1839,26.22499990463257,146.33333333333334
Fabaceae,Ormosia amazonica,-70.25,-7.5,25.274999777475994,192.33333333333334
Fabaceae,Ormosia amazonica,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Ormosia amazonica,-64.435,-16.7261,25.208333333333332,250.41666666666666
Fabaceae,Ormosia amazonica,-72.8667,3.8811,26.583333174387615,229.33333333333334
Fabaceae,Ormosia amazonica,-72.8667,3.8811,26.583333174387615,229.33333333333334
Fabaceae,Ormosia amazonica,-69.97183,-4.175,26.608333428700764,248.66666666666666
Fabaceae,Ormosia amazonica,-69.97167,-4.175,26.608333428700764,248.66666666666666
Fabaceae,Ormosia amazonica,-75,-4,26.225000222524006,209
Fabaceae,Ormosia amazonica,-74.14,-9.1839,26.22499990463257,146.33333333333334
Fabaceae,Ormosia amazonica,-72.8667,3.8811,26.583333174387615,229.33333333333334
Fabaceae,Ormosia amazonica,-70.56199,-3.70261,26.608333428700764,246.33333333333334
Fabaceae,Ormosia amazonica,-78.95,-4.12,22.56666660308838,122.33333333333333
Fabaceae,Ormosia amazonica,-78.88,-3.87,23.641666571299236,147.16666666666666
Fabaceae,Ormosia amazonica,-78.12,-2.3,21.291666666666668,201.91666666666666
Fabaceae,Ormosia amazonica,-78.11666,-2.3,21.56666660308838,206
Fabaceae,Ormosia amazonica,-79.85555,9.15694,25.983333269755047,199.5
Fabaceae,Ormosia amazonica,-71.82,-3.17,26.174999872843426,252
Fabaceae,Ormosia amazonica,-64.435,-16.7261,25.208333333333332,250.41666666666666
Fabaceae,Ormosia amazonica,-59.58,-4.38,27.108333428700764,169.66666666666666
Fabaceae,Ormosia amazonica,-59,-4.383333,27.008333206176758,184.08333333333334
Fabaceae,Ormosia amazonica,-51.62,0.17,26.516666571299236,194.83333333333334
Fabaceae,Ormosia amazonica,-51.616667,0.166667,26.516666571299236,194.83333333333334
Fabaceae,Ormosia amazonica,-78.56666,-3.45,23.633333206176758,151.5
Fabaceae,Ormosia amazonica,-78.1869,-1.4628,18.10000006357829,196.5
Fabaceae,Ormosia amazonica,-77,-0.4,24.891666571299236,296.8333333333333
Fabaceae,Ormosia amazonica,-78.5,-3.41666,23.516666730244953,160.08333333333334
Fabaceae,Ormosia amazonica,-78.1869,-1.4628,18.10000006357829,196.5
Fabaceae,Ormosia amazonica,-77.5,-1.13333,24.050000031789143,352.8333333333333
Fabaceae,Ormosia amazonica,-73.75,-4.92,26.50000015894572,211.66666666666666
Fabaceae,Ormosia amazonica,-69.28333,-12.83333,25.266666730244953,204.75
Fabaceae,Ormosia amazonica,-77.83333,-0.88333,22.233333269755047,331.6666666666667
Fabaceae,Ormosia amazonica,-78.17,-3.5,21.291666507720947,162.5
Fabaceae,Ormosia amazonica,-78.15,-2.53333,22.90833346048991,201.33333333333334
Fabaceae,Ormosia amazonica,-72.355,-0.61333,26.333333333333332,225.58333333333334
Fabaceae,Ormosia amazonica,-72.33333,-0.41666,26.21666669845581,227.16666666666666
Fabaceae,Ormosia amazonica,-71.4,-11.88,25.050000031789143,212.75
Fabaceae,Ormosia amazonica,-76.366667,-0.816667,24.983333428700764,280.3333333333333
Fabaceae,Ormosia amazonica,-77.6,-1.06666,23.958333174387615,355.3333333333333
Fabaceae,Ormosia amazonica,-76.316667,-0.816667,24.9333332379659,279.0833333333333
Fabaceae,Ormosia amazonica,-74.16667,2.6667,25.516666412353516,190.66666666666666
Fabaceae,Ormosia amazonica,-84.134722,10.345833,24.49166663487752,283.5
Fabaceae,Ormosia amazonica,-84.13,10.34,24.241666793823242,289.8333333333333
Fabaceae,Ormosia amazonica,-78.31666,-4.91666,24.991666475931805,175.75
Fabaceae,Ormosia amazonica,-76.874488,0.701342,24.5666667620341,293.25
Fabaceae,Ormosia amazonica,-79.3,-3.9,16.88333336512248,68.16666666666667
Fabaceae,Ormosia amazonica,-77.6,-1.066667,23.94166660308838,355.5
Fabaceae,Ormosia amazonica,-77.6,-1.06666,23.958333174387615,355.3333333333333
Fabaceae,Ormosia amazonica,-76.38333,-0.33333,25.10000006357829,280.25
Fabaceae,Ormosia amazonica,-73.7599,3.98375,24.658333619435627,234.08333333333334
Fabaceae,Ormosia amazonica,-72.8683,-11.7815,24.924999872843426,154.08333333333334
Fabaceae,Ormosia amazonica,-71.73222,-0.97305,26.291666666666668,234.25
Fabaceae,Ormosia amazonica,-78.5,8.4833,26.633333206176758,184.75
Fabaceae,Ormosia amazonica,-64.108333,-17.35,24.566666920979817,166.5
Fabaceae,Ormosia amazonica,-64.1083,-17.35,24.566666920979817,166.5
Fabaceae,Ormosia amazonica,-83.02639,9.673611,25.708333333333332,257.75
Fabaceae,Ormosia amazonica,-83.026389,9.673611,25.708333333333332,257.75
Fabaceae,Ormosia amazonica,-78.6,-3.41666,22.724999745686848,149.41666666666666
Fabaceae,Ormosia amazonica,-77.8,-1.933333,22.508333524068195,313.4166666666667
Fabaceae,Ormosia amazonica,-83.05,9.672222,24.050000031789143,286.0833333333333
Fabaceae,Ormosia amazonica,-72.9375,0.242222,25.916666825612385,221.91666666666666
Fabaceae,Ormosia amazonica,-72.632778,0.567778,26.125,230.75
Fabaceae,Ormosia amazonica,-72.457778,0.070278,26.425000190734863,225.66666666666666
Fabaceae,Ormosia amazonica,-72.457694,0.010528,25.833333333333332,231.75
Fabaceae,Ormosia amazonica,-67.595833,-14.321667,25.233333269755047,159.5
Fabaceae,Ormosia amazonica,-72.609722,0.167222,26.324999968210857,223.25
Fabaceae,Ormosia amazonica,-72.423611,0.213333,26.458333333333332,224.91666666666666
Fabaceae,Ormosia amazonica,-72.415278,0.209444,26.458333333333332,224.91666666666666
Fabaceae,Ormosia amazonica,-79.33,-1.65,22.39999993642171,146.08333333333334
Fabaceae,Ormosia amazonica,-78.06666,-2.33333,21.483333428700764,206.58333333333334
Fabaceae,Ormosia amazonica,-77.9,-2.533333,23.93333339691162,236.66666666666666
Fabaceae,Ormosia amazonica,-77.9,-2.53333,23.93333339691162,236.66666666666666
Fabaceae,Ormosia amazonica,-79.32,-1.65,22.149999777475994,141.75
Fabaceae,Ormosia amazonica,-70.01,-12.6,25.074999809265137,280.75
Fabaceae,Ormosia amazonica,-64.435,-16.7261,25.208333333333332,250.41666666666666
Fabaceae,Ormosia amazonica,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Ormosia amazonica,-83.983333,10.433333,26.050000031789143,310.3333333333333
Fabaceae,Ormosia amazonica,-75.259722,-10.346667,24.5666667620341,184.08333333333334
Fabaceae,Ormosia amazonica,-75.259167,-10.346944,24.5666667620341,184.08333333333334
Fabaceae,Ormosia amazonica,-65.1158,-9.6006,26.4333332379659,144.08333333333334
Fabaceae,Ormosia amazonica,-83.857778,10.191111,24.616666793823242,312.0833333333333
Fabaceae,Ormosia amazonica,-75.995555,-9.309722,24.49999984105428,248.83333333333334
Fabaceae,Ormosia amazonica,-74.16667,2.6667,25.516666412353516,190.66666666666666
Fabaceae,Ormosia amazonica,-72.8667,3.8811,26.583333174387615,229.33333333333334
Fabaceae,Ormosia amazonica,-71.87444,-1.30083,26.0583332379659,237.25
Fabaceae,Ormosia amazonica,-70.25,-7.5,25.274999777475994,192.33333333333334
Fabaceae,Ormosia amazonica,-63.6,-17.5,23.991666793823242,119.83333333333333
