familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Ormosia intermedia,-84.016668,10.433333,25.949999809265137,316.25
Fabaceae,Ormosia intermedia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Ormosia intermedia,-84.077561,10.477228,25.84166669845581,308
Fabaceae,Ormosia intermedia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Ormosia intermedia,-84,10.64,25.858333428700764,310.4166666666667
Fabaceae,Ormosia intermedia,-84.004167,10.641667,25.77500009536743,319.8333333333333
Fabaceae,Ormosia intermedia,-84.168611,10.748333,25.87499984105428,289.5833333333333
Fabaceae,Ormosia intermedia,-83.658333,10.675,26.25833336512248,300.5
Fabaceae,Ormosia intermedia,-83.658334,10.675,26.02500009536743,303.0833333333333
Fabaceae,Ormosia intermedia,-83.65833,10.675,26.25833336512248,300.5
