familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Ormosia velutina,-89.20378711,15.85978973,25.96666669845581,274.4166666666667
Fabaceae,Ormosia velutina,-89.02945323,16.88810251,23.550000031789143,175.66666666666666
Fabaceae,Ormosia velutina,-88.90828997,17.05252093,23.333333492279053,161.08333333333334
Fabaceae,Ormosia velutina,-88.77250043,16.29597179,25.40833314259847,257.9166666666667
Fabaceae,Ormosia velutina,-88.74503461,16.29597179,25.47500006357829,255.41666666666666
Fabaceae,Ormosia velutina,-88.67488773,17.13555944,24.94166660308838,163.91666666666666
Fabaceae,Ormosia velutina,-88.42189982,16.56005295,26.28333346048991,192.16666666666666
Fabaceae,Ormosia velutina,-88.42172816,16.56009408,26.28333346048991,192.16666666666666
Fabaceae,Ormosia velutina,-88.35525147,16.91455076,25.75833336512248,187.83333333333334
Fabaceae,Ormosia velutina,-88.32650716,17.09879725,25.866666793823242,183.5
Fabaceae,Ormosia velutina,-88.29270701,16.82477123,26.02499993642171,178.83333333333334
Fabaceae,Ormosia velutina,-87.31304859,15.60033161,26.758333047231037,170.25
Fabaceae,Ormosia velutina,-86.66774703,14.5525575,23.25,96.16666666666667
Fabaceae,Ormosia velutina,-84.43158386,11.13113947,25.949999968210857,244.33333333333334
Fabaceae,Ormosia velutina,-84.14211798,12.20898121,25.56666628519694,247.25
Fabaceae,Ormosia velutina,-84.12014532,12.20898121,25.34166685740153,246.75
Fabaceae,Ormosia velutina,-84.09817266,12.21971884,25.416666825612385,257.8333333333333
Fabaceae,Ormosia velutina,-84.08718634,12.18750464,25.491666475931805,259.4166666666667
Fabaceae,Ormosia velutina,-84.07889959,10.67553357,25.81666660308838,285.5833333333333
Fabaceae,Ormosia velutina,-84.07391966,10.35764769,24.408332983652752,312.9166666666667
Fabaceae,Ormosia velutina,-84.06667996,10.4520132,25.833333333333332,308.1666666666667
Fabaceae,Ormosia velutina,-84.06521368,12.19824314,25.291666825612385,256.4166666666667
Fabaceae,Ormosia velutina,-84.05148409,10.40211561,25.59166685740153,309.5833333333333
Fabaceae,Ormosia velutina,-84.00303449,10.43415526,26.041666666666668,306.6666666666667
Fabaceae,Ormosia velutina,-84.00301303,10.43426078,26.041666666666668,306.6666666666667
Fabaceae,Ormosia velutina,-84.00294866,10.43421857,26.041666666666668,306.6666666666667
Fabaceae,Ormosia velutina,-79.43152229,9.21394906,23.733333269755047,229.41666666666666
Fabaceae,Ormosia velutina,-79.40517638,9.23487406,21.983333269755047,207.08333333333334
Fabaceae,Ormosia velutina,-79.11034005,9.10205835,26.833333333333332,202.66666666666666
