familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Ochnaceae,Ouratea rinconensis,-83.4666667,8.6166667,26.27499993642171,242.91666666666666
Ochnaceae,Ouratea rinconensis,-83.52,8.61,25.39999993642171,261.0833333333333
Ochnaceae,Ouratea rinconensis,-83.59,8.64,24.12499984105428,289.9166666666667
Ochnaceae,Ouratea rinconensis,-83.51,8.7,26.125000317891438,247.33333333333334
Ochnaceae,Ouratea rinconensis,-83.16,8.65,25.241666475931805,287.5833333333333
Ochnaceae,Ouratea rinconensis,-83.466667,8.616667,26.27499993642171,242.91666666666666
Ochnaceae,Ouratea rinconensis,-83.516667,8.683333,26.03333330154419,247.41666666666666
Ochnaceae,Ouratea rinconensis,-83.608333,8.694444,25.083333492279053,248.58333333333334
Ochnaceae,Ouratea rinconensis,-83.590278,8.645833,24.21666653951009,284
Ochnaceae,Ouratea rinconensis,-83.525001,8.7,24.78333330154419,257.8333333333333
Ochnaceae,Ouratea rinconensis,-83.525,8.616667,25.350000222524006,278.4166666666667
Ochnaceae,Ouratea rinconensis,-83.516667,8.7,25.516666571299236,242.16666666666666
Ochnaceae,Ouratea rinconensis,-83.380556,8.75,26.324999968210857,277
Ochnaceae,Ouratea rinconensis,-83.3,8.75,26.266666571299236,276.5833333333333
Ochnaceae,Ouratea rinconensis,-83.168056000000007,8.654167,24.850000222524006,285.3333333333333
Ochnaceae,Ouratea rinconensis,-83.250001,8.766667,26.4333332379659,290.5833333333333
Ochnaceae,Ouratea rinconensis,-83.603333,8.616667,25.208333174387615,262.75
Ochnaceae,Ouratea rinconensis,-83.519444,8.672222,26.21666653951009,240.5
Ochnaceae,Ouratea rinconensis,-83.210487,8.70505,26.041666666666668,265.6666666666667
Ochnaceae,Ouratea rinconensis,-83.244148,8.672538,24.6833332379659,297.5833333333333
Ochnaceae,Ouratea rinconensis,-83.51,8.67,26.133333683013916,235.75
Ochnaceae,Ouratea rinconensis,-83.51,8.68,25.708333174387615,247.08333333333334
Ochnaceae,Ouratea rinconensis,-83.6,8.69,25.21666653951009,242.5
Ochnaceae,Ouratea rinconensis,-83.52,8.7,25.516666571299236,242.16666666666666
Ochnaceae,Ouratea rinconensis,-83.38,8.75,26.324999968210857,277
Ochnaceae,Ouratea rinconensis,-83.3,8.75,26.266666571299236,276.5833333333333
Ochnaceae,Ouratea rinconensis,-83.25,8.76,26.133333524068195,270.9166666666667
Ochnaceae,Ouratea rinconensis,-83.42,8.52,24.84166685740153,289.3333333333333
Ochnaceae,Ouratea rinconensis,-83.2441666,8.6725,24.6833332379659,297.5833333333333
Ochnaceae,Ouratea rinconensis,-80.6541667,8.8877777,26.324999968210857,258.8333333333333
Ochnaceae,Ouratea rinconensis,-80.6897222,8.9477777,26.300000031789143,256.5833333333333
Ochnaceae,Ouratea rinconensis,-84.14,9.38,26.433333079020183,190.83333333333334
Ochnaceae,Ouratea rinconensis,-83.59,8.64,24.12499984105428,289.9166666666667
Ochnaceae,Ouratea rinconensis,-83.51,8.68,25.708333174387615,247.08333333333334
Ochnaceae,Ouratea rinconensis,-83.6,8.69,25.21666653951009,242.5
Ochnaceae,Ouratea rinconensis,-83.51,8.7,26.125000317891438,247.33333333333334
Ochnaceae,Ouratea rinconensis,-83.5,8.7,25.55833339691162,275.25
Ochnaceae,Ouratea rinconensis,-83.25,8.76,26.133333524068195,270.9166666666667
Ochnaceae,Ouratea rinconensis,-83.51,8.71,24.21666653951009,261.6666666666667
Ochnaceae,Ouratea rinconensis,-83.51,8.67,26.133333683013916,235.75
Ochnaceae,Ouratea rinconensis,-83.42,8.52,24.84166685740153,289.3333333333333
Ochnaceae,Ouratea rinconensis,-83.24,8.67,25.24999984105428,269.1666666666667
Ochnaceae,Ouratea rinconensis,-83.1603,9.9828,25.666666507720947,286.25
Ochnaceae,Ouratea rinconensis,-80.6436,8.8958,26.108333110809326,258.0833333333333
Ochnaceae,Ouratea rinconensis,-80.7216667,8.8069444,26.041666666666668,264.4166666666667
Ochnaceae,Ouratea rinconensis,-80.6769445,8.9238889,26.27499993642171,255.58333333333334
Ochnaceae,Ouratea rinconensis,-80.5916666,8.9102778,26.199999809265137,260
Ochnaceae,Ouratea rinconensis,-83.5789,8.678658,24.61666663487752,239.08333333333334
Ochnaceae,Ouratea rinconensis,-83.5658,8.665814,25.14999993642171,267.3333333333333
Ochnaceae,Ouratea rinconensis,-83.5107,8.674755,26.133333683013916,235.75
Ochnaceae,Ouratea rinconensis,-83.4937,8.718694,25.008333206176758,244.66666666666666
Ochnaceae,Ouratea rinconensis,-83.4911,8.720954,25.608333587646484,261.3333333333333
Ochnaceae,Ouratea rinconensis,-83.2073,8.702647,26.041666666666668,271.25
Ochnaceae,Ouratea rinconensis,-83.21667,8.68333,25.69166644414266,249.16666666666666
Ochnaceae,Ouratea rinconensis,-83.21667,8.68333,25.69166644414266,249.16666666666666
Ochnaceae,Ouratea rinconensis,-83.2,8.7,26.25833336512248,261.5
