familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Oxandra venezuelana,-73.41111111,9.42416667,28.05833355585734,139.16666666666666
Annonaceae,Oxandra venezuelana,-92.46583333,15.14027778,27.541666507720947,186.75
Annonaceae,Oxandra venezuelana,-71.65277778,8.61361111,27.93333355585734,145.5
Annonaceae,Oxandra venezuelana,-71.65277778,8.61361111,27.93333355585734,145.5
Annonaceae,Oxandra venezuelana,-77.73444444,8.11,26.991666793823242,170.83333333333334
Annonaceae,Oxandra venezuelana,-74.08333333,6.66666667,27.90833314259847,241
Annonaceae,Oxandra venezuelana,-72.81138889,9.84333333,26.241666793823242,146.41666666666666
Annonaceae,Oxandra venezuelana,-72.545,10.06444444,27.291666984558105,102
Annonaceae,Oxandra venezuelana,-85.61666667,11.13333333,26.10000006357829,179.66666666666666
Annonaceae,Oxandra venezuelana,-72.63805556,8.6575,28.008333206176758,236.58333333333334
Annonaceae,Oxandra venezuelana,-72.05,7.51666667,24.89999993642171,178.58333333333334
Annonaceae,Oxandra venezuelana,-72.61666667,9.11666667,28.36666663487752,206.66666666666666
Annonaceae,Oxandra venezuelana,-72.33333333,10.9,27.35000006357829,85.16666666666667
Annonaceae,Oxandra venezuelana,-72.26666667,10.96666667,27.40000009536743,89.16666666666667
Annonaceae,Oxandra venezuelana,-85.35,12.18333333,25.52499993642171,124.08333333333333
Annonaceae,Oxandra venezuelana,-84.8875,11.38333333,26.175000190734863,190.25
Annonaceae,Oxandra venezuelana,-85.01666667,11.58333333,26.24166663487752,169.75
Annonaceae,Oxandra venezuelana,-84.81666667,11.36666667,26.31666644414266,196
Annonaceae,Oxandra venezuelana,-74.65,5.88333333,27.75000015894572,207.5
Annonaceae,Oxandra venezuelana,-85.61666667,11.16666667,26.27499993642171,183.08333333333334
Annonaceae,Oxandra venezuelana,-74.91666667,8.33333333,27.96666653951009,236.16666666666666
Annonaceae,Oxandra venezuelana,-72.63333333,8.83333333,28.016666730244953,178.58333333333334
Annonaceae,Oxandra venezuelana,-74.75,6.08333333,25.94166660308838,234.33333333333334
Annonaceae,Oxandra venezuelana,-84.53,9.75,24.94166660308838,231.33333333333334
Annonaceae,Oxandra venezuelana,-83.51666667,8.71666667,23.858333428700764,289.75
Annonaceae,Oxandra venezuelana,-85.36,9.88,26.31666660308838,181.16666666666666
Annonaceae,Oxandra venezuelana,-83.5,8.7,25.55833339691162,275.25
Annonaceae,Oxandra venezuelana,-84.4225,9.51944444,26.658333619435627,184.66666666666666
Annonaceae,Oxandra venezuelana,-83.46,8.88,26.52499993642171,311.1666666666667
Annonaceae,Oxandra venezuelana,-80.65416667,7.27222222,24.69166660308838,181.91666666666666
Annonaceae,Oxandra venezuelana,-83.5,8.76666667,26.241666475931805,280.1666666666667
Annonaceae,Oxandra venezuelana,-83.47083333,8.74861111,25.741666475931805,266.1666666666667
Annonaceae,Oxandra venezuelana,-84.31861111,9.85083333,21.59166685740153,197.75
Annonaceae,Oxandra venezuelana,-84.60611111,9.77861111,26.40833346048991,177.83333333333334
Annonaceae,Oxandra venezuelana,-84.48111111,9.81777778,20.85000006357829,197.83333333333334
Annonaceae,Oxandra venezuelana,-85.68333333,11.18333333,25.21666653951009,182.66666666666666
Annonaceae,Oxandra venezuelana,-84.76583333,11.32888889,26.28333314259847,204.91666666666666
