familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Pachira aquatica,-89.019,16.628,22.800000349680584,206.25
Malvaceae,Pachira aquatica,-90.433,17.4,26.291666825612385,151.08333333333334
Malvaceae,Pachira aquatica,-64.49,5.901,25.833333333333332,237.41666666666666
Malvaceae,Pachira aquatica,-64.434,6.078,25.958333333333332,208.33333333333334
Malvaceae,Pachira aquatica,-64.313,5.558,25.99166663487752,225.41666666666666
Malvaceae,Pachira aquatica,-83.505875,10.547559,26.333333015441895,334.8333333333333
Malvaceae,Pachira aquatica,-91.309304,16.200647,25.016666412353516,197.33333333333334
Malvaceae,Pachira aquatica,-83.505875,10.547559,26.333333015441895,334.8333333333333
Malvaceae,Pachira aquatica,-92.887749,15.191984,27.550000031789143,144.33333333333334
Malvaceae,Pachira aquatica,-92.866883,15.218015,27.5583332379659,148.75
Malvaceae,Pachira aquatica,-92.845644,18.009896,26.550000031789143,167.33333333333334
Malvaceae,Pachira aquatica,-95.110632,18.416874,24.766666730244953,164.58333333333334
Malvaceae,Pachira aquatica,-92.721405,15.050375,27.574999968210857,138.25
Malvaceae,Pachira aquatica,-83.502338,10.541015,26.28333346048991,347.25
Malvaceae,Pachira aquatica,-95.018856,18.534467,25.833333174387615,208.75
Malvaceae,Pachira aquatica,-83.502222,10.541111,26.28333346048991,347.25
Malvaceae,Pachira aquatica,-97.400162,20.143907,23.324999968210857,147.16666666666666
Malvaceae,Pachira aquatica,-92.665786,18.383914,26.549999872843426,141.16666666666666
Malvaceae,Pachira aquatica,-92.608727,18.386854,26.583333174387615,140.16666666666666
Malvaceae,Pachira aquatica,-92.607129,18.385276,26.574999809265137,140.16666666666666
Malvaceae,Pachira aquatica,-92.491637,18.343842,26.649999777475994,143.41666666666666
Malvaceae,Pachira aquatica,-89.018268,17.84128,25.041666507720947,120.08333333333333
Malvaceae,Pachira aquatica,-88.65411,17.752187,25.916666825612385,140.91666666666666
Malvaceae,Pachira aquatica,-85.949989,11.931012,26.81666660308838,125.16666666666667
Malvaceae,Pachira aquatica,-84.844666,11.013992,26.24999984105428,214.91666666666666
Malvaceae,Pachira aquatica,-84.770721,11.11537,26.174999713897705,195
Malvaceae,Pachira aquatica,-83.506923,10.448877,26.166666825612385,297.9166666666667
Malvaceae,Pachira aquatica,-83.505875,10.547559,26.333333015441895,334.8333333333333
Malvaceae,Pachira aquatica,-95.659847,16.993632,21.950000127156574,139.08333333333334
