familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Palicourea alajuelensis,-82.668056000000007,9.118611,19.516666730244953,253.08333333333334
Rubiaceae,Palicourea alajuelensis,-85.468,10.927,20.908333619435627,180.91666666666666
Rubiaceae,Palicourea alajuelensis,-84.19,9.72,18.75833336512248,223.41666666666666
Rubiaceae,Palicourea alajuelensis,-84.55,10.13,19.85000006357829,233.33333333333334
Rubiaceae,Palicourea alajuelensis,-83.59,9.93,21.78333330154419,254.91666666666666
Rubiaceae,Palicourea alajuelensis,-84.8,10.3,18.574999968210857,210.08333333333334
Rubiaceae,Palicourea alajuelensis,-84.800003,10.3,18.699999968210857,200.83333333333334
Rubiaceae,Palicourea alajuelensis,-84.8,10.3,18.574999968210857,210.08333333333334
Rubiaceae,Palicourea alajuelensis,-84.78,10.36,19.958333333333332,281.6666666666667
Rubiaceae,Palicourea alajuelensis,-84.93,10.58,22.141666412353516,302.3333333333333
Rubiaceae,Palicourea alajuelensis,-84.93055,10.58888,22.174999872843426,293.25
Rubiaceae,Palicourea alajuelensis,-84.8,10.3,18.574999968210857,210.08333333333334
Rubiaceae,Palicourea alajuelensis,-84.8,10.3,18.574999968210857,210.08333333333334
Rubiaceae,Palicourea alajuelensis,-85.47,10.93,20.908333619435627,180.91666666666666
Rubiaceae,Palicourea alajuelensis,-85.28,10.61,26.508333524068195,155.75
Rubiaceae,Palicourea alajuelensis,-85.469445,10.928611,20.908333619435627,180.91666666666666
Rubiaceae,Palicourea alajuelensis,-85.427779,10.990556,22.574999968210857,249.33333333333334
Rubiaceae,Palicourea alajuelensis,-84.588889,10.216667,21.65833314259847,280.5833333333333
Rubiaceae,Palicourea alajuelensis,-85.459903,10.930121,19.958333174387615,198.58333333333334
Rubiaceae,Palicourea alajuelensis,-84.58,10.22,21.724999745686848,287.5
Rubiaceae,Palicourea alajuelensis,-82.77,8.95,17.016666571299236,215.16666666666666
Rubiaceae,Palicourea alajuelensis,-84.839722,10.3375,19.050000190734863,203
Rubiaceae,Palicourea alajuelensis,-84.60055,10.58333,25.449999968210857,271.4166666666667
Rubiaceae,Palicourea alajuelensis,-84.6,10.58,25.541666666666668,271.25
Rubiaceae,Palicourea alajuelensis,-84.55,10.13,19.85000006357829,233.33333333333334
Rubiaceae,Palicourea alajuelensis,-84.55,10.13,19.85000006357829,233.33333333333334
Rubiaceae,Palicourea alajuelensis,-84.55,10.13,19.85000006357829,233.33333333333334
Rubiaceae,Palicourea alajuelensis,-85.307523,10.762456,22.00000015894572,177.91666666666666
Rubiaceae,Palicourea alajuelensis,-83.05,9.6722,24.050000031789143,286.0833333333333
Rubiaceae,Palicourea alajuelensis,-84.8,10.3,18.574999968210857,210.08333333333334
Rubiaceae,Palicourea alajuelensis,-84.833333,10.333333,19.083333492279053,200.25
Rubiaceae,Palicourea alajuelensis,-84.83333,10.8,26.366666793823242,241
Rubiaceae,Palicourea alajuelensis,-84.83,10.33,19.083333492279053,200.25
Rubiaceae,Palicourea alajuelensis,-84.8,10.3,18.574999968210857,210.08333333333334
Rubiaceae,Palicourea alajuelensis,-84.8075,10.308611,18.28333330154419,196.58333333333334
Rubiaceae,Palicourea alajuelensis,-84.833333,10.8,26.366666793823242,241
Rubiaceae,Palicourea alajuelensis,-84.833333,10.8,26.366666793823242,241
Rubiaceae,Palicourea alajuelensis,-84.833333,10.333333,19.083333492279053,200.25
Rubiaceae,Palicourea alajuelensis,-84.7825,10.306111,18.15833314259847,262.75
Rubiaceae,Palicourea alajuelensis,-84.83333,10.33333,19.083333492279053,200.25
Rubiaceae,Palicourea alajuelensis,-84.800004,10.3,18.699999968210857,200.83333333333334
Rubiaceae,Palicourea alajuelensis,-84.833333,10.333333,19.083333492279053,200.25
Rubiaceae,Palicourea alajuelensis,-84.078889,10.332778,23.71666669845581,291
Rubiaceae,Palicourea alajuelensis,-85.3,10.783333,20.299999872843426,198.08333333333334
Rubiaceae,Palicourea alajuelensis,-85.375556,10.742778,24.141666730244953,155.58333333333334
Rubiaceae,Palicourea alajuelensis,-82.670556,9.110833,18.708333651224773,247.83333333333334
Rubiaceae,Palicourea alajuelensis,-84.691389,10.441944,21.050000031789143,281.0833333333333
Rubiaceae,Palicourea alajuelensis,-84.07,10.33,23.75,293.6666666666667
Rubiaceae,Palicourea alajuelensis,-85.46944,10.92861,20.908333619435627,180.91666666666666
Rubiaceae,Palicourea alajuelensis,-85.427778,10.990556,22.574999968210857,249.33333333333334
Rubiaceae,Palicourea alajuelensis,-85.42,10.99,22.90000009536743,256.0833333333333
Rubiaceae,Palicourea alajuelensis,-85.45,10.93,18.575000127156574,250
Rubiaceae,Palicourea alajuelensis,-85.3,10.78,20.299999872843426,198.08333333333334
Rubiaceae,Palicourea alajuelensis,-84.683333,10.35,21.63333336512248,285.1666666666667
Rubiaceae,Palicourea alajuelensis,-84.078889,10.332778,23.71666669845581,291
Rubiaceae,Palicourea alajuelensis,-84.83,10.8,26.366666793823242,241
Rubiaceae,Palicourea alajuelensis,-84.83,10.33,19.083333492279053,200.25
Rubiaceae,Palicourea alajuelensis,-84.83,10.33,19.083333492279053,200.25
Rubiaceae,Palicourea alajuelensis,-84.68,10.35,21.63333336512248,285.1666666666667
Rubiaceae,Palicourea alajuelensis,-84.71,10.33,21.016666889190674,282.6666666666667
Rubiaceae,Palicourea alajuelensis,-84.8,10.3,18.574999968210857,210.08333333333334
Rubiaceae,Palicourea alajuelensis,-84.716667,10.333333,20.44166660308838,284.6666666666667
Rubiaceae,Palicourea alajuelensis,-84.71666,10.33333,21.016666889190674,282.6666666666667
Rubiaceae,Palicourea alajuelensis,-84.726667,10.31,20.78333330154419,275.25
Rubiaceae,Palicourea alajuelensis,-84.60611,10.23694,21.649999777475994,282.5833333333333
Rubiaceae,Palicourea alajuelensis,-84.783333,10.316667,17.02500009536743,254
Rubiaceae,Palicourea alajuelensis,-84.74,10.3,20.34166685740153,282.75
Rubiaceae,Palicourea alajuelensis,-84.716667,10.333333,20.44166660308838,284.6666666666667
Rubiaceae,Palicourea alajuelensis,-84.6,10.216667,21.34166685740153,290.4166666666667
Rubiaceae,Palicourea alajuelensis,-85.3,10.76,21.916666825612385,202.25
Rubiaceae,Palicourea alajuelensis,-85.298611,10.780556,20.299999872843426,198.08333333333334
Rubiaceae,Palicourea alajuelensis,-85.29861,10.78055,20.299999872843426,198.08333333333334
Rubiaceae,Palicourea alajuelensis,-85.466227,10.93059,19.958333174387615,198.58333333333334
Rubiaceae,Palicourea alajuelensis,-85.316667,10.8,18.574999968210857,192.91666666666666
Rubiaceae,Palicourea alajuelensis,-83.44,9.84,20.416666666666668,253.83333333333334
Rubiaceae,Palicourea alajuelensis,-85.48,10.98,20.25833336512248,198.91666666666666
Rubiaceae,Palicourea alajuelensis,-84.393055,10.185833,17.333333015441895,210.16666666666666
Rubiaceae,Palicourea alajuelensis,-84.01,9.49,22.02500009536743,249.08333333333334
Rubiaceae,Palicourea alajuelensis,-85.326167,10.863333,22.06666660308838,266.4166666666667
Rubiaceae,Palicourea alajuelensis,-82.972417,8.793194,21.016666730244953,239.83333333333334
Rubiaceae,Palicourea alajuelensis,-82.970611,8.792667,21.016666730244953,239.83333333333334
Rubiaceae,Palicourea alajuelensis,-82.964167,8.784667,20.6833332379659,222.83333333333334
Rubiaceae,Palicourea alajuelensis,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rubiaceae,Palicourea alajuelensis,-84.8,10.333333,17.375,238
