familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Palicourea beachiana,-83.76666,11.51944,NA,NA
Rubiaceae,Palicourea beachiana,-83.426667,8.534815,25.15833330154419,260.5833333333333
Rubiaceae,Palicourea beachiana,-83.527778,8.705556,25.291666666666668,277.3333333333333
Rubiaceae,Palicourea beachiana,-83.52,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Palicourea beachiana,-83.525001,8.7,24.78333330154419,257.8333333333333
Rubiaceae,Palicourea beachiana,-83.775,11.50416,NA,NA
Rubiaceae,Palicourea beachiana,-84.16,10.7,25.86666663487752,293.5
Rubiaceae,Palicourea beachiana,-84.16,10.7,25.86666663487752,293.5
Rubiaceae,Palicourea beachiana,-84.166667,10.7,25.88333336512248,289.9166666666667
Rubiaceae,Palicourea beachiana,-84.017222,9.484722,23.425000190734863,245.83333333333334
Rubiaceae,Palicourea beachiana,-84.180556,10.686111,25.84999990463257,278.8333333333333
Rubiaceae,Palicourea beachiana,-84.180556,10.686111,25.84999990463257,278.8333333333333
Rubiaceae,Palicourea beachiana,-83.09,9.78,23.508333524068195,277.9166666666667
Rubiaceae,Palicourea beachiana,-82.97222,9.62583,24.80833339691162,264.4166666666667
Rubiaceae,Palicourea beachiana,-83.091667,9.780556,23.541666825612385,259.4166666666667
Rubiaceae,Palicourea beachiana,-83.09,9.78,23.508333524068195,277.9166666666667
Rubiaceae,Palicourea beachiana,-84.23,10.67,25.84166669845581,284.3333333333333
Rubiaceae,Palicourea beachiana,-83.595278,8.698889,24.61666663487752,235.25
Rubiaceae,Palicourea beachiana,-84.02,9.54,23.50000015894572,243.16666666666666
Rubiaceae,Palicourea beachiana,-84.05,9.48,25.30833339691162,257.4166666666667
Rubiaceae,Palicourea beachiana,-84.05,9.483333,25.30833339691162,257.4166666666667
Rubiaceae,Palicourea beachiana,-83.55,8.7,25.19166644414266,257.0833333333333
Rubiaceae,Palicourea beachiana,-84.003611,10.431389,26.008333206176758,307.9166666666667
Rubiaceae,Palicourea beachiana,-84.003611,10.431389,26.008333206176758,307.9166666666667
Rubiaceae,Palicourea beachiana,-82.95,8.783333,20.88333336512248,241
Rubiaceae,Palicourea beachiana,-84.01666,10.43333,25.949999809265137,317.4166666666667
Rubiaceae,Palicourea beachiana,-83.433333,8.533333,24.55833339691162,280.8333333333333
Rubiaceae,Palicourea beachiana,-83.433333,8.533333,24.55833339691162,280.8333333333333
Rubiaceae,Palicourea beachiana,-83.583338,8.466667,26.05833339691162,305.3333333333333
Rubiaceae,Palicourea beachiana,-84.05,10.4,25.34166653951009,309.8333333333333
Rubiaceae,Palicourea beachiana,-84.18056,10.686111,25.84999990463257,278.8333333333333
Rubiaceae,Palicourea beachiana,-83.51666,8.71666,24.21666653951009,261.6666666666667
Rubiaceae,Palicourea beachiana,-83.516667,8.516667,25.166666507720947,253.75
Rubiaceae,Palicourea beachiana,-84.044722,10.641944,25.80833339691162,302.3333333333333
Rubiaceae,Palicourea beachiana,-83.58,8.47,25.9333332379659,293.9166666666667
Rubiaceae,Palicourea beachiana,-83.583333,8.466667,25.9333332379659,293.9166666666667
Rubiaceae,Palicourea beachiana,-84.233333,10.6775,25.96666669845581,284.0833333333333
Rubiaceae,Palicourea beachiana,-84.23,10.67,25.84166669845581,284.3333333333333
Rubiaceae,Palicourea beachiana,-83.425512,8.536614,25.15833330154419,260.5833333333333
Rubiaceae,Palicourea beachiana,-83.58,8.46,25.71666653951009,305.5833333333333
Rubiaceae,Palicourea beachiana,-83.43,8.53,24.55833339691162,280.8333333333333
Rubiaceae,Palicourea beachiana,-83.43333,8.53333,24.55833339691162,280.8333333333333
Rubiaceae,Palicourea beachiana,-83.51,8.51,24.94166660308838,275.0833333333333
Rubiaceae,Palicourea beachiana,-84.033333,10.266667,22.833333492279053,309.25
Rubiaceae,Palicourea beachiana,-84.03333,10.26666,22.475000222524006,307.5
Rubiaceae,Palicourea beachiana,-83.52,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Palicourea beachiana,-83.4417,8.5278,23.8166667620341,281.25
Rubiaceae,Palicourea beachiana,-83.52,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Palicourea beachiana,-83.44,8.52,24.77499993642171,305.0833333333333
Rubiaceae,Palicourea beachiana,-83.52,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Palicourea beachiana,-83.44,8.52,24.77499993642171,305.0833333333333
Rubiaceae,Palicourea beachiana,-83.85,9.45,22.72499990463257,239.58333333333334
Rubiaceae,Palicourea beachiana,-84.01667,10.433333,25.949999809265137,316.25
Rubiaceae,Palicourea beachiana,-82.97,9.62,24.616666475931805,274.4166666666667
Rubiaceae,Palicourea beachiana,-82.972465,9.626071,24.80833339691162,264.4166666666667
Rubiaceae,Palicourea beachiana,-84.06,10.38,25.050000031789143,305.3333333333333
Rubiaceae,Palicourea beachiana,-83.441667,8.527778,23.8166667620341,281.25
Rubiaceae,Palicourea beachiana,-84.01,9.48,22.8083332379659,237.5
Rubiaceae,Palicourea beachiana,-84.05,9.48,25.30833339691162,257.4166666666667
Rubiaceae,Palicourea beachiana,-84,10.5,26.02499993642171,310.25
