familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Palicourea guianensis,-75.289444,1.715,24.85000006357829,255.16666666666666
Rubiaceae,Palicourea guianensis,-75.646861,1.737028,23.758333206176758,204
Rubiaceae,Palicourea guianensis,-75.630278,1.742778,23.358333110809326,195.5
Rubiaceae,Palicourea guianensis,-75.641278,1.767528,22.05833355585734,168.5
Rubiaceae,Palicourea guianensis,-75.661111,1.606389,25.19166660308838,268.75
Rubiaceae,Palicourea guianensis,-75.812222,1.328722,25.300000190734863,292.5833333333333
Rubiaceae,Palicourea guianensis,-74.279889,5.836333,23.93333339691162,222.66666666666666
Rubiaceae,Palicourea guianensis,-74.263722,5.809611,21.800000031789143,207.41666666666666
Rubiaceae,Palicourea guianensis,-73.4125,4.498028,23.99999984105428,283.25
Rubiaceae,Palicourea guianensis,-75.651806,1.606389,25.35000006357829,272.8333333333333
Rubiaceae,Palicourea guianensis,-55.765833,-10.971667,25.833333492279053,157.83333333333334
Rubiaceae,Palicourea guianensis,-40.533333,-19.95,19.791666666666668,110.33333333333333
Rubiaceae,Palicourea guianensis,-40.608222,-20.110278,19.425000031789143,110.5
Rubiaceae,Palicourea guianensis,-40.592339,-20.044581,19.958333492279053,108.75
Rubiaceae,Palicourea guianensis,-40.435833,-18.7825,22.825000127156574,99.08333333333333
Rubiaceae,Palicourea guianensis,-40.555833,-19.935,19.52499993642171,110.41666666666667
Rubiaceae,Palicourea guianensis,-40.497222,-20.028889,20.991666952768963,107.58333333333333
Rubiaceae,Palicourea guianensis,-74.196472,5.832583,23.841666380564373,198.5
Rubiaceae,Palicourea guianensis,-40.703611,-19.806389,20.22500006357829,108.41666666666667
Rubiaceae,Palicourea guianensis,-40.54,-19.965,19.62499984105428,110.41666666666667
Rubiaceae,Palicourea guianensis,-40.899167,-3.839167,22.599999745686848,111.75
Rubiaceae,Palicourea guianensis,-40.535556,-19.335556,21.791666507720947,102.16666666666667
Rubiaceae,Palicourea guianensis,-40.492222,-20.026667,20.991666952768963,107.58333333333333
Rubiaceae,Palicourea guianensis,-68.304444,-10.891667,25.300000031789143,140.91666666666666
Rubiaceae,Palicourea guianensis,-39.181667,-15.281667,23.875,139.33333333333334
Rubiaceae,Palicourea guianensis,-39.220556,-15.160278,23.666666825612385,138.75
Rubiaceae,Palicourea guianensis,-39.181667,-15.281667,23.875,139.33333333333334
Rubiaceae,Palicourea guianensis,-41.455278,-4.078611,26.40833346048991,96.33333333333333
Rubiaceae,Palicourea guianensis,-40.368402,-10.666072,21.40833330154419,75.83333333333333
Rubiaceae,Palicourea guianensis,-40.522222,-20.242222,21.124999682108562,107.16666666666667
Rubiaceae,Palicourea guianensis,-40.674167,-20.328889,19.60000006357829,107.41666666666667
Rubiaceae,Palicourea guianensis,-72.985278,-7.549722,25.3083332379659,185.25
Rubiaceae,Palicourea guianensis,-58.4225,-2.531389,26.6833332379659,178
Rubiaceae,Palicourea guianensis,-58.707056,-2.886889,26.649999777475994,183.33333333333334
Rubiaceae,Palicourea guianensis,-41.379777,-13.109777,18.433333079020183,85.75
Rubiaceae,Palicourea guianensis,-39.25,-16.5,23.858333587646484,124.33333333333333
Rubiaceae,Palicourea guianensis,-39,-12.483333,23.0666667620341,87.33333333333333
Rubiaceae,Palicourea guianensis,-39.003056,-12.4925,23.016666730244953,88.58333333333333
Rubiaceae,Palicourea guianensis,-75.58275,1.635028,24.72499990463257,248.91666666666666
Rubiaceae,Palicourea guianensis,-72.999361,0.528083,25.8083332379659,217
Rubiaceae,Palicourea guianensis,-40.533333,-19.95,19.791666666666668,110.33333333333333
Rubiaceae,Palicourea guianensis,-75.650389,1.602722,25.35000006357829,272.8333333333333
Rubiaceae,Palicourea guianensis,-48.787389,-2.162889,26.291666825612385,204.58333333333334
Rubiaceae,Palicourea guianensis,-49.273008,-2.502222,26.43333339691162,204.41666666666666
Rubiaceae,Palicourea guianensis,-75.650719,1.606514,25.35000006357829,272.8333333333333
Rubiaceae,Palicourea guianensis,-48.374636,-1.365067,26.59999990463257,236.08333333333334
Rubiaceae,Palicourea guianensis,-74.126917,6.438833,27.71666653951009,230.41666666666666
Rubiaceae,Palicourea guianensis,-74.082717,6.395617,27.80833355585734,225.08333333333334
Rubiaceae,Palicourea guianensis,-75.863639,1.602389,24.21666685740153,239.16666666666666
Rubiaceae,Palicourea guianensis,-78.358944,1.414611,24.599999745686848,318.9166666666667
Rubiaceae,Palicourea guianensis,-73.238378,8.220747,19.30833339691162,161.16666666666666
Rubiaceae,Palicourea guianensis,-73.25018,8.23602,18.225000222524006,157.58333333333334
Rubiaceae,Palicourea guianensis,-75.292194,1.722389,24.166666666666668,240.5
Rubiaceae,Palicourea guianensis,-75.653111,1.611056,24.9333332379659,257.9166666666667
Rubiaceae,Palicourea guianensis,-39.385278,-15.189444,20.24166663487752,129.16666666666666
Rubiaceae,Palicourea guianensis,-75.863639,1.602389,24.21666685740153,239.16666666666666
Rubiaceae,Palicourea guianensis,-60.32,-2.75,26.550000031789143,193.25
Rubiaceae,Palicourea guianensis,-40.443889,-18.776944,22.325000286102295,100.41666666666667
Rubiaceae,Palicourea guianensis,-48.295997,-1.226519,26.424999872843426,223.58333333333334
Rubiaceae,Palicourea guianensis,-64.458889,-9.269444,26.083333651224773,167.33333333333334
Rubiaceae,Palicourea guianensis,-64.458888,-9.269444,26.083333651224773,167.33333333333334
Rubiaceae,Palicourea guianensis,-40.901667,-3.797778,21.60000006357829,125.83333333333333
Rubiaceae,Palicourea guianensis,-64.35,-9.248611,26.041666825612385,169
Rubiaceae,Palicourea guianensis,-55.045833,-2.903889,26.141666730244953,155.83333333333334
Rubiaceae,Palicourea guianensis,-40.443889,-18.776944,22.325000286102295,100.41666666666667
Rubiaceae,Palicourea guianensis,-40.898056,-3.876389,21.50833336512248,126.75
Rubiaceae,Palicourea guianensis,-40.915278,-3.798056,21.399999777475994,125.66666666666667
Rubiaceae,Palicourea guianensis,-40.846667,-4.015833,21.1916667620341,134.33333333333334
Rubiaceae,Palicourea guianensis,-65.057778,-9.619444,26.358333269755047,145.25
Rubiaceae,Palicourea guianensis,-65.057777,-9.619444,26.358333269755047,145.25
Rubiaceae,Palicourea guianensis,-39.603333,-14.701667,20.233333428700764,113.25
Rubiaceae,Palicourea guianensis,-40.901667,-3.797778,21.60000006357829,125.83333333333333
Rubiaceae,Palicourea guianensis,-43.493611,-22.433333,19.016666412353516,129.91666666666666
Rubiaceae,Palicourea guianensis,-35.605979,-9.430861,24.47500006357829,165.33333333333334
Rubiaceae,Palicourea guianensis,-35.749444,-7,21.858333428700764,91.16666666666667
Rubiaceae,Palicourea guianensis,-50.139167,-6.179167,23.108333428700764,157.58333333333334
Rubiaceae,Palicourea guianensis,-55.165853,-9.495478,26.291666666666668,186.83333333333334
Rubiaceae,Palicourea guianensis,-39.6775,-13.881667,20.033333619435627,124.91666666666667
Rubiaceae,Palicourea guianensis,-60.033889,-2.588611,26.491666952768963,196.58333333333334
Rubiaceae,Palicourea guianensis,-60.033889,-2.588611,26.491666952768963,196.58333333333334
Rubiaceae,Palicourea guianensis,-60.033889,-2.588611,26.491666952768963,196.58333333333334
Rubiaceae,Palicourea guianensis,-55.748889,-10.965556,25.75,158.5
Rubiaceae,Palicourea guianensis,-39.011944,-14.013611,24.53333330154419,200
Rubiaceae,Palicourea guianensis,-40.589167,-19.971667,19.141666571299236,110.83333333333333
Rubiaceae,Palicourea guianensis,-83.28136087,10.2155095,26.208333492279053,278.4166666666667
Rubiaceae,Palicourea guianensis,-36.433333,-9.161111,21.208333333333332,106.5
Rubiaceae,Palicourea guianensis,-39.003056,-12.4925,23.016666730244953,88.58333333333333
Rubiaceae,Palicourea guianensis,-64.576944,-9.271389,26.116666793823242,161.91666666666666
Rubiaceae,Palicourea guianensis,-75.69694,1.63222,24.0666667620341,244.25
Rubiaceae,Palicourea guianensis,-75.69486,1.63236,24.0666667620341,244.25
Rubiaceae,Palicourea guianensis,-75.67194,1.62306,24.99166663487752,262.25
Rubiaceae,Palicourea guianensis,-75.25,1.9,23.21666669845581,204.83333333333334
Rubiaceae,Palicourea guianensis,-75.19833,1.94639,23.949999809265137,215.91666666666666
Rubiaceae,Palicourea guianensis,-72.99917,-0.52805,26.133333206176758,222.91666666666666
Rubiaceae,Palicourea guianensis,-75.657222,1.5975,25.358333428700764,274.6666666666667
Rubiaceae,Palicourea guianensis,-73.65,4.15,24.483333587646484,282
Rubiaceae,Palicourea guianensis,-72.78583,2.33917,27.12499984105428,215.16666666666666
Rubiaceae,Palicourea guianensis,-69.945139,-4.181972,26.59166669845581,252.25
Rubiaceae,Palicourea guianensis,-69.945139,-4.080528,26.608333428700764,252.5
Rubiaceae,Palicourea guianensis,-69.937528,-4.080528,26.608333428700764,252.08333333333334
Rubiaceae,Palicourea guianensis,-69.93,-4.08,26.5666667620341,251.66666666666666
Rubiaceae,Palicourea guianensis,-75.606517,1.6641,24.949999968210857,249.08333333333334
Rubiaceae,Palicourea guianensis,-74.597533,2.434964,24.40833346048991,165.41666666666666
Rubiaceae,Palicourea guianensis,-76.436661,1.069539,24.61666663487752,348.1666666666667
Rubiaceae,Palicourea guianensis,-70.908333,1.373056,25.674999872843426,254.91666666666666
Rubiaceae,Palicourea guianensis,-76.718667,1.207556,19.949999968210857,270.8333333333333
Rubiaceae,Palicourea guianensis,-72.664167,2.252222,27.608333110809326,223.66666666666666
Rubiaceae,Palicourea guianensis,-75.29,1.72,24.416666507720947,242.5
Rubiaceae,Palicourea guianensis,-72.690833,2.374444,27.65833330154419,226.75
Rubiaceae,Palicourea guianensis,-70.333889,-0.112222,25.924999713897705,260.4166666666667
Rubiaceae,Palicourea guianensis,-70.239722,0.676833,25.741666793823242,269.25
Rubiaceae,Palicourea guianensis,-75.883833,1.458056,23.550000190734863,252.33333333333334
Rubiaceae,Palicourea guianensis,-75.656278,1.499944,25.608333269755047,275.9166666666667
Rubiaceae,Palicourea guianensis,-75.646861,1.665556,24.541666825612385,252.58333333333334
Rubiaceae,Palicourea guianensis,-75.630278,1.742778,23.358333110809326,195.5
Rubiaceae,Palicourea guianensis,-75.885833,1.606667,24.22500006357829,242.41666666666666
Rubiaceae,Palicourea guianensis,-75.879528,1.605972,24.25,241.25
Rubiaceae,Palicourea guianensis,-75.868611,1.589167,23.983333428700764,232.33333333333334
Rubiaceae,Palicourea guianensis,-75.70875,1.6145,22.60000006357829,207.25
Rubiaceae,Palicourea guianensis,-75.304194,1.681556,24.375,249.75
Rubiaceae,Palicourea guianensis,-75.289444,1.715,24.85000006357829,255.16666666666666
Rubiaceae,Palicourea guianensis,-72.690833,2.374444,27.65833330154419,226.75
Rubiaceae,Palicourea guianensis,-75.93825,1.591361,23.299999872843426,229.83333333333334
Rubiaceae,Palicourea guianensis,-75.8775,1.444667,24.1916667620341,268.4166666666667
Rubiaceae,Palicourea guianensis,-75.584306,1.634583,24.78333346048991,251.75
Rubiaceae,Palicourea guianensis,-72.63,2.37,27.775000254313152,223.41666666666666
