familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Palicourea tetragona,-91.312972,16.182889,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.312056,16.182417,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.308139,16.201944,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.307472,16.201556,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.305444,16.201028,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.312667,16.181944,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.312361,16.182139,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.306361,16.200861,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.303944,16.201222,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.313,16.183,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.312,16.182,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.308,16.202,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.307,16.202,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.305,16.201,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.313,16.182,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.312,16.182,24.208333492279053,191.16666666666666
Rubiaceae,Palicourea tetragona,-91.306,16.201,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-91.304,16.201,24.65833346048991,193.33333333333334
Rubiaceae,Palicourea tetragona,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rubiaceae,Palicourea tetragona,-83.58,9.84,22.183333079020183,267.25
Rubiaceae,Palicourea tetragona,-96.858333,19.925,23.35000006357829,157.41666666666666
Rubiaceae,Palicourea tetragona,-96.83333,19.93333,23.03333330154419,165.58333333333334
Rubiaceae,Palicourea tetragona,-92.26666,15.1,24.21666685740153,236.91666666666666
Rubiaceae,Palicourea tetragona,-88.5,17.016667,25.15833346048991,180.16666666666666
Rubiaceae,Palicourea tetragona,-87.45,15.73333,25.891666889190674,165
Rubiaceae,Palicourea tetragona,-87.445,15.7175,25.40833346048991,143.16666666666666
Rubiaceae,Palicourea tetragona,-88.60666,17.53944,25.75000015894572,155.41666666666666
Rubiaceae,Palicourea tetragona,-97.103611,18.849722,20.133333524068195,108.33333333333333
Rubiaceae,Palicourea tetragona,-97.1,18.85,20.39999993642171,109.25
Rubiaceae,Palicourea tetragona,-94.411111,18.143889,26.233333110809326,239.66666666666666
Rubiaceae,Palicourea tetragona,-86.76972,15.74944,26.699999650319416,178.5
Rubiaceae,Palicourea tetragona,-81.81666,8.85,25.983333428700764,258.8333333333333
Rubiaceae,Palicourea tetragona,-91.982219,17.509169,26.491666475931805,227.41666666666666
Rubiaceae,Palicourea tetragona,-91.383333,17.3,26.199999650319416,191.91666666666666
Rubiaceae,Palicourea tetragona,-88.50944,17.02361,25.074999809265137,178.66666666666666
Rubiaceae,Palicourea tetragona,-92.616619,15.416558,19.03333330154419,130.58333333333334
Rubiaceae,Palicourea tetragona,-82.38333,9.245,25.324999968210857,239.41666666666666
Rubiaceae,Palicourea tetragona,-82,9.05,NA,NA
Rubiaceae,Palicourea tetragona,-88.48333,16.36666,NA,NA
Rubiaceae,Palicourea tetragona,-82.35,9.2,25.675000190734863,229.91666666666666
Rubiaceae,Palicourea tetragona,-83.653333,9.372222,22.84166669845581,241.58333333333334
Rubiaceae,Palicourea tetragona,-84.133333,13.116667,25.30833339691162,202.08333333333334
