familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Proteaceae,Panopsis costaricensis,-84.487954,10.06591,20.950000127156574,211.58333333333334
Proteaceae,Panopsis costaricensis,-82.430304,8.772721,20.53333330154419,212.5
Proteaceae,Panopsis costaricensis,-84.559986,10.455872,26.09166685740153,283.4166666666667
Proteaceae,Panopsis costaricensis,-84.39305,10.18583,17.333333015441895,210.16666666666666
Proteaceae,Panopsis costaricensis,-84.35777,10.17388,16.47499982515971,204.08333333333334
Proteaceae,Panopsis costaricensis,-82.566667,8.8,13.816666603088379,251.91666666666666
Proteaceae,Panopsis costaricensis,-82.438499,8.775647,20.358333428700764,221
Proteaceae,Panopsis costaricensis,-82.633333,8.766667,18.78333314259847,228.83333333333334
Proteaceae,Panopsis costaricensis,-82.43333,8.78333,20.375,218
Proteaceae,Panopsis costaricensis,-84.16,10.13,15.916666507720947,213.33333333333334
Proteaceae,Panopsis costaricensis,-84.1,10.1,14.858333428700766,200.16666666666666
Proteaceae,Panopsis costaricensis,-82.433333,8.783333,20.375,218
Proteaceae,Panopsis costaricensis,-82.43333,8.76666,20.65833330154419,216.33333333333334
Proteaceae,Panopsis costaricensis,-84.732407,10.306971,21.325000127156574,294.75
Proteaceae,Panopsis costaricensis,-84.818333,10.333333,18.699999809265137,202.5
Proteaceae,Panopsis costaricensis,-82.74,8.94,15.074999888737997,194.58333333333334
Proteaceae,Panopsis costaricensis,-82.4,8.78333,16.90000009536743,263.8333333333333
Proteaceae,Panopsis costaricensis,-84.833333,10.333333,19.083333492279053,200.25
Proteaceae,Panopsis costaricensis,-84.83,10.33,19.083333492279053,200.25
Proteaceae,Panopsis costaricensis,-81.796389,8.51,19.391666889190674,218.16666666666666
Proteaceae,Panopsis costaricensis,-81.765556,8.4825,18.80833339691162,239.16666666666666
Proteaceae,Panopsis costaricensis,-81.75,8.45,22.733333269755047,236.33333333333334
Proteaceae,Panopsis costaricensis,-84.916667,10.433333,21.674999872843426,189.58333333333334
Proteaceae,Panopsis costaricensis,-84.8,10.3,18.574999968210857,210.08333333333334
Proteaceae,Panopsis costaricensis,-84.25,10.138889,17.541666507720947,205.16666666666666
Proteaceae,Panopsis costaricensis,-84.8,10.3,18.574999968210857,210.08333333333334
Proteaceae,Panopsis costaricensis,-85.48638,10.92722,23.166666507720947,186.91666666666666
Proteaceae,Panopsis costaricensis,-84.816667,10.3,20.18333339691162,191.5
Proteaceae,Panopsis costaricensis,-84.8,10.31,17.62499984105428,215.33333333333334
Proteaceae,Panopsis costaricensis,-85.427778,10.990556,22.574999968210857,249.33333333333334
Proteaceae,Panopsis costaricensis,-84.833333,10.8,26.366666793823242,241
Proteaceae,Panopsis costaricensis,-84.46388,9.79166,19.52500009536743,181.75
Proteaceae,Panopsis costaricensis,-85.34944,10.82,17.99166663487752,212.91666666666666
Proteaceae,Panopsis costaricensis,-84.81,10.31,18.87500015894572,190.58333333333334
Proteaceae,Panopsis costaricensis,-84.49,9.79,22.208333492279053,196
Proteaceae,Panopsis costaricensis,-84.1,9.82,17.450000127156574,197.33333333333334
Proteaceae,Panopsis costaricensis,-84.795619,10.302673,18.12499984105428,218.08333333333334
Proteaceae,Panopsis costaricensis,-85.401389,10.880556,23.00833336512248,225.33333333333334
Proteaceae,Panopsis costaricensis,-84.99,10.61,21.15833314259847,281.4166666666667
Proteaceae,Panopsis costaricensis,-84.5,10.13,20.866666793823242,244.91666666666666
Proteaceae,Panopsis costaricensis,-84.45,9.8,20.0666667620341,206
Proteaceae,Panopsis costaricensis,-85.401389,10.880556,23.00833336512248,225.33333333333334
Proteaceae,Panopsis costaricensis,-83.95,9.62,15.999999841054281,208.41666666666666
Proteaceae,Panopsis costaricensis,-82.961111,9.025,17.800000031789143,262.9166666666667
Proteaceae,Panopsis costaricensis,-85.469167,10.951667,21.43333339691162,211
Proteaceae,Panopsis costaricensis,-82.758333,8.8975,17.358333110809326,249.08333333333334
Proteaceae,Panopsis costaricensis,-85.419722,10.99,22.90000009536743,256.0833333333333
Proteaceae,Panopsis costaricensis,-84.14,9.83,17.166666666666668,186.75
Proteaceae,Panopsis costaricensis,-82.791111,8.923889,18.574999968210857,227.08333333333334
Proteaceae,Panopsis costaricensis,-84.144444,9.825,17.78333330154419,179.58333333333334
Proteaceae,Panopsis costaricensis,-82.953333,9.04,15.258333365122477,285.5
Proteaceae,Panopsis costaricensis,-82.772778,8.903056,18.74999984105428,227.91666666666666
Proteaceae,Panopsis costaricensis,-82.750833,8.904722,16.541666507720947,223.75
Proteaceae,Panopsis costaricensis,-84.985556,10.593056,21.19166660308838,280.5
Proteaceae,Panopsis costaricensis,-83.022235,8.785244,19.3166667620341,246.33333333333334
Proteaceae,Panopsis costaricensis,-84.461667,9.789167,19.52500009536743,181.75
Proteaceae,Panopsis costaricensis,-82.786389,8.9275,17.86666663487752,228.91666666666666
Proteaceae,Panopsis costaricensis,-85.45872,10.93269,19.958333174387615,198.58333333333334
Proteaceae,Panopsis costaricensis,-83.818861,9.538917,14.71666669845581,195.66666666666666
Proteaceae,Panopsis costaricensis,-84.247444,10.142167,16.70833357175191,217.25
Proteaceae,Panopsis costaricensis,-83.860833,10.186111,24.583333492279053,313.4166666666667
Proteaceae,Panopsis costaricensis,-81.824191,8.344356,25.491666793823242,240.83333333333334
Proteaceae,Panopsis costaricensis,-81.781322,8.44951,21.791666825612385,224.41666666666666
