familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Primulaceae,Parathesis crassiramea,-83.781944,9.748056,18.65833330154419,334.9166666666667
Primulaceae,Parathesis crassiramea,-83.280167,9.605389,18.524999777475994,235
Primulaceae,Parathesis crassiramea,-83.2802,9.605389,18.524999777475994,235
Primulaceae,Parathesis crassiramea,-84.711667,10.316111,21.825000127156574,299.4166666666667
Primulaceae,Parathesis crassiramea,-84.85,10.325,19.758333206176758,194.66666666666666
Primulaceae,Parathesis crassiramea,-84.8,10.3,18.574999968210857,210.08333333333334
Primulaceae,Parathesis crassiramea,-84.8,10.3,18.574999968210857,210.08333333333334
Primulaceae,Parathesis crassiramea,-83.589279,9.39344,19.300000031789143,244.66666666666666
Primulaceae,Parathesis crassiramea,-83.58,9.39,17.916666666666668,264.5833333333333
Primulaceae,Parathesis crassiramea,-84.43,10.21,18.75,270.3333333333333
Primulaceae,Parathesis crassiramea,-84.83333,10.33333,19.083333492279053,200.25
Primulaceae,Parathesis crassiramea,-84.75,10.333333,18.43333371480306,275.9166666666667
Primulaceae,Parathesis crassiramea,-84.833333,10.333333,19.083333492279053,200.25
Primulaceae,Parathesis crassiramea,-84.800006,10.3,18.699999968210857,200.83333333333334
Primulaceae,Parathesis crassiramea,-84.800006,10.3,18.699999968210857,200.83333333333334
Primulaceae,Parathesis crassiramea,-83.28,9.60516,18.524999777475994,235
Primulaceae,Parathesis crassiramea,-83.7667,9.7333,17.0583332379659,287.9166666666667
Primulaceae,Parathesis crassiramea,-83.7667,9.7333,17.0583332379659,287.9166666666667
Primulaceae,Parathesis crassiramea,-84.8,10.25,21.074999968210857,204.16666666666666
Primulaceae,Parathesis crassiramea,-84.85,10.32,19.758333206176758,194.66666666666666
Primulaceae,Parathesis crassiramea,-84.71,10.31,21.825000127156574,299.4166666666667
Primulaceae,Parathesis crassiramea,-84.85,10.32,19.758333206176758,194.66666666666666
Primulaceae,Parathesis crassiramea,-84.8,10.3,18.574999968210857,210.08333333333334
Primulaceae,Parathesis crassiramea,-84.83,10.33,19.083333492279053,200.25
Primulaceae,Parathesis crassiramea,-84.800006,10.3,18.699999968210857,200.83333333333334
Primulaceae,Parathesis crassiramea,-84.082778,10.253889,19.733333269755047,302.5833333333333
Primulaceae,Parathesis crassiramea,-84.8,10.3,18.574999968210857,210.08333333333334
Primulaceae,Parathesis crassiramea,-84.5,10.5,26.18333339691162,277.0833333333333
Primulaceae,Parathesis crassiramea,-84.8333,10,26.93333339691162,153
