familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Chrysobalanaceae,Parinari excelsa,-13.416,12.983,27.5,77.16666666666667
Chrysobalanaceae,Parinari excelsa,-12.316,12.366,26.633333206176758,102.08333333333333
Chrysobalanaceae,Parinari excelsa,-13.383,12.983,27.52499993642171,77.16666666666667
Chrysobalanaceae,Parinari excelsa,-13.216,13.133,27.84166669845581,73.08333333333333
Chrysobalanaceae,Parinari excelsa,-15.933,12.583,26.541666507720947,97.66666666666667
Chrysobalanaceae,Parinari excelsa,-13.366,12.966,27.5583332379659,77.83333333333333
Chrysobalanaceae,Parinari excelsa,-12.316,12.366,26.633333206176758,102.08333333333333
Chrysobalanaceae,Parinari excelsa,-15.14,11.7233,26.833333333333332,160.75
Chrysobalanaceae,Parinari excelsa,-15.0986,11.74,26.8166667620341,160.25
Chrysobalanaceae,Parinari excelsa,-15.0242,11.6561,26.758333206176758,167.75
Chrysobalanaceae,Parinari excelsa,-15.0186,11.6544,26.758333206176758,167.75
Chrysobalanaceae,Parinari excelsa,-15.0089,11.6522,26.758333206176758,167.66666666666666
Chrysobalanaceae,Parinari excelsa,-14.9106,11.7222,26.84166669845581,162.75
Chrysobalanaceae,Parinari excelsa,-15.0244,11.6464,26.766666571299236,168.58333333333334
Chrysobalanaceae,Parinari excelsa,-15.0733,11.6686,26.8083332379659,165.75
Chrysobalanaceae,Parinari excelsa,-15.0533,11.6381,26.858333428700764,168.16666666666666
Chrysobalanaceae,Parinari excelsa,-15.0231,11.6183,26.808333079020183,170.41666666666666
Chrysobalanaceae,Parinari excelsa,-16.4889,12.3122,26.06666660308838,117.83333333333333
Chrysobalanaceae,Parinari excelsa,-16.2758,12.3881,25.86666663487752,112.75
Chrysobalanaceae,Parinari excelsa,-16.1072,11.1622,26.333333492279053,193
Chrysobalanaceae,Parinari excelsa,-16.0442,12.2675,26.291666507720947,119
Chrysobalanaceae,Parinari excelsa,-16.0439,12.2733,26.291666507720947,119
