familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Pentaclethra macroloba,-83.505875,10.547559,26.333333015441895,334.8333333333333
Fabaceae,Pentaclethra macroloba,-84.004044,10.446455,26.050000031789143,301.25
Fabaceae,Pentaclethra macroloba,-82.817688,9.737482,26.416666666666668,266.8333333333333
Fabaceae,Pentaclethra macroloba,-77.257555,3.535472,26.19166660308838,457.6666666666667
Fabaceae,Pentaclethra macroloba,-77.16653,3.9442,25.758333206176758,509.75
Fabaceae,Pentaclethra macroloba,-76.861694,5.108222,26.391666730244953,614.1666666666666
Fabaceae,Pentaclethra macroloba,-84.009533,10.429486,25.949999809265137,317.4166666666667
Fabaceae,Pentaclethra macroloba,-75.562356,6.327508,21.758333524068195,207.08333333333334
Fabaceae,Pentaclethra macroloba,-75.561929,6.327748,21.758333524068195,207.08333333333334
Fabaceae,Pentaclethra macroloba,-75.561923,6.327316,21.758333524068195,207.08333333333334
Fabaceae,Pentaclethra macroloba,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Fabaceae,Pentaclethra macroloba,-56,4,26.158332983652752,196.75
Fabaceae,Pentaclethra macroloba,-48.45,-1.42,26.59166669845581,235.33333333333334
Fabaceae,Pentaclethra macroloba,-58.65,6.4,NA,NA
Fabaceae,Pentaclethra macroloba,-59.18,5.33,26.39999993642171,201.41666666666666
Fabaceae,Pentaclethra macroloba,-58.93,7.65,26.78333314259847,160.25
Fabaceae,Pentaclethra macroloba,-58.55,5.98,26.558333079020183,153.83333333333334
Fabaceae,Pentaclethra macroloba,-58.61,6.41,NA,NA
Fabaceae,Pentaclethra macroloba,-58.35,5.61,26.24999984105428,157
Fabaceae,Pentaclethra macroloba,-60.25,7.75,25.941666920979817,156.16666666666666
Fabaceae,Pentaclethra macroloba,-83.03,9.85,25.425000190734863,254.08333333333334
Fabaceae,Pentaclethra macroloba,-55.06,5.4,26.699999809265137,194.41666666666666
Fabaceae,Pentaclethra macroloba,-83.46,10.24,26.208333651224773,292.8333333333333
Fabaceae,Pentaclethra macroloba,-77.675,8.111667,26.84999990463257,175.66666666666666
Fabaceae,Pentaclethra macroloba,-84.4,10.46,26.050000031789143,279.5
Fabaceae,Pentaclethra macroloba,-83.78333,12.15,25.78333346048991,284.5
Fabaceae,Pentaclethra macroloba,-52.000485,0.897731,25.983333269755047,200.33333333333334
Fabaceae,Pentaclethra macroloba,-58.41,6.75,26.674999872843426,181.25
Fabaceae,Pentaclethra macroloba,-82.593333,9.541667,26.40833346048991,221.91666666666666
Fabaceae,Pentaclethra macroloba,-61.63,6.73,26.13333336512248,155.16666666666666
Fabaceae,Pentaclethra macroloba,-77.833333,8.15,26.916666666666668,169.41666666666666
Fabaceae,Pentaclethra macroloba,-60.58,5.75,23.766666571299236,169.41666666666666
Fabaceae,Pentaclethra macroloba,-59.95,5.41,21.591666380564373,147.5
Fabaceae,Pentaclethra macroloba,-51.32,3.6,25.88333336512248,258.1666666666667
Fabaceae,Pentaclethra macroloba,-51.31666,3.6,25.983333110809326,259.25
Fabaceae,Pentaclethra macroloba,-51.08,-0.03,26.87500015894572,194
Fabaceae,Pentaclethra macroloba,-75.5,7,16.18333339691162,220.91666666666666
Fabaceae,Pentaclethra macroloba,-51.37,0.73,26.50833336512248,187
Fabaceae,Pentaclethra macroloba,-51.36666,0.73333,26.46666669845581,187.41666666666666
Fabaceae,Pentaclethra macroloba,-76.75,7.92,27.108333269755047,175.83333333333334
Fabaceae,Pentaclethra macroloba,-62.63,7.51,25.550000190734863,104.08333333333333
Fabaceae,Pentaclethra macroloba,-50.97,1.75,26.63333336512248,208.5
Fabaceae,Pentaclethra macroloba,-50.966667,1.75,26.63333336512248,208.5
Fabaceae,Pentaclethra macroloba,-82.54444,9.33472,25.55833355585734,257.75
Fabaceae,Pentaclethra macroloba,-61.6,8.2,24.958333174387615,135.91666666666666
Fabaceae,Pentaclethra macroloba,-84,10.5,26.02499993642171,310.25
Fabaceae,Pentaclethra macroloba,-82.53,9.371667,25.85000006357829,223.33333333333334
Fabaceae,Pentaclethra macroloba,-61.73,8.06,25.208333174387615,129.83333333333334
Fabaceae,Pentaclethra macroloba,-83.8667,10,13.466666539510092,317.3333333333333
Fabaceae,Pentaclethra macroloba,-80.970556,8.844167,NA,NA
Fabaceae,Pentaclethra macroloba,-77.3531,4.95639,26.041666825612385,537
Fabaceae,Pentaclethra macroloba,-61.73,8.23,25.22499990463257,138.83333333333334
Fabaceae,Pentaclethra macroloba,-84.4,10.51,26.15000009536743,277.6666666666667
Fabaceae,Pentaclethra macroloba,-82.645833,9.35,23.4333332379659,249.16666666666666
Fabaceae,Pentaclethra macroloba,-60.092551,-3.071869,26.86666663487752,190.33333333333334
Fabaceae,Pentaclethra macroloba,-52.539719,-0.867854,26.316666920979817,186.33333333333334
Fabaceae,Pentaclethra macroloba,-52.53381,-0.86071,26.366666793823242,185.91666666666666
Fabaceae,Pentaclethra macroloba,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Pentaclethra macroloba,-83.598889,9.995833,24.483333269755047,289.1666666666667
Fabaceae,Pentaclethra macroloba,-77.7,8.15,26.550000190734863,174.5
Fabaceae,Pentaclethra macroloba,-60.02620539,-3.10532113,27.116666793823242,188.75
Fabaceae,Pentaclethra macroloba,-51.8,3.91,25.883333683013916,274.0833333333333
Fabaceae,Pentaclethra macroloba,-84.1,10.4,25.241666952768963,297.5833333333333
Fabaceae,Pentaclethra macroloba,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Pentaclethra macroloba,-82.45,9.358333,25.708333174387615,250.91666666666666
Fabaceae,Pentaclethra macroloba,-79.649444,9.064444,26.424999872843426,192.08333333333334
Fabaceae,Pentaclethra macroloba,-79.64944,9.06444,26.424999872843426,192.08333333333334
Fabaceae,Pentaclethra macroloba,-60.1694,-3.1278,26.675000031789143,182.66666666666666
Fabaceae,Pentaclethra macroloba,-79.64944,9.06444,26.424999872843426,192.08333333333334
Fabaceae,Pentaclethra macroloba,-77.5,7.883333,26.341666380564373,193.5
Fabaceae,Pentaclethra macroloba,-77.289553,6.158749,25.22499990463257,401.9166666666667
Fabaceae,Pentaclethra macroloba,-76.63224,5.668,26.916666825612385,575.75
