familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Pentagonia costaricensis,-82.66,9.61,25.774999618530273,251.58333333333334
Rubiaceae,Pentagonia costaricensis,-85.49,10.89,24.233333110809326,154.91666666666666
Rubiaceae,Pentagonia costaricensis,-85.05,10.72,23.391667048136394,286.4166666666667
Rubiaceae,Pentagonia costaricensis,-83.07,9.68,23.10000006357829,276.75
Rubiaceae,Pentagonia costaricensis,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rubiaceae,Pentagonia costaricensis,-84.5,10.5,26.18333339691162,277.0833333333333
Rubiaceae,Pentagonia costaricensis,-82.25,8.5,26.21666653951009,254.41666666666666
Rubiaceae,Pentagonia costaricensis,-84.98528,10.58,22.483333269755047,245.91666666666666
Rubiaceae,Pentagonia costaricensis,-76.229,6.771,19.90833330154419,190.25
Rubiaceae,Pentagonia costaricensis,-84.716667,10.3,20.40000009536743,277.5
Rubiaceae,Pentagonia costaricensis,-84.6,10.220833,21.34166685740153,290.4166666666667
Rubiaceae,Pentagonia costaricensis,-83.072222,9.680556,23.10000006357829,276.75
Rubiaceae,Pentagonia costaricensis,-85.300107,10.732643,23.425000190734863,158.16666666666666
Rubiaceae,Pentagonia costaricensis,-85.260556,10.779167,22.71666669845581,276.8333333333333
Rubiaceae,Pentagonia costaricensis,-84.5875,10.213889,21.391666889190674,289.5
Rubiaceae,Pentagonia costaricensis,-83.022222,9.675,25.64999993642171,256.5833333333333
Rubiaceae,Pentagonia costaricensis,-82.668056000000007,9.613889,25.958333651224773,243.5
Rubiaceae,Pentagonia costaricensis,-85.491389,10.897222,23.824999968210857,159.83333333333334
Rubiaceae,Pentagonia costaricensis,-85.055556,10.738889,24.108333110809326,283.75
Rubiaceae,Pentagonia costaricensis,-84.755556,10.430556,23.24999984105428,276
Rubiaceae,Pentagonia costaricensis,-82.959722,9.613889,24.416666825612385,274.1666666666667
Rubiaceae,Pentagonia costaricensis,-83.95,10.15,23.166666666666668,310.75
Rubiaceae,Pentagonia costaricensis,-84.985278,10.58,22.483333269755047,245.91666666666666
Rubiaceae,Pentagonia costaricensis,-83.383333,10.011111,24.90833346048991,281.0833333333333
Rubiaceae,Pentagonia costaricensis,-85.04089,10.712528,22.266666571299236,282.5833333333333
Rubiaceae,Pentagonia costaricensis,-83.063889,9.825,25.975000381469727,279.1666666666667
Rubiaceae,Pentagonia costaricensis,-84.921389,10.536945,23.216666380564373,256.5833333333333
Rubiaceae,Pentagonia costaricensis,-84.7,10.5,23.850000222524006,297.5
Rubiaceae,Pentagonia costaricensis,-83.436008,9.943512,23.866666793823242,267.6666666666667
Rubiaceae,Pentagonia costaricensis,-85.317639,10.943222,24.208333174387615,253
Rubiaceae,Pentagonia costaricensis,-84.7,10.3833,20.1833332379659,271
