familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Pentagonia donnell-smithii,-83.73,10.64,26.06666660308838,304.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-83.78,10.49,26.0666667620341,296.75
Rubiaceae,Pentagonia donnell-smithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Rubiaceae,Pentagonia donnell-smithii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rubiaceae,Pentagonia donnell-smithii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rubiaceae,Pentagonia donnell-smithii,-83.8667,10,13.466666539510092,317.3333333333333
Rubiaceae,Pentagonia donnell-smithii,-84.0167,10.4333,25.949999809265137,316.25
Rubiaceae,Pentagonia donnell-smithii,-84.27527,11.00222,25.591667016347248,272.5833333333333
Rubiaceae,Pentagonia donnell-smithii,-84.716667,10.333333,20.44166660308838,284.6666666666667
Rubiaceae,Pentagonia donnell-smithii,-83.566667,10.416667,26.116666952768963,298.5833333333333
Rubiaceae,Pentagonia donnell-smithii,-83.5,10.533333,26.28333346048991,347.5
Rubiaceae,Pentagonia donnell-smithii,-84.052778,10.391667,25.424999713897705,305.8333333333333
