familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Pentagonia macrophylla,-79.85,-0.617,24.12500015894572,138.58333333333334
Rubiaceae,Pentagonia macrophylla,-77.208,-2.262,24.949999650319416,279.3333333333333
Rubiaceae,Pentagonia macrophylla,-84.45,11.01666,25.899999618530273,265.6666666666667
Rubiaceae,Pentagonia macrophylla,-80.1,9.15,26.416666666666668,213.33333333333334
Rubiaceae,Pentagonia macrophylla,-78.767071,-1.427421,4.258333305517833,62.916666666666664
Rubiaceae,Pentagonia macrophylla,-84.187941,9.970203,22.18333339691162,219.91666666666666
Rubiaceae,Pentagonia macrophylla,-80.102665,8.507188,26.266666730244953,185.25
Rubiaceae,Pentagonia macrophylla,-79.649444,9.064444,26.424999872843426,192.08333333333334
Rubiaceae,Pentagonia macrophylla,-79.88111,9.38305,26.916666825612385,191.5
Rubiaceae,Pentagonia macrophylla,-79.85555,9.15694,25.983333269755047,199.5
Rubiaceae,Pentagonia macrophylla,-79.85277,9.15555,25.983333269755047,199.5
Rubiaceae,Pentagonia macrophylla,-79.85,9.15,26.358333428700764,200.33333333333334
Rubiaceae,Pentagonia macrophylla,-79.85833,9.15277,25.983333269755047,199.5
Rubiaceae,Pentagonia macrophylla,-79.96138,8.99666,26.69166660308838,219.25
Rubiaceae,Pentagonia macrophylla,-79.53333,9.225,26.141666889190674,207.08333333333334
Rubiaceae,Pentagonia macrophylla,-77.675,8.111667,26.84999990463257,175.66666666666666
Rubiaceae,Pentagonia macrophylla,-82.28333,9.4,25.87500015894572,238.16666666666666
Rubiaceae,Pentagonia macrophylla,-79.85,9.15,26.358333428700764,200.33333333333334
Rubiaceae,Pentagonia macrophylla,-79.65,9.17222,26.550000031789143,210.16666666666666
Rubiaceae,Pentagonia macrophylla,-82.15,9.31666,25.87500015894572,224.66666666666666
Rubiaceae,Pentagonia macrophylla,-79.83555,9.15888,26.30833339691162,215.33333333333334
Rubiaceae,Pentagonia macrophylla,-79.878611,9.371389,26.9416667620341,202.08333333333334
Rubiaceae,Pentagonia macrophylla,-79.83778,9.16361,26.30833339691162,215.33333333333334
Rubiaceae,Pentagonia macrophylla,-79.95666,9.36416,26.62499984105428,184.91666666666666
Rubiaceae,Pentagonia macrophylla,-79.86916,9.40277,26.88333336512248,173
Rubiaceae,Pentagonia macrophylla,-79.85277,9.15555,25.983333269755047,199.5
Rubiaceae,Pentagonia macrophylla,-79.83888,9.15833,26.30833339691162,207.5
Rubiaceae,Pentagonia macrophylla,-79.82222,9.15833,26.53333330154419,214.33333333333334
Rubiaceae,Pentagonia macrophylla,-79.76666,9.16666,26.05833339691162,207.66666666666666
Rubiaceae,Pentagonia macrophylla,-79.75305,9.16833,26.05833339691162,214.75
Rubiaceae,Pentagonia macrophylla,-80.019167,9.222778,26.541666984558105,210.58333333333334
Rubiaceae,Pentagonia macrophylla,-79.998611,9.224167,26.37499984105428,210.41666666666666
Rubiaceae,Pentagonia macrophylla,-79.95666,9.36416,26.62499984105428,184.91666666666666
