familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Dipentodontaceae,Perrottetia sessiliflora,-80.717,-1.567,22.416666666666668,44.583333333333336
Dipentodontaceae,Perrottetia sessiliflora,-79.617,-0.9,24.891666412353516,166.58333333333334
Dipentodontaceae,Perrottetia sessiliflora,-79.35,-2.567,22.350000222524006,113.83333333333333
Dipentodontaceae,Perrottetia sessiliflora,-83.640555,9.389444,21.81666660308838,210.91666666666666
Dipentodontaceae,Perrottetia sessiliflora,-77.733333,7.833333,21.458333492279053,223.08333333333334
Dipentodontaceae,Perrottetia sessiliflora,-83.96361,10.00194,17.616666793823242,334.6666666666667
Dipentodontaceae,Perrottetia sessiliflora,-83.59,9.93,21.78333330154419,254.91666666666666
Dipentodontaceae,Perrottetia sessiliflora,-81.145556,8.525278,22.00833336512248,290.0833333333333
Dipentodontaceae,Perrottetia sessiliflora,-81.134444,8.539722,23,291.5
Dipentodontaceae,Perrottetia sessiliflora,-84.03,9.56,22.4416667620341,221.5
Dipentodontaceae,Perrottetia sessiliflora,-77.75,-5.833333,13.241666634877523,107.25
Dipentodontaceae,Perrottetia sessiliflora,-77.75,-5.83333,13.241666634877523,107.25
Dipentodontaceae,Perrottetia sessiliflora,-77.6,-5.68333,22.550000190734863,102.16666666666667
Dipentodontaceae,Perrottetia sessiliflora,-77.66666,-5.75,17.39999993642171,93.75
Dipentodontaceae,Perrottetia sessiliflora,-83.19,9.88,24.741666475931805,258.75
Dipentodontaceae,Perrottetia sessiliflora,-78.1,-1.45,20.108333587646484,339.4166666666667
Dipentodontaceae,Perrottetia sessiliflora,-77.6,-1.06666,23.958333174387615,355.3333333333333
Dipentodontaceae,Perrottetia sessiliflora,-82.148611,8.905278,23.825000127156574,257.3333333333333
Dipentodontaceae,Perrottetia sessiliflora,-84.716667,10.333333,20.44166660308838,284.6666666666667
Dipentodontaceae,Perrottetia sessiliflora,-84.71666,10.33333,21.016666889190674,282.6666666666667
