familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Phyllonomaceae,Phyllonoma ruscifolia,-76.6601,2.48635,18.65833330154419,181
Phyllonomaceae,Phyllonoma ruscifolia,-76.52833,2.5,17.183333079020183,170.33333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-73.08155,6.900531,19.65833330154419,123.5
Phyllonomaceae,Phyllonoma ruscifolia,-82.454167,8.815556,18.78333314259847,213
Phyllonomaceae,Phyllonoma ruscifolia,-83.966,9.799,16.758333524068195,192.75
Phyllonomaceae,Phyllonoma ruscifolia,-84.10083,9.6075,18.36666663487752,208.91666666666666
Phyllonomaceae,Phyllonoma ruscifolia,-89.5,15,26.52499993642171,77.58333333333333
Phyllonomaceae,Phyllonoma ruscifolia,-89.7189,14.9881,27.350000222524006,81.16666666666667
Phyllonomaceae,Phyllonoma ruscifolia,-83.8667,10,13.466666539510092,317.3333333333333
Phyllonomaceae,Phyllonoma ruscifolia,-77.7,-5.67,20.87499984105428,94
Phyllonomaceae,Phyllonoma ruscifolia,-77.7,-5.67,20.87499984105428,94
Phyllonomaceae,Phyllonoma ruscifolia,-82.25,8.5,26.21666653951009,254.41666666666666
Phyllonomaceae,Phyllonoma ruscifolia,-76.775,-5.867247,19.991666793823242,127.5
Phyllonomaceae,Phyllonoma ruscifolia,-84.716667,10.333333,20.44166660308838,284.6666666666667
Phyllonomaceae,Phyllonoma ruscifolia,-82.940278,9.375,20.53333330154419,243.83333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-84.783333,10.308333,18.15833314259847,262.75
Phyllonomaceae,Phyllonoma ruscifolia,-84.1075,10.184167,16.391666491826374,266.25
Phyllonomaceae,Phyllonoma ruscifolia,-83.086111,9.397222,18.96666669845581,276.3333333333333
Phyllonomaceae,Phyllonoma ruscifolia,-84.083333,9.608333,19.61666663487752,231.5
Phyllonomaceae,Phyllonoma ruscifolia,-83.783333,9.755556,18.699999968210857,246.16666666666666
Phyllonomaceae,Phyllonoma ruscifolia,-83.778333,9.734722,18.483333110809326,258.5
Phyllonomaceae,Phyllonoma ruscifolia,-82.991667,9.45,21.483333428700764,274.8333333333333
Phyllonomaceae,Phyllonoma ruscifolia,-83.783334,9.755556,19.074999809265137,244.08333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-83.778333,9.734722,18.483333110809326,258.5
Phyllonomaceae,Phyllonoma ruscifolia,-84.658333,10.161111,19.65833330154419,235.33333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-84.083333,9.608333,19.61666663487752,231.5
Phyllonomaceae,Phyllonoma ruscifolia,-84.183333,9.580556,20.799999872843426,283.9166666666667
Phyllonomaceae,Phyllonoma ruscifolia,-83.781944,9.748056,18.65833330154419,334.9166666666667
Phyllonomaceae,Phyllonoma ruscifolia,-83.782875,9.749012,18.65833330154419,334.9166666666667
Phyllonomaceae,Phyllonoma ruscifolia,-83.979167,9.543056,19.641666571299236,250.08333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-83.398611,9.920833,18.549999872843426,320.5833333333333
Phyllonomaceae,Phyllonoma ruscifolia,-84.054167,9.558333,22.74999984105428,227.25
Phyllonomaceae,Phyllonoma ruscifolia,-83.966004,9.799003,16.758333524068195,192.75
Phyllonomaceae,Phyllonoma ruscifolia,-83.857539,9.797956,20.458333651224773,255.25
Phyllonomaceae,Phyllonoma ruscifolia,-84.100833,9.6075,18.36666663487752,208.91666666666666
Phyllonomaceae,Phyllonoma ruscifolia,-83.690278,9.784722,21.74999984105428,267.9166666666667
Phyllonomaceae,Phyllonoma ruscifolia,-83.185836,9.459167,21.40833346048991,246.58333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-83.174799,9.801806,18.974999745686848,340.9166666666667
Phyllonomaceae,Phyllonoma ruscifolia,-76.105278,1.633056,17.266666571299236,188.08333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-76.859167,2.5,18.15833346048991,212.41666666666666
Phyllonomaceae,Phyllonoma ruscifolia,-78.634167,-5.247778,19.13333336512248,108.08333333333333
Phyllonomaceae,Phyllonoma ruscifolia,-68.2,-15.31666,23.233333269755047,123.91666666666667
Phyllonomaceae,Phyllonoma ruscifolia,-83.635,9.395278,20.866666793823242,210.83333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-83.66666,9.36666,23.083333492279053,250.25
Phyllonomaceae,Phyllonoma ruscifolia,-89.718889,14.988056,27.350000222524006,81.16666666666667
Phyllonomaceae,Phyllonoma ruscifolia,-83.95,9.79,18.108333269755047,193.5
Phyllonomaceae,Phyllonoma ruscifolia,-90.204444,15.183611,17.31666660308838,170.08333333333334
Phyllonomaceae,Phyllonoma ruscifolia,-81.8175,8.533056,20.03333330154419,251.25
Phyllonomaceae,Phyllonoma ruscifolia,-77.316667,8.15,19.633333206176758,190.58333333333334
