familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Picramniaceae,Picramnia latifolia,-79.85,-0.617,24.12500015894572,138.58333333333334
Picramniaceae,Picramnia latifolia,-79.617,-0.9,24.891666412353516,166.58333333333334
Picramniaceae,Picramnia latifolia,-67.8557,5.246378,27.791666825612385,212.66666666666666
Picramniaceae,Picramnia latifolia,-71.901806,5.571972,26.5,211.08333333333334
Picramniaceae,Picramnia latifolia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Picramniaceae,Picramnia latifolia,-84.6,11.43333,26.02500009536743,190.41666666666666
Picramniaceae,Picramnia latifolia,-52.87,2.233333,25.708333492279053,203.25
Picramniaceae,Picramnia latifolia,-52.86667,2.23333,25.708333492279053,203.25
Picramniaceae,Picramnia latifolia,-76.03333,-9.08333,24.87500015894572,277.75
Picramniaceae,Picramnia latifolia,-56.53,3.68,22.799999872843426,170.08333333333334
Picramniaceae,Picramnia latifolia,-56.5,3.6,25.666666348775227,181.5
Picramniaceae,Picramnia latifolia,-61.6,8.2,24.958333174387615,135.91666666666666
Picramniaceae,Picramnia latifolia,-78,8.88333,26.24166663487752,180.25
Picramniaceae,Picramnia latifolia,-61.755459,3.760455,24.575000286102295,162.58333333333334
Picramniaceae,Picramnia latifolia,-64.397038,-9.194036,26.141666889190674,166.33333333333334
Picramniaceae,Picramnia latifolia,-63,-11,24.5,146.25
Picramniaceae,Picramnia latifolia,-73.73,-7.5,25.524999777475994,193.33333333333334
Picramniaceae,Picramnia latifolia,-84.25,9.91,22.408332983652752,214.16666666666666
Picramniaceae,Picramnia latifolia,-73.375833,-3.826111,26.24166663487752,224.5
Picramniaceae,Picramnia latifolia,-82.88333,8.21666,25.94166660308838,276.0833333333333
Picramniaceae,Picramnia latifolia,-52.56,4.36,25.64999993642171,262.0833333333333
Picramniaceae,Picramnia latifolia,-83.5,8.71,25.30833339691162,264.4166666666667
Picramniaceae,Picramnia latifolia,-79.36666,-0.58333,24.46666669845581,217.75
Picramniaceae,Picramnia latifolia,-77.68333,8.03333,25.608333587646484,202
Picramniaceae,Picramnia latifolia,-81.11555,8.51361,22.10000006357829,240
Picramniaceae,Picramnia latifolia,-74.713,5.379,27.708333333333332,204.58333333333334
Picramniaceae,Picramnia latifolia,-81.12055,8.50555,20.52500009536743,275.9166666666667
Picramniaceae,Picramnia latifolia,-75.583333,-4.983333,26.866666793823242,191.16666666666666
Picramniaceae,Picramnia latifolia,-74.13527,7.4233,23.02500009536743,175
Picramniaceae,Picramnia latifolia,-62.383333,8.383333,25.483333110809326,112.83333333333333
Picramniaceae,Picramnia latifolia,-44.17,-4.416667,27.050000031789143,121.16666666666667
Picramniaceae,Picramnia latifolia,-44.166667,-4.416667,27.050000031789143,121.16666666666667
Picramniaceae,Picramnia latifolia,-77.88333,-1.61666,20.958333333333332,354.5
Picramniaceae,Picramnia latifolia,-69.28333,-12.81666,25.233333269755047,203.41666666666666
Picramniaceae,Picramnia latifolia,-46.983333,-1.066667,26.324999809265137,206.66666666666666
Picramniaceae,Picramnia latifolia,-46.98,-1.066667,26.324999809265137,206.66666666666666
Picramniaceae,Picramnia latifolia,-84.61,10.04,25.43333355585734,183.66666666666666
Picramniaceae,Picramnia latifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Picramniaceae,Picramnia latifolia,-82.25,8.75,20.491666793823242,244.83333333333334
Picramniaceae,Picramnia latifolia,-70.25,-12,24.558333079020183,225.75
Picramniaceae,Picramnia latifolia,-66.16666,-11.13333,27.141666730244953,138.83333333333334
