familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Platymiscium curuense,-83.516667,8.7,25.516666571299236,242.16666666666666
Fabaceae,Platymiscium curuense,-83.514444,8.704167,25.53333330154419,254.83333333333334
Fabaceae,Platymiscium curuense,-84.583944,9.798,26.21666653951009,172.41666666666666
Fabaceae,Platymiscium curuense,-84.190833,9.739444,18.37500015894572,191.41666666666666
Fabaceae,Platymiscium curuense,-84.351389,9.731944,23.116666793823242,222.75
Fabaceae,Platymiscium curuense,-84.35,9.73,24.38333336512248,217.16666666666666
Fabaceae,Platymiscium curuense,-84.58394,9.798,26.21666653951009,172.41666666666666
Fabaceae,Platymiscium curuense,-84.35138,9.73194,23.116666793823242,222.75
Fabaceae,Platymiscium curuense,-84.408333,9.697222,24.39999993642171,225.08333333333334
Fabaceae,Platymiscium curuense,-84.927778,9.790278,26.77500009536743,155.08333333333334
Fabaceae,Platymiscium curuense,-84.927778,9.790278,26.77500009536743,155.08333333333334
Fabaceae,Platymiscium curuense,-83.515278,8.7,26.125000317891438,247.33333333333334
Fabaceae,Platymiscium curuense,-83.427778,8.525,24.97499990463257,289.1666666666667
Fabaceae,Platymiscium curuense,-83.4875,8.459722,25.233333110809326,242.41666666666666
Fabaceae,Platymiscium curuense,-84.6,9.766667,25.916666825612385,203.83333333333334
Fabaceae,Platymiscium curuense,-83.394943,8.53029,26.05833355585734,252.58333333333334
Fabaceae,Platymiscium curuense,-83.514444,8.704167,25.53333330154419,254.83333333333334
Fabaceae,Platymiscium curuense,-84.6,9.761111,25.28333330154419,191.66666666666666
Fabaceae,Platymiscium curuense,-84.408333,9.697222,24.39999993642171,225.08333333333334
Fabaceae,Platymiscium curuense,-84.381944,9.697222,24.3083332379659,236.25
Fabaceae,Platymiscium curuense,-84.370833,9.693056,24.083333333333332,244.83333333333334
Fabaceae,Platymiscium curuense,-84.533333,9.766667,25.616666952768963,203
Fabaceae,Platymiscium curuense,-83.394722,8.530278,26.05833355585734,252.58333333333334
Fabaceae,Platymiscium curuense,-84.6,9.76,25.28333330154419,191.66666666666666
Fabaceae,Platymiscium curuense,-83.55,8.45,25.458333333333332,291.5833333333333
Fabaceae,Platymiscium curuense,-83.58,8.46,25.71666653951009,305.5833333333333
Fabaceae,Platymiscium curuense,-84.576694,9.80775,26.358333428700764,178.66666666666666
Fabaceae,Platymiscium curuense,-84.583889,9.798056,26.21666653951009,172.41666666666666
Fabaceae,Platymiscium curuense,-84.607972,9.771667,26.291666507720947,184.66666666666666
Fabaceae,Platymiscium curuense,-84.607972,9.771667,26.291666507720947,184.66666666666666
Fabaceae,Platymiscium curuense,-84.6,9.76,25.28333330154419,191.66666666666666
Fabaceae,Platymiscium curuense,-84.593722,9.796139,26.56666660308838,182.83333333333334
Fabaceae,Platymiscium curuense,-83.425512,8.536614,25.15833330154419,260.5833333333333
Fabaceae,Platymiscium curuense,-83.41,8.51,24.97499990463257,291.1666666666667
Fabaceae,Platymiscium curuense,-83.49,8.45,NA,NA
Fabaceae,Platymiscium curuense,-83.58,8.46,25.71666653951009,305.5833333333333
Fabaceae,Platymiscium curuense,-84.39,9.7,24.608333269755047,232.91666666666666
Fabaceae,Platymiscium curuense,-84.529167,9.765278,25.36666663487752,212.5
Fabaceae,Platymiscium curuense,-83.3947,8.5303,26.05833355585734,252.58333333333334
Fabaceae,Platymiscium curuense,-83.5144,8.7042,25.53333330154419,254.83333333333334
Fabaceae,Platymiscium curuense,-83.5144,8.7042,25.53333330154419,254.83333333333334
Fabaceae,Platymiscium curuense,-84.6,9.76,25.28333330154419,191.66666666666666
Fabaceae,Platymiscium curuense,-84.52,9.76,25.21666653951009,217.25
Fabaceae,Platymiscium curuense,-84.53,9.76,25.36666663487752,212.5
Fabaceae,Platymiscium curuense,-83.51,8.7,26.125000317891438,247.33333333333334
Fabaceae,Platymiscium curuense,-83.516667,8.7,25.516666571299236,242.16666666666666
Fabaceae,Platymiscium curuense,-83.51,8.7,26.125000317891438,247.33333333333334
Fabaceae,Platymiscium curuense,-83.51,8.7,26.125000317891438,247.33333333333334
Fabaceae,Platymiscium curuense,-83.51444,8.70416,25.53333330154419,254.83333333333334
Fabaceae,Platymiscium curuense,-83.51,8.7,26.125000317891438,247.33333333333334
Fabaceae,Platymiscium curuense,-83.24722,8.95555,25.03333346048991,215.25
Fabaceae,Platymiscium curuense,-84.457222,9.824167,23.47500006357829,193.25
Fabaceae,Platymiscium curuense,-84.393056,9.706667,24.375,226.66666666666666
Fabaceae,Platymiscium curuense,-83.583333,8.466667,25.9333332379659,293.9166666666667
Fabaceae,Platymiscium curuense,-83.583335,8.466667,26.05833339691162,305.3333333333333
Fabaceae,Platymiscium curuense,-84.370833,9.693056,24.083333333333332,244.83333333333334
Fabaceae,Platymiscium curuense,-84.381944,9.697222,24.3083332379659,236.25
