familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Pleurothyrium palmanum,-83.98,10.05,18.65833346048991,298
Lauraceae,Pleurothyrium palmanum,-84.01,9.83,17.99999984105428,184.33333333333334
Lauraceae,Pleurothyrium palmanum,-83.62,9.89,21.041666666666668,243.33333333333334
Lauraceae,Pleurothyrium palmanum,-82.42,8.8,18.916666666666668,226.75
Lauraceae,Pleurothyrium palmanum,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Pleurothyrium palmanum,-84.8,10.35,17.733333110809326,253.16666666666666
Lauraceae,Pleurothyrium palmanum,-84.82,10.33,18.699999809265137,202.5
Lauraceae,Pleurothyrium palmanum,-84.81,10.3,19.1916667620341,181.5
Lauraceae,Pleurothyrium palmanum,-84.800005,10.3,18.699999968210857,200.83333333333334
Lauraceae,Pleurothyrium palmanum,-84.82,10.32,18.958333174387615,202.83333333333334
Lauraceae,Pleurothyrium palmanum,-83.09,9.41,21.674999872843426,267.9166666666667
Lauraceae,Pleurothyrium palmanum,-83.08,9.4,20.38333336512248,260
Lauraceae,Pleurothyrium palmanum,-84.780556,10.297222,18.616666475931805,253.41666666666666
Lauraceae,Pleurothyrium palmanum,-84.78,10.32,17.02500009536743,254
Lauraceae,Pleurothyrium palmanum,-84.01,10.06,17.433333079020183,322.25
Lauraceae,Pleurothyrium palmanum,-85.416389,10.882778,22.858333269755047,217.58333333333334
Lauraceae,Pleurothyrium palmanum,-84.78,10.35,18.583333174387615,280.5833333333333
Lauraceae,Pleurothyrium palmanum,-82.957238,9.025653,16.46666669845581,297.5
Lauraceae,Pleurothyrium palmanum,-82.964502,9.031997,16.416666587193806,271.9166666666667
Lauraceae,Pleurothyrium palmanum,-84.17,10.17,16.608333349227905,255.83333333333334
