familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Posoqueria latifolia,-91.312972,16.182889,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-91.312056,16.182417,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-91.308083,16.201472,24.65833346048991,193.33333333333334
Rubiaceae,Posoqueria latifolia,-91.307472,16.201556,24.65833346048991,193.33333333333334
Rubiaceae,Posoqueria latifolia,-91.312361,16.182139,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-91.310972,16.181944,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-56.526,4.423,26.56666660308838,186.41666666666666
Rubiaceae,Posoqueria latifolia,-80.73,7.33,21.641666571299236,181.75
Rubiaceae,Posoqueria latifolia,-74.812377,5.152323,26.125,186.33333333333334
Rubiaceae,Posoqueria latifolia,-74.812253,5.151669,26.125,186.33333333333334
Rubiaceae,Posoqueria latifolia,-91.5,16.833333,22.241666475931805,171.83333333333334
Rubiaceae,Posoqueria latifolia,-90.925126,16.119955,25.90833330154419,249
Rubiaceae,Posoqueria latifolia,-74.0987,4.668053,13.99999992052714,121.75
Rubiaceae,Posoqueria latifolia,-73.358857,7.267722,26.991666952768963,205.08333333333334
Rubiaceae,Posoqueria latifolia,-91.313,16.183,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-91.312,16.182,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-91.308,16.201,24.65833346048991,193.33333333333334
Rubiaceae,Posoqueria latifolia,-91.307,16.202,24.65833346048991,193.33333333333334
Rubiaceae,Posoqueria latifolia,-91.312,16.182,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-91.311,16.182,24.208333492279053,191.16666666666666
Rubiaceae,Posoqueria latifolia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Rubiaceae,Posoqueria latifolia,-80,21.5,NA,NA
Rubiaceae,Posoqueria latifolia,-66.602778,1.918333,26.608333587646484,263
Rubiaceae,Posoqueria latifolia,-66.169564,7.122449,26.941666920979817,156.33333333333334
