familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Urticaceae,Pourouma bicolor,-79.85,-0.617,24.12500015894572,138.58333333333334
Urticaceae,Pourouma bicolor,-79.35,-2.567,22.350000222524006,113.83333333333333
Urticaceae,Pourouma bicolor,-77.983333,1.15,17.46666685740153,135.83333333333334
Urticaceae,Pourouma bicolor,-77.983333,1.15,17.46666685740153,135.83333333333334
Urticaceae,Pourouma bicolor,-77.208,-2.262,24.949999650319416,279.3333333333333
Urticaceae,Pourouma bicolor,-77.983333,1.316667,18.25,165.41666666666666
Urticaceae,Pourouma bicolor,-77.983333,1.316667,18.25,165.41666666666666
Urticaceae,Pourouma bicolor,-77.16653,3.9442,25.758333206176758,509.75
Urticaceae,Pourouma bicolor,-76.861695,5.108223,26.391666730244953,614.1666666666666
Urticaceae,Pourouma bicolor,-76.861694,5.108222,26.391666730244953,614.1666666666666
Urticaceae,Pourouma bicolor,-77.983333,1.15,17.46666685740153,135.83333333333334
Urticaceae,Pourouma bicolor,-77.983333,1.316667,18.25,165.41666666666666
Urticaceae,Pourouma bicolor,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Urticaceae,Pourouma bicolor,-52.9708,3.8558,25.333333333333332,235.08333333333334
Urticaceae,Pourouma bicolor,-53.816667,5.6,26.333333174387615,204.5
Urticaceae,Pourouma bicolor,-84,9.6667,17.50833336512248,180.33333333333334
Urticaceae,Pourouma bicolor,-77.639273,-4.434615,26.94166660308838,188.08333333333334
Urticaceae,Pourouma bicolor,-74.14,-9.1839,26.22499990463257,146.33333333333334
Urticaceae,Pourouma bicolor,-88.684767,17.217668,25.37500015894572,160.25
Urticaceae,Pourouma bicolor,-79.86805,9.15861,26.56666644414266,206.16666666666666
Urticaceae,Pourouma bicolor,-73.29417,5.27306,13.241666634877523,150.33333333333334
Urticaceae,Pourouma bicolor,-59.8,3.35,27.800000190734863,133.41666666666666
Urticaceae,Pourouma bicolor,-83.66361,9.36055,23.083333492279053,250.25
Urticaceae,Pourouma bicolor,-83.6575,9.346667,23.199999968210857,248.75
Urticaceae,Pourouma bicolor,-76.7,5.1,26.65833330154419,577.3333333333334
Urticaceae,Pourouma bicolor,-68.2,-15.41666,23.299999872843426,123.66666666666667
Urticaceae,Pourouma bicolor,-76.5,3.75,19.62500015894572,133.41666666666666
Urticaceae,Pourouma bicolor,-72.8667,3.8811,26.583333174387615,229.33333333333334
Urticaceae,Pourouma bicolor,-77,6,26.47500006357829,536.25
Urticaceae,Pourouma bicolor,-76.5,3.75,19.62500015894572,133.41666666666666
Urticaceae,Pourouma bicolor,-72.8667,3.8811,26.583333174387615,229.33333333333334
Urticaceae,Pourouma bicolor,-80.108333,8.623611,22.975000222524006,195.75
Urticaceae,Pourouma bicolor,-73.831556,2.48927,23.950000127156574,195.66666666666666
Urticaceae,Pourouma bicolor,-72.8667,3.8811,26.583333174387615,229.33333333333334
Urticaceae,Pourouma bicolor,-88,15.4167,26.72500006357829,108.58333333333333
Urticaceae,Pourouma bicolor,-70.5,-0.25,25.84166669845581,255.91666666666666
Urticaceae,Pourouma bicolor,-70.25944,-0.443053,25.96666653951009,253.5
Urticaceae,Pourouma bicolor,-79.966667,9.316667,26.34999990463257,212.5
Urticaceae,Pourouma bicolor,-77.4,7.9,26.3083332379659,198.5
Urticaceae,Pourouma bicolor,-51.32,3.6,25.88333336512248,258.1666666666667
Urticaceae,Pourouma bicolor,-51.316667,3.6,25.88333336512248,258.1666666666667
Urticaceae,Pourouma bicolor,-77.73333,7.83333,21.458333492279053,223.08333333333334
Urticaceae,Pourouma bicolor,-75.2289,6.55056,22.841667016347248,220.25
Urticaceae,Pourouma bicolor,-62.4624,5.73295,23.50833336512248,185.08333333333334
Urticaceae,Pourouma bicolor,-79.79166,9.21111,26.09166685740153,202.83333333333334
Urticaceae,Pourouma bicolor,-63,-5,26.766666730244953,200.91666666666666
Urticaceae,Pourouma bicolor,-78.15,8.65,26.708333333333332,192.08333333333334
Urticaceae,Pourouma bicolor,-72.67164576,-7.63455502,25.208333333333332,182.75
Urticaceae,Pourouma bicolor,-53.21,3.66,24.90833330154419,232.91666666666666
Urticaceae,Pourouma bicolor,-77.664928,7.033409,26.24166663487752,285.4166666666667
Urticaceae,Pourouma bicolor,-77.3531,4.95639,26.041666825612385,537
Urticaceae,Pourouma bicolor,-74.25,6.91666,27.9333332379659,258.75
Urticaceae,Pourouma bicolor,-80.416667,8.933333,26.34999990463257,251.5
Urticaceae,Pourouma bicolor,-79.78333,9.33333,25.72500006357829,229.75
Urticaceae,Pourouma bicolor,-79.4125,9.16611,23.425000190734863,220.58333333333334
Urticaceae,Pourouma bicolor,-52.600822,-0.880931,25.53333330154419,184.75
Urticaceae,Pourouma bicolor,-79.85833,9.15277,25.983333269755047,199.5
Urticaceae,Pourouma bicolor,-79.838889,9.158333,26.30833339691162,207.5
Urticaceae,Pourouma bicolor,-79.83888,9.15833,26.30833339691162,207.5
Urticaceae,Pourouma bicolor,-79.84166,9.15694,26.30833339691162,207.5
Urticaceae,Pourouma bicolor,-79.82222,9.15833,26.53333330154419,214.33333333333334
Urticaceae,Pourouma bicolor,-79.39166,9.20277,22.88333336512248,221.16666666666666
Urticaceae,Pourouma bicolor,-84.1,10.39,25.291666825612385,304.25
Urticaceae,Pourouma bicolor,-84,10.5,26.02499993642171,310.25
Urticaceae,Pourouma bicolor,-65.0192,-0.4142,26.599999745686848,204.58333333333334
Urticaceae,Pourouma bicolor,-63.392,3.125,24.34166653951009,213.66666666666666
Urticaceae,Pourouma bicolor,-79.753056,9.168333,26.05833339691162,214.75
Urticaceae,Pourouma bicolor,-77.715833,7.9225,21.31666660308838,187.16666666666666
Urticaceae,Pourouma bicolor,-75.5,7,16.18333339691162,220.91666666666666
Urticaceae,Pourouma bicolor,-75.2065,7.26941,23.583333492279053,298
Urticaceae,Pourouma bicolor,-73.75,-2.66666,26.06666660308838,285.5833333333333
Urticaceae,Pourouma bicolor,-73.26555,-3.69055,26.13333336512248,231.16666666666666
Urticaceae,Pourouma bicolor,-70.5919,-3.81564,26.59166669845581,244.08333333333334
Urticaceae,Pourouma bicolor,-59.97,-2.883333,26.508333683013916,193.08333333333334
Urticaceae,Pourouma bicolor,-88.616667,17.083333,24.825000127156574,168.41666666666666
Urticaceae,Pourouma bicolor,-84.716667,15.5,26.25833336512248,242.58333333333334
Urticaceae,Pourouma bicolor,-84.18,10.25,20.541666666666668,294.75
Urticaceae,Pourouma bicolor,-78.953056,9.253333,25.675000031789143,196.41666666666666
Urticaceae,Pourouma bicolor,-60.154138,-1.732384,26.35000006357829,207.33333333333334
Urticaceae,Pourouma bicolor,-59.35,-10.2,24.674999872843426,162.83333333333334
Urticaceae,Pourouma bicolor,-84.016667,10.433333,25.949999809265137,316.25
Urticaceae,Pourouma bicolor,-84.01,10.43,25.949999809265137,317.4166666666667
Urticaceae,Pourouma bicolor,-79.36666,-0.58333,24.46666669845581,217.75
Urticaceae,Pourouma bicolor,-75.05,7.216667,23.799999713897705,281.75
Urticaceae,Pourouma bicolor,-79.366,-0.5833,24.46666669845581,217.75
Urticaceae,Pourouma bicolor,-75.8333,-9.5,19.383333524068195,68.58333333333333
Urticaceae,Pourouma bicolor,-75.67361,-9.07694,24.74999984105428,295.6666666666667
Urticaceae,Pourouma bicolor,-75.055562,7.321067,25.233333110809326,297.5833333333333
Urticaceae,Pourouma bicolor,-73.416667,-3.8,26.21666669845581,225.5
Urticaceae,Pourouma bicolor,-59.97,-2.883333,26.508333683013916,193.08333333333334
Urticaceae,Pourouma bicolor,-77.71666,7.96666,22.21666653951009,203.33333333333334
Urticaceae,Pourouma bicolor,-73.34478,7.47157,27.158332983652752,200.08333333333334
Urticaceae,Pourouma bicolor,-71.8,-3.08333,26.22500006357829,251.41666666666666
Urticaceae,Pourouma bicolor,-84.15,10.36,24.933333079020183,293.0833333333333
Urticaceae,Pourouma bicolor,-77.744167,-4.035833,26.80833339691162,187.83333333333334
Urticaceae,Pourouma bicolor,-77.718333,-3.916667,26.675000031789143,191.16666666666666
Urticaceae,Pourouma bicolor,-77.666667,-3.833333,26.47500006357829,196.33333333333334
Urticaceae,Pourouma bicolor,-77.66666,-3.83333,26.383333206176758,197.41666666666666
Urticaceae,Pourouma bicolor,-76.649048,5.653753,26.824999968210857,605.3333333333334
Urticaceae,Pourouma bicolor,-76.598235,5.393915,26.5666667620341,583.3333333333334
Urticaceae,Pourouma bicolor,-71.783333,7.625,23.97499990463257,161.33333333333334
Urticaceae,Pourouma bicolor,-84.00361,10.43138,26.008333206176758,307.9166666666667
Urticaceae,Pourouma bicolor,-77.816667,7.85,26.12500015894572,239.83333333333334
Urticaceae,Pourouma bicolor,-77.7,-3.91666,26.666666666666668,192.58333333333334
Urticaceae,Pourouma bicolor,-77.7,7.75,22.34166653951009,227.41666666666666
Urticaceae,Pourouma bicolor,-76.98333,-0.4,24.891666571299236,295.0833333333333
Urticaceae,Pourouma bicolor,-76.282103,4.889107,24.025000254313152,203.75
Urticaceae,Pourouma bicolor,-67.25,5.58,26.833333651224773,202.66666666666666
Urticaceae,Pourouma bicolor,-67.25,5.58333,26.833333651224773,202.66666666666666
Urticaceae,Pourouma bicolor,-66,3.5,26.991666952768963,291.1666666666667
Urticaceae,Pourouma bicolor,-78.93194,9.28194,24.958333333333332,190.75
Urticaceae,Pourouma bicolor,-76.58333,5.76666,26.90000009536743,584.5833333333334
Urticaceae,Pourouma bicolor,-75.226576,6.546675,22.94166644414266,214.08333333333334
Urticaceae,Pourouma bicolor,-75.045326,6.19737,19.574999968210857,256.6666666666667
Urticaceae,Pourouma bicolor,-75.015,6.31335,22.283333619435627,236.16666666666666
Urticaceae,Pourouma bicolor,-72.15,7.466667,21.583333492279053,258.8333333333333
Urticaceae,Pourouma bicolor,-59.8,-2.433333,26.34166669845581,198.25
Urticaceae,Pourouma bicolor,-49.82,-3.93,26.52499993642171,180.75
Urticaceae,Pourouma bicolor,-49.81666,-3.93333,26.62499984105428,181.33333333333334
Urticaceae,Pourouma bicolor,-49.733333,-4.183333,26.608333269755047,171.75
Urticaceae,Pourouma bicolor,-49.73333,-4.18333,26.608333269755047,171.75
Urticaceae,Pourouma bicolor,-49.73,-4.183333,26.608333269755047,171.75
Urticaceae,Pourouma bicolor,-49.73,-4.18,26.608333269755047,171.75
Urticaceae,Pourouma bicolor,-49.673567,-3.990652,26.408333619435627,176.75
Urticaceae,Pourouma bicolor,-84.00361,10.43138,26.008333206176758,307.9166666666667
Urticaceae,Pourouma bicolor,-60.08,-2.316667,26.441667079925537,201.83333333333334
Urticaceae,Pourouma bicolor,-53.2,3.61666,25.00000015894572,224.41666666666666
Urticaceae,Pourouma bicolor,-78.05,7.416667,NA,NA
Urticaceae,Pourouma bicolor,-77.13333,3.93333,26.049999713897705,543.0833333333334
Urticaceae,Pourouma bicolor,-76.718888,7.389996,27.674999872843426,272.5
Urticaceae,Pourouma bicolor,-76.648127,5.683436,26.925000190734863,276.4166666666667
Urticaceae,Pourouma bicolor,-76.64674,5.18635,26.574999809265137,569.5833333333334
Urticaceae,Pourouma bicolor,-76.64341,5.7083,26.950000127156574,486.75
Urticaceae,Pourouma bicolor,-76.61666,5.2,26.65833330154419,589.75
Urticaceae,Pourouma bicolor,-76.340361,4.926188,23.641666889190674,197.25
Urticaceae,Pourouma bicolor,-73.46666,-3,26.116666793823242,269
Urticaceae,Pourouma bicolor,-49.73,-3.92,26.616666475931805,186.75
