familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Urticaceae,Pourouma minor,-68.733,-13.633,24.86666663487752,191.5
Urticaceae,Pourouma minor,-73.513,-12.865,20.31666660308838,116
Urticaceae,Pourouma minor,-73.341,-11.78,23.46666685740153,154.66666666666666
Urticaceae,Pourouma minor,-77.826,-1.919,22.5583332379659,311.1666666666667
Urticaceae,Pourouma minor,-77.208,-2.262,24.949999650319416,279.3333333333333
Urticaceae,Pourouma minor,-66.3,4.7,27.608333269755047,252.41666666666666
Urticaceae,Pourouma minor,-70.3225,-9.62306,24.674999713897705,162.25
Urticaceae,Pourouma minor,-69,-9.33333,24.641666412353516,171.33333333333334
Urticaceae,Pourouma minor,-69,-9.33,24.641666412353516,171.33333333333334
Urticaceae,Pourouma minor,-65.49341,-3.324153,26.5666667620341,242.5
Urticaceae,Pourouma minor,-72.8667,3.8811,26.583333174387615,229.33333333333334
Urticaceae,Pourouma minor,-70.719953,0.877467,25.866666793823242,252.16666666666666
Urticaceae,Pourouma minor,-71.187778,0.09,26.05833339691162,243.75
Urticaceae,Pourouma minor,-75.0564,7.31667,25.233333110809326,297.5833333333333
Urticaceae,Pourouma minor,-52.45,2.78,25.799999872843426,213.08333333333334
Urticaceae,Pourouma minor,-52.45,2.783333,25.799999872843426,213.08333333333334
Urticaceae,Pourouma minor,-52.37,2.88,25.758333206176758,223.5
Urticaceae,Pourouma minor,-52.366667,2.883333,25.758333206176758,223.5
Urticaceae,Pourouma minor,-52.000485,0.897731,25.983333269755047,200.33333333333334
Urticaceae,Pourouma minor,-51.97,1.43,26.00833336512248,200.91666666666666
Urticaceae,Pourouma minor,-51.48333,0.95,26.0583332379659,192.33333333333334
Urticaceae,Pourouma minor,-51.48,0.95,26.0583332379659,192.33333333333334
Urticaceae,Pourouma minor,-59.97,-2.883333,26.508333683013916,193.08333333333334
Urticaceae,Pourouma minor,-68.612566,-9.068868,24.84166669845581,174.91666666666666
Urticaceae,Pourouma minor,-67.81138451,-9.9782223900000009,25.575000127156574,146.41666666666666
Urticaceae,Pourouma minor,-65.4,-9.7,26.39999993642171,140.16666666666666
Urticaceae,Pourouma minor,-63.55,-4.1677,26.700000127156574,178.33333333333334
Urticaceae,Pourouma minor,-63.55,2.7,23.80833339691162,213.16666666666666
Urticaceae,Pourouma minor,-75.2065,7.26941,23.583333492279053,298
Urticaceae,Pourouma minor,-84.1,10.39,25.291666825612385,304.25
Urticaceae,Pourouma minor,-83.955,10.46222,26.03333330154419,315.5
Urticaceae,Pourouma minor,-83.9519,10.0114,17.35000006357829,334.6666666666667
Urticaceae,Pourouma minor,-83.548330000000007,10.08472,25.399999777475994,293
Urticaceae,Pourouma minor,-75.05824,7.319762,25.233333110809326,297.5833333333333
Urticaceae,Pourouma minor,-83.93722,10.29805,25.608333587646484,315.25
Urticaceae,Pourouma minor,-75.5,7,16.18333339691162,220.91666666666666
Urticaceae,Pourouma minor,-75.05,7.216667,23.799999713897705,281.75
