familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapotaceae,Pouteria filipes,-83.51,10.36,26.15833346048991,304.9166666666667
Sapotaceae,Pouteria filipes,-75,-4,26.225000222524006,209
Sapotaceae,Pouteria filipes,-74.14,-9.1839,26.22499990463257,146.33333333333334
Sapotaceae,Pouteria filipes,-68.333333,-10.75,25.27499993642171,143.25
Sapotaceae,Pouteria filipes,-65.9119,7.0758,27.366666952768963,155.91666666666666
Sapotaceae,Pouteria filipes,-64.366667,4.05,24.03333346048991,242.41666666666666
Sapotaceae,Pouteria filipes,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria filipes,-58.866667,3.933333,26.891666571299236,148.5
Sapotaceae,Pouteria filipes,-52.8731,-10.8339,25.53333346048991,172.25
Sapotaceae,Pouteria filipes,-55.214119,4.854971,24.608333110809326,200.91666666666666
Sapotaceae,Pouteria filipes,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria filipes,-64.37,4.1734,24.61666663487752,250.25
Sapotaceae,Pouteria filipes,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria filipes,-55.21,4.88,24.733333269755047,196.66666666666666
Sapotaceae,Pouteria filipes,-83.68,10.2,25.700000286102295,317.1666666666667
Sapotaceae,Pouteria filipes,-70,-9,24.608333269755047,178.16666666666666
Sapotaceae,Pouteria filipes,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria filipes,-39.981667,-19.247222,23.583333492279053,101.16666666666667
Sapotaceae,Pouteria filipes,-84.02,10.42,25.766666889190674,314.9166666666667
Sapotaceae,Pouteria filipes,-45.9,-4.67,25.991666793823242,108.75
Sapotaceae,Pouteria filipes,-45.9,-4.66666,26.09166669845581,109.08333333333333
Sapotaceae,Pouteria filipes,-45.65841184,-3.96671877,26.625000317891438,132.41666666666666
Sapotaceae,Pouteria filipes,-45,-5,26.733333269755047,129.33333333333334
Sapotaceae,Pouteria filipes,-84.41666,11.05,25.916666348775227,248.75
Sapotaceae,Pouteria filipes,-53.33,4.6,25.300000190734863,237.66666666666666
Sapotaceae,Pouteria filipes,-43.04075674,-22.65695596,23.02500009536743,114.5
Sapotaceae,Pouteria filipes,-42.833333,-22.433333,21.11666663487752,114.91666666666667
Sapotaceae,Pouteria filipes,-66.83333,5.58333,25.266666571299236,193.66666666666666
Sapotaceae,Pouteria filipes,-60.16,-2.571139,26.475000381469727,196.66666666666666
