familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapotaceae,Pouteria fossicola,-83.516668,8.7,25.516666571299236,242.16666666666666
Sapotaceae,Pouteria fossicola,-82.28333,8.75,21.96666669845581,226.16666666666666
Sapotaceae,Pouteria fossicola,-83.250001,8.766667,26.4333332379659,290.5833333333333
Sapotaceae,Pouteria fossicola,-83.367944,8.498694,25.716666380564373,264.3333333333333
Sapotaceae,Pouteria fossicola,-79.85,9.15,26.358333428700764,200.33333333333334
Sapotaceae,Pouteria fossicola,-79.85277,9.15555,25.983333269755047,199.5
Sapotaceae,Pouteria fossicola,-82.96,9.4,22.608333428700764,270.9166666666667
Sapotaceae,Pouteria fossicola,-84.616667,10.216667,21.391666889190674,287.25
Sapotaceae,Pouteria fossicola,-78.216389,8.231389,26.39999993642171,233.33333333333334
Sapotaceae,Pouteria fossicola,-79.116667,9.458333,26.65833330154419,229.25
Sapotaceae,Pouteria fossicola,-77.766667,8.333333,26.766666571299236,172.66666666666666
Sapotaceae,Pouteria fossicola,-80.11166,8.61666,23.72499990463257,198.58333333333334
Sapotaceae,Pouteria fossicola,-80.11666,8.60833,23.96666685740153,204.75
Sapotaceae,Pouteria fossicola,-84.78611,10.30027,17.666666507720947,225.66666666666666
Sapotaceae,Pouteria fossicola,-84.28333,12.15,25.6833332379659,247.25
Sapotaceae,Pouteria fossicola,-84,9,NA,NA
Sapotaceae,Pouteria fossicola,-83.733334,8.616667,NA,NA
Sapotaceae,Pouteria fossicola,-84.67,10.57,25.27499993642171,274.9166666666667
Sapotaceae,Pouteria fossicola,-83.19,8.82,21.966667016347248,271.1666666666667
Sapotaceae,Pouteria fossicola,-84.81,10.35,18.166666348775227,230.58333333333334
Sapotaceae,Pouteria fossicola,-83.7,10.38,26.150000254313152,310.25
Sapotaceae,Pouteria fossicola,-83.7,10.38,26.150000254313152,310.25
Sapotaceae,Pouteria fossicola,-84.816667,10.35,18.50833336512248,235.58333333333334
Sapotaceae,Pouteria fossicola,-84.8,10.3,18.574999968210857,210.08333333333334
Sapotaceae,Pouteria fossicola,-85.51666,11.48333,25.699999650319416,155.91666666666666
Sapotaceae,Pouteria fossicola,-85.48333,11.46666,25.233332951863606,173.16666666666666
Sapotaceae,Pouteria fossicola,-83.199722,8.662222,25.94166644414266,270.25
Sapotaceae,Pouteria fossicola,-83.45,8.96,26.30833339691162,261.1666666666667
Sapotaceae,Pouteria fossicola,-83.18,8.65,26.708333492279053,364.1666666666667
Sapotaceae,Pouteria fossicola,-83.62,9.34,22.78333314259847,227
Sapotaceae,Pouteria fossicola,-84.26,10,22.56666660308838,205.5
Sapotaceae,Pouteria fossicola,-84.8,10.3,18.574999968210857,210.08333333333334
Sapotaceae,Pouteria fossicola,-84.8,10.3,18.574999968210857,210.08333333333334
Sapotaceae,Pouteria fossicola,-84.833333,10.783333,26.34166669845581,243.25
Sapotaceae,Pouteria fossicola,-84.8075,10.308611,18.28333330154419,196.58333333333334
Sapotaceae,Pouteria fossicola,-84.833333,10.8,26.366666793823242,241
Sapotaceae,Pouteria fossicola,-84.833333,10.8,26.366666793823242,241
Sapotaceae,Pouteria fossicola,-83.73,8.61,25.924999872843426,308.9166666666667
Sapotaceae,Pouteria fossicola,-83.2167,8.68333,25.69166644414266,249.16666666666666
Sapotaceae,Pouteria fossicola,-83.305608,8.533972,26.600000222524006,287.1666666666667
Sapotaceae,Pouteria fossicola,-83.3,8.53,26.5666667620341,275.25
Sapotaceae,Pouteria fossicola,-84.61,10.21,20.09999990463257,285.6666666666667
Sapotaceae,Pouteria fossicola,-84.61,10.21,20.09999990463257,285.6666666666667
Sapotaceae,Pouteria fossicola,-84.8,10.3,18.574999968210857,210.08333333333334
Sapotaceae,Pouteria fossicola,-84.8,10.3,18.574999968210857,210.08333333333334
Sapotaceae,Pouteria fossicola,-84.61,10.21,20.09999990463257,285.6666666666667
Sapotaceae,Pouteria fossicola,-83.516667,8.7,25.516666571299236,242.16666666666666
Sapotaceae,Pouteria fossicola,-84.816667,10.35,18.50833336512248,235.58333333333334
Sapotaceae,Pouteria fossicola,-84.816667,10.35,18.50833336512248,235.58333333333334
Sapotaceae,Pouteria fossicola,-83.195833,8.825,22.40000009536743,286.6666666666667
Sapotaceae,Pouteria fossicola,-83.19,8.82,21.966667016347248,271.1666666666667
Sapotaceae,Pouteria fossicola,-80.7,7.783333,25.641666571299236,187
Sapotaceae,Pouteria fossicola,-80.125,9.20833,26.55833339691162,232.33333333333334
Sapotaceae,Pouteria fossicola,-79.73333,9.35833,25.266666889190674,237.25
Sapotaceae,Pouteria fossicola,-82.643552,9.634353,26.34166653951009,264.4166666666667
Sapotaceae,Pouteria fossicola,-83.933333,14.316667,24.708333492279053,226.91666666666666
Sapotaceae,Pouteria fossicola,-83.575,9.833333,21.791666666666668,246.41666666666666
Sapotaceae,Pouteria fossicola,-83.77,9.29,23.116666475931805,258.6666666666667
Sapotaceae,Pouteria fossicola,-81.5833,7.8,26.141666730244953,262.8333333333333
Sapotaceae,Pouteria fossicola,-84.01,9.49,22.02500009536743,249.08333333333334
Sapotaceae,Pouteria fossicola,-83.203451,8.538109,NA,NA
Sapotaceae,Pouteria fossicola,-84.8333,10,26.93333339691162,153
Sapotaceae,Pouteria fossicola,-84.800005,10.3,18.699999968210857,200.83333333333334
Sapotaceae,Pouteria fossicola,-82.948222,8.825639,21.6833332379659,234.5
