familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapotaceae,Pouteria laevigata,-75,-4,26.225000222524006,209
Sapotaceae,Pouteria laevigata,-74.14,-9.1839,26.22499990463257,146.33333333333334
Sapotaceae,Pouteria laevigata,-72.8667,3.8811,26.583333174387615,229.33333333333334
Sapotaceae,Pouteria laevigata,-66.266667,0.916667,26.75000015894572,242.25
Sapotaceae,Pouteria laevigata,-65.9119,7.0758,27.366666952768963,155.91666666666666
Sapotaceae,Pouteria laevigata,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-55,-10,26.75833336512248,189.33333333333334
Sapotaceae,Pouteria laevigata,-52.8731,-10.8339,25.53333346048991,172.25
Sapotaceae,Pouteria laevigata,-55,-10,26.75833336512248,189.33333333333334
Sapotaceae,Pouteria laevigata,-74.14,-9.1839,26.22499990463257,146.33333333333334
Sapotaceae,Pouteria laevigata,-73.88028,-4.27667,26.40833314259847,208.91666666666666
Sapotaceae,Pouteria laevigata,-67.56,2.73,26.61666663487752,288.25
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-61.01841,2.147153,27.574999809265137,142.16666666666666
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-72.89755799,-7.6178537,25.31666660308838,184
Sapotaceae,Pouteria laevigata,-73.75,-2.66666,26.06666660308838,285.5833333333333
Sapotaceae,Pouteria laevigata,-73.1,-3.483333,26.291666348775227,248.75
Sapotaceae,Pouteria laevigata,-73.24917,-3.75528,26.199999968210857,246.66666666666666
Sapotaceae,Pouteria laevigata,-72.75,-3.416667,26.241666316986084,261.0833333333333
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-69.426381,-1.399671,26.03333314259847,264.75
Sapotaceae,Pouteria laevigata,-69.42,-1.233333,25.950000286102295,265.3333333333333
Sapotaceae,Pouteria laevigata,-63,-5,26.766666730244953,200.91666666666666
Sapotaceae,Pouteria laevigata,-59.42,-1.23,26.333333333333332,192.25
Sapotaceae,Pouteria laevigata,-83.5,8.69,26.233333110809326,283
Sapotaceae,Pouteria laevigata,-66.26666,0.91666,26.741666793823242,242.33333333333334
Sapotaceae,Pouteria laevigata,-67.5,-1.5,25.958333333333332,256.0833333333333
Sapotaceae,Pouteria laevigata,-67,-1,26.041666348775227,232.58333333333334
Sapotaceae,Pouteria laevigata,-60,-1.033333,26.266666730244953,189.75
Sapotaceae,Pouteria laevigata,-60,-1.000083,26.008333524068195,190.66666666666666
Sapotaceae,Pouteria laevigata,-60,-1,26.008333524068195,190.66666666666666
Sapotaceae,Pouteria laevigata,-59.4767,-1.9192,26.891666730244953,201.75
Sapotaceae,Pouteria laevigata,-59,-1.033333,26.266666571299236,189.5
Sapotaceae,Pouteria laevigata,-75,-4,26.225000222524006,209
Sapotaceae,Pouteria laevigata,-73.5,-3.833333,26.24166663487752,225.08333333333334
Sapotaceae,Pouteria laevigata,-73.41666,-3.8,26.21666669845581,224.91666666666666
Sapotaceae,Pouteria laevigata,-67.25,0.08,25.958333492279053,237.16666666666666
Sapotaceae,Pouteria laevigata,-67.25,0.083333,25.958333492279053,237.16666666666666
Sapotaceae,Pouteria laevigata,-67,-5,26.24999984105428,212.41666666666666
Sapotaceae,Pouteria laevigata,-66.95,-0.13,26.06666660308838,230.08333333333334
Sapotaceae,Pouteria laevigata,-70.90278,-1.41944,26.166666825612385,250.66666666666666
Sapotaceae,Pouteria laevigata,-84.03,10.37,25.266666889190674,318.1666666666667
Sapotaceae,Pouteria laevigata,-73.66666,-3.91666,26.34166653951009,221.83333333333334
Sapotaceae,Pouteria laevigata,-83.575,8.575,25.46666669845581,250.58333333333334
Sapotaceae,Pouteria laevigata,-83.57,8.57,25.46666669845581,250.58333333333334
Sapotaceae,Pouteria laevigata,-83.566667,8.7,25.5,239.91666666666666
Sapotaceae,Pouteria laevigata,-83.463099,8.729248,25.833333333333332,322
Sapotaceae,Pouteria laevigata,-83.44,8.73,25.925000031789143,295.8333333333333
Sapotaceae,Pouteria laevigata,-71.8775,-0.79166,26.31666660308838,232.08333333333334
Sapotaceae,Pouteria laevigata,-83.580556,8.727778,25.46666669845581,249.91666666666666
Sapotaceae,Pouteria laevigata,-83.58,8.72,24.63333336512248,255.83333333333334
Sapotaceae,Pouteria laevigata,-83.51,8.71,24.21666653951009,261.6666666666667
Sapotaceae,Pouteria laevigata,-83.55,8.7,25.19166644414266,257.0833333333333
Sapotaceae,Pouteria laevigata,-83.516668,8.7,25.516666571299236,242.16666666666666
Sapotaceae,Pouteria laevigata,-83.5153,8.7,26.125000317891438,247.33333333333334
Sapotaceae,Pouteria laevigata,-83.51,8.7,26.125000317891438,247.33333333333334
Sapotaceae,Pouteria laevigata,-83.51,8.71,24.21666653951009,261.6666666666667
Sapotaceae,Pouteria laevigata,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.97,-2.88,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Sapotaceae,Pouteria laevigata,-59.58,-2.53,26.533333619435627,196.91666666666666
Sapotaceae,Pouteria laevigata,-83.377779,8.772222,25.983333269755047,300.5
Sapotaceae,Pouteria laevigata,-83.37,8.77,25.97499990463257,298.5833333333333
Sapotaceae,Pouteria laevigata,-83.36,8.76,25.891666730244953,284.5
Sapotaceae,Pouteria laevigata,-72.66667,0.6,26.391666571299236,220.91666666666666
Sapotaceae,Pouteria laevigata,-72.12,-0.03,26.199999809265137,232.66666666666666
Sapotaceae,Pouteria laevigata,-83.454919,8.73059,25.733333110809326,300.75
Sapotaceae,Pouteria laevigata,-83.45,8.71,NA,NA
Sapotaceae,Pouteria laevigata,-68.73694,-12.65638,25.43333355585734,165.66666666666666
Sapotaceae,Pouteria laevigata,-71.66667,-1.91667,26.316666920979817,243.5
Sapotaceae,Pouteria laevigata,-67.56666,4.9,27.375,229.33333333333334
Sapotaceae,Pouteria laevigata,-72.45139,0.00111,25.958333492279053,231.5
Sapotaceae,Pouteria laevigata,-72.45139,0.07416,26.425000190734863,225.66666666666666
Sapotaceae,Pouteria laevigata,-83.168056000000007,8.654167,24.850000222524006,285.3333333333333
Sapotaceae,Pouteria laevigata,-67.7,-5.7,26.091667016347248,215.75
Sapotaceae,Pouteria laevigata,-72.48333,0.08333,26.425000190734863,224.91666666666666
Sapotaceae,Pouteria laevigata,-59.96,-2.935272,26.40833346048991,192.08333333333334
Sapotaceae,Pouteria laevigata,-69.933972,-4.071917,26.583333333333332,251.58333333333334
Sapotaceae,Pouteria laevigata,-69.504361,-1.080139,25.941666920979817,263.5
Sapotaceae,Pouteria laevigata,-52.7,4.05,25.391666730244953,257.25
Sapotaceae,Pouteria laevigata,-83.510556,8.675,26.133333683013916,235.75
Sapotaceae,Pouteria laevigata,-83.51,8.67,26.133333683013916,235.75
Sapotaceae,Pouteria laevigata,-71.054167,1.445833,26.125,245.41666666666666
Sapotaceae,Pouteria laevigata,-69.518056,-1.081389,25.96666685740153,263.3333333333333
Sapotaceae,Pouteria laevigata,-65.3,-4.836944,26.516666571299236,200.75
Sapotaceae,Pouteria laevigata,-70.943333,-0.048056,25.958333333333332,248.25
Sapotaceae,Pouteria laevigata,-69.518056,-1.081389,25.96666685740153,263.3333333333333
Sapotaceae,Pouteria laevigata,-72.121667,-0.086389,26.208333174387615,232.08333333333334
Sapotaceae,Pouteria laevigata,-65.02,-3.988806,26.75833336512248,197.25
Sapotaceae,Pouteria laevigata,-62.98,-6.6673,26.31666660308838,182.58333333333334
Sapotaceae,Pouteria laevigata,-62,-5.31657,26.8166667620341,194
Sapotaceae,Pouteria laevigata,-53.090555,3.020278,22.808333079020183,220.41666666666666
Sapotaceae,Pouteria laevigata,-83.528611,8.678333,26.041666666666668,241.41666666666666
Sapotaceae,Pouteria laevigata,-83.466667,8.736111,25.508333206176758,274.5833333333333
Sapotaceae,Pouteria laevigata,-69.009415,1.880871,25.90000009536743,274.4166666666667
Sapotaceae,Pouteria laevigata,-71.737722,3.634944,26.883333524068195,207.41666666666666
Sapotaceae,Pouteria laevigata,-83.2167,8.68333,25.69166644414266,249.16666666666666
