familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapotaceae,Pouteria trilocularis,-84.58,9.8,25.88333336512248,176.08333333333334
Sapotaceae,Pouteria trilocularis,-78,-5,25.991666316986084,173.33333333333334
Sapotaceae,Pouteria trilocularis,-75.25,-10.5,19.825000127156574,132.58333333333334
Sapotaceae,Pouteria trilocularis,-75.015167,-9.189972,26.583333492279053,240.33333333333334
Sapotaceae,Pouteria trilocularis,-74.16667,2.6667,25.516666412353516,190.66666666666666
Sapotaceae,Pouteria trilocularis,-74.14,-9.1839,26.22499990463257,146.33333333333334
Sapotaceae,Pouteria trilocularis,-72.5,5.33333,25.416666507720947,221.91666666666666
Sapotaceae,Pouteria trilocularis,-69.504833,-4.696879,26.18333355585734,214.25
Sapotaceae,Pouteria trilocularis,-69,-9.333333,24.641666412353516,171.33333333333334
Sapotaceae,Pouteria trilocularis,-67.5,5.583333,26.86666663487752,194.75
Sapotaceae,Pouteria trilocularis,-65.9119,7.0758,27.366666952768963,155.91666666666666
Sapotaceae,Pouteria trilocularis,-64.435,-16.7261,25.208333333333332,250.41666666666666
Sapotaceae,Pouteria trilocularis,-52.8731,-10.8339,25.53333346048991,172.25
Sapotaceae,Pouteria trilocularis,-69,-9.33333,24.641666412353516,171.33333333333334
Sapotaceae,Pouteria trilocularis,-69,-9.33,24.641666412353516,171.33333333333334
Sapotaceae,Pouteria trilocularis,-68.8,-3.45,25.99999984105428,225.83333333333334
Sapotaceae,Pouteria trilocularis,-63,-5,26.766666730244953,200.91666666666666
Sapotaceae,Pouteria trilocularis,-63.185415,-9.195709,25.50000015894572,195.25
Sapotaceae,Pouteria trilocularis,-70.6,-8.18,24.78333314259847,189.91666666666666
Sapotaceae,Pouteria trilocularis,-74.8,-8.466667,26.500000317891438,160.58333333333334
Sapotaceae,Pouteria trilocularis,-70.25,-12,24.558333079020183,225.75
Sapotaceae,Pouteria trilocularis,-55.971233,-4.673146,26.59166653951009,183.75
Sapotaceae,Pouteria trilocularis,-53,-4,25.233333110809326,142.33333333333334
Sapotaceae,Pouteria trilocularis,-69.116667,10.833333,21.583333492279053,76.91666666666667
Sapotaceae,Pouteria trilocularis,-75,-8.66666,26.791666348775227,210.41666666666666
Sapotaceae,Pouteria trilocularis,-72.61666,9.41666,28.166666825612385,156.66666666666666
Sapotaceae,Pouteria trilocularis,-77.41666,4.16666,25.708333333333332,478
Sapotaceae,Pouteria trilocularis,-77.13333,3.93333,26.049999713897705,543.0833333333334
Sapotaceae,Pouteria trilocularis,-76.41666,-2.91666,25.958333333333332,216.75
Sapotaceae,Pouteria trilocularis,-71.48333,7.75,25.416666666666668,152.41666666666666
Sapotaceae,Pouteria trilocularis,-76.4,-0.51666,25.200000127156574,273.9166666666667
Sapotaceae,Pouteria trilocularis,-75.03333,-8.75,26.774999777475994,228.33333333333334
Sapotaceae,Pouteria trilocularis,-70.01666,9.03333,26.791666666666668,111.83333333333333
Sapotaceae,Pouteria trilocularis,-70.25,-12,24.558333079020183,225.75
Sapotaceae,Pouteria trilocularis,-77,3.91666,26.325000127156574,475.75
Sapotaceae,Pouteria trilocularis,-73.5,-4.16666,26.299999713897705,213.33333333333334
Sapotaceae,Pouteria trilocularis,-70.25,-12,24.558333079020183,225.75
Sapotaceae,Pouteria trilocularis,-67.5,5.58,26.86666663487752,194.75
Sapotaceae,Pouteria trilocularis,-67.5,5.58333,26.86666663487752,194.75
Sapotaceae,Pouteria trilocularis,-77.5,-1.13333,24.050000031789143,352.8333333333333
Sapotaceae,Pouteria trilocularis,-77.01666,-0.43333,24.891666571299236,297.5
Sapotaceae,Pouteria trilocularis,-76.83333,-0.31666,24.916666666666668,295.9166666666667
Sapotaceae,Pouteria trilocularis,-72.0625,-0.7625,26.34166669845581,230.16666666666666
Sapotaceae,Pouteria trilocularis,-77.61666,-1.06666,23.94166660308838,355.3333333333333
Sapotaceae,Pouteria trilocularis,-77.16666,3.83333,NA,NA
Sapotaceae,Pouteria trilocularis,-77.16666,3.88333,26.083333174387615,513.5833333333334
Sapotaceae,Pouteria trilocularis,-77.13333,3.93333,26.049999713897705,543.0833333333334
