familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapotaceae,Pouteria viridis,-90.583333,14.583333,20.016666730244953,102.58333333333333
Sapotaceae,Pouteria viridis,-90.41,14.33305,22.400000254313152,153.33333333333334
Sapotaceae,Pouteria viridis,-90.3333,15.4667,19.299999713897705,196.08333333333334
Sapotaceae,Pouteria viridis,-89.2,13.71666,23.583333333333332,152.08333333333334
Sapotaceae,Pouteria viridis,-84.6,11.43333,26.02500009536743,190.41666666666666
Sapotaceae,Pouteria viridis,-84.36,10.36,23.391666730244953,292.6666666666667
Sapotaceae,Pouteria viridis,-84.46666,11.7,25.491666793823242,213.91666666666666
Sapotaceae,Pouteria viridis,-87.00611,14.01027,22.924999872843426,71
Sapotaceae,Pouteria viridis,-92.07,16.14,19.800000031789143,92.66666666666667
Sapotaceae,Pouteria viridis,-85.65,13.23333,21.09999990463257,160.83333333333334
Sapotaceae,Pouteria viridis,-85.39166,12.3,23.40833346048991,163.16666666666666
Sapotaceae,Pouteria viridis,-85.38333,12.3,24.00000015894572,156.41666666666666
Sapotaceae,Pouteria viridis,-84.71,10.48,22.758333206176758,318.5833333333333
Sapotaceae,Pouteria viridis,-84.45,11.66666,25.50000015894572,208.75
Sapotaceae,Pouteria viridis,-84.4,11.56666,25.96666669845581,215.41666666666666
Sapotaceae,Pouteria viridis,-85.4,12.3,23.10000006357829,161.08333333333334
Sapotaceae,Pouteria viridis,-84.97,10.91,26.549999872843426,226.75
Sapotaceae,Pouteria viridis,-84.33333,11.76666,25.47500006357829,224.33333333333334
Sapotaceae,Pouteria viridis,-84.11,10,20.950000286102295,264.5833333333333
Sapotaceae,Pouteria viridis,-82.83,9.62,26.40000009536743,240.91666666666666
Sapotaceae,Pouteria viridis,-82.8,9.66,26.49166663487752,259.5
Sapotaceae,Pouteria viridis,-84.83,10.33,19.083333492279053,200.25
Sapotaceae,Pouteria viridis,-85.333334,10.916667,24.416666666666668,249
Sapotaceae,Pouteria viridis,-85.33,10.91,24.516666730244953,246.16666666666666
Sapotaceae,Pouteria viridis,-84.86,10.75,26.208333492279053,242.75
Sapotaceae,Pouteria viridis,-85.333333,10.966667,24.60000006357829,252.16666666666666
Sapotaceae,Pouteria viridis,-85.33,10.96,24.40833330154419,253.75
Sapotaceae,Pouteria viridis,-85.475,10.925,21.233333269755047,180.66666666666666
Sapotaceae,Pouteria viridis,-85.466667,10.916667,21.233333269755047,180.66666666666666
Sapotaceae,Pouteria viridis,-85.46,10.91,21.40000009536743,181.25
Sapotaceae,Pouteria viridis,-85.422223,11.033333,24.633333206176758,216.25
Sapotaceae,Pouteria viridis,-85.422222,11.033333,24.633333206176758,216.25
Sapotaceae,Pouteria viridis,-85.308,10.508,27.066666920979817,150.66666666666666
Sapotaceae,Pouteria viridis,-84.666667,10.35,22.358333587646484,308.1666666666667
Sapotaceae,Pouteria viridis,-84.66,10.35,23.258333206176758,303.75
Sapotaceae,Pouteria viridis,-85.422222,11.033333,24.633333206176758,216.25
Sapotaceae,Pouteria viridis,-85.3125,10.766667,21.50833336512248,177.58333333333334
Sapotaceae,Pouteria viridis,-85.294444,10.768056,21.21666669845581,192.83333333333334
Sapotaceae,Pouteria viridis,-85.260278,10.776389,22.71666669845581,276.8333333333333
Sapotaceae,Pouteria viridis,-84.466667,9.813889,21.625,202.91666666666666
Sapotaceae,Pouteria viridis,-84.46,9.81,22.350000222524006,214.58333333333334
Sapotaceae,Pouteria viridis,-84.29,10.76,25.50000015894572,267.75
Sapotaceae,Pouteria viridis,-83.93,10.31,25.78333346048991,316.3333333333333
Sapotaceae,Pouteria viridis,-83.8667,10,13.466666539510092,317.3333333333333
Sapotaceae,Pouteria viridis,-85.276667,10.794167,19.766666730244953,275.5
Sapotaceae,Pouteria viridis,-85.27,10.79,21.52499993642171,271.9166666666667
Sapotaceae,Pouteria viridis,-85.267222,10.791667,20.958333333333332,278.3333333333333
Sapotaceae,Pouteria viridis,-85.263333,10.831111,23,269.0833333333333
Sapotaceae,Pouteria viridis,-83.022222,9.675,25.64999993642171,256.5833333333333
Sapotaceae,Pouteria viridis,-83.02,9.67,25.64999993642171,256.5833333333333
Sapotaceae,Pouteria viridis,-89.93333,13.81666,23.78333330154419,153.91666666666666
Sapotaceae,Pouteria viridis,-89.93333,13.81667,23.74999984105428,152.33333333333334
Sapotaceae,Pouteria viridis,-89.84861,13.87027,20.716666380564373,165
Sapotaceae,Pouteria viridis,-84.583333,10.308333,23.699999968210857,293.5833333333333
Sapotaceae,Pouteria viridis,-84.58,10.3,23.366666793823242,294
Sapotaceae,Pouteria viridis,-84.533333,9.766667,25.616666952768963,203
Sapotaceae,Pouteria viridis,-84.53,9.76,25.36666663487752,212.5
Sapotaceae,Pouteria viridis,-90.80111,14.52444,19.041666666666668,119.75
Sapotaceae,Pouteria viridis,-85.413889,10.883333,22.858333269755047,217.58333333333334
Sapotaceae,Pouteria viridis,-85.41,10.88,22.858333269755047,217.58333333333334
Sapotaceae,Pouteria viridis,-85.40139,10.880556,23.00833336512248,225.33333333333334
Sapotaceae,Pouteria viridis,-85.4,10.88,23.12499984105428,239.25
Sapotaceae,Pouteria viridis,-83.61,9.85,22.59166669845581,256.8333333333333
Sapotaceae,Pouteria viridis,-83.55416,9.78194,19.583333174387615,294.5
Sapotaceae,Pouteria viridis,-83.55,9.78,19.375000317891438,271.6666666666667
Sapotaceae,Pouteria viridis,-83.2,9.9,24.208333174387615,258.5833333333333
Sapotaceae,Pouteria viridis,-83.18,9.9,24.500000317891438,266.75
Sapotaceae,Pouteria viridis,-85.408056,10.897222,23.31666660308838,256.9166666666667
Sapotaceae,Pouteria viridis,-84.2125,10.295833,22.450000127156574,292
Sapotaceae,Pouteria viridis,-85.45,10.96,20.27500009536743,251.75
Sapotaceae,Pouteria viridis,-85.45,10.96111,20.27500009536743,251.75
Sapotaceae,Pouteria viridis,-85.45,10.961111,20.27500009536743,251.75
Sapotaceae,Pouteria viridis,-84.881667,10.684722,26.14999993642171,274.75
Sapotaceae,Pouteria viridis,-84.88,10.68,26.1916667620341,262.8333333333333
Sapotaceae,Pouteria viridis,-85.71666,13.51666,22.574999968210857,145
Sapotaceae,Pouteria viridis,-85.7,13.56666,18.90833346048991,156.75
Sapotaceae,Pouteria viridis,-85.401652,10.882909,23.00833336512248,225.33333333333334
Sapotaceae,Pouteria viridis,-85.401652,10.88291,23.00833336512248,225.33333333333334
Sapotaceae,Pouteria viridis,-84.6,10.333333,23.84166669845581,293.1666666666667
Sapotaceae,Pouteria viridis,-86.26666,13.26666,18.6833332379659,123.5
Sapotaceae,Pouteria viridis,-83.479232,9.979802,23.416666666666668,256.6666666666667
Sapotaceae,Pouteria viridis,-83.47916,9.97972,23.416666666666668,256.6666666666667
Sapotaceae,Pouteria viridis,-85.683333,13.366667,23.71666653951009,149.33333333333334
Sapotaceae,Pouteria viridis,-85.683333,13.566667,18.825000127156574,161.75
Sapotaceae,Pouteria viridis,-83.997778,9.991667,19.008333206176758,234.75
Sapotaceae,Pouteria viridis,-84.215016,10.298738,22.450000127156574,292
Sapotaceae,Pouteria viridis,-85.325008,10.901668,24.34166669845581,252.75
Sapotaceae,Pouteria viridis,-85.325,10.901667,24.53333346048991,250.5
Sapotaceae,Pouteria viridis,-82.829167,9.7125,26.175000031789143,261.0833333333333
Sapotaceae,Pouteria viridis,-83.665278,9.891944,23.03333314259847,267.0833333333333
Sapotaceae,Pouteria viridis,-86.240278,13.416667,19.22500006357829,126
Sapotaceae,Pouteria viridis,-93.061206,16.975103,24.600000222524006,154.83333333333334
Sapotaceae,Pouteria viridis,-85.3628,12.3178,23.34999990463257,152
Sapotaceae,Pouteria viridis,-85.362778,12.317778,23.34999990463257,152
Sapotaceae,Pouteria viridis,-85.108611,12.247778,22.97500006357829,166.58333333333334
Sapotaceae,Pouteria viridis,-85.280833,10.905583,24.583333492279053,261.5833333333333
Sapotaceae,Pouteria viridis,-102,23,17.06666660308838,30.666666666666668
Sapotaceae,Pouteria viridis,-85.48,10.92,21.916666825612385,181.33333333333334
