familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Burseraceae,Protium pittieri,-84.025833,10.477778,26.03333330154419,293.5
Burseraceae,Protium pittieri,-84.083014,10.455935,25.924999713897705,291.5833333333333
Burseraceae,Protium pittieri,-82.383333,9.245,25.324999968210857,239.41666666666666
Burseraceae,Protium pittieri,-84.0175,10.57277,25.75,306.0833333333333
Burseraceae,Protium pittieri,-84,10.45,26.02499993642171,306.5833333333333
Burseraceae,Protium pittieri,-82.616667,9.366667,25.666666666666668,231.16666666666666
Burseraceae,Protium pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84,10.5,26.02499993642171,310.25
Burseraceae,Protium pittieri,-84.1,10.39,25.291666825612385,304.25
Burseraceae,Protium pittieri,-84.1,10.4,25.241666952768963,297.5833333333333
Burseraceae,Protium pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84,10.5,26.02499993642171,310.25
Burseraceae,Protium pittieri,-84.02611,10.49361,26.016666571299236,316.1666666666667
Burseraceae,Protium pittieri,-81.115,8.513056,22.10000006357829,240
Burseraceae,Protium pittieri,-84.3,11.716667,25.34166685740153,230.66666666666666
Burseraceae,Protium pittieri,-84.3,11.72,25.34166685740153,230.66666666666666
Burseraceae,Protium pittieri,-84.83333,13.43333,25.72499990463257,183.5
Burseraceae,Protium pittieri,-84.01,10.42,25.874999682108562,310.5
Burseraceae,Protium pittieri,-82.82,9.62,26.308333079020183,229.58333333333334
Burseraceae,Protium pittieri,-82.81,9.61,26.46666669845581,238.83333333333334
Burseraceae,Protium pittieri,-84.15,10.36,24.933333079020183,293.0833333333333
Burseraceae,Protium pittieri,-84.15,10.37,25.083333492279053,291.5
Burseraceae,Protium pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84.033333,11.55,26.02500009536743,282.5
Burseraceae,Protium pittieri,-84.02,11.53,25.833333492279053,286.3333333333333
Burseraceae,Protium pittieri,-84.01666,11.53333,25.64999993642171,285.9166666666667
Burseraceae,Protium pittieri,-84.003611,10.431389,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84.35,11.65,25.1833332379659,231.75
Burseraceae,Protium pittieri,-84.25,11.86666,25.400000254313152,250.41666666666666
Burseraceae,Protium pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Burseraceae,Protium pittieri,-84,10.5,26.02499993642171,310.25
Burseraceae,Protium pittieri,-82.883333,9.683333,25.608333269755047,250.33333333333334
Burseraceae,Protium pittieri,-80.60264,8.69528,24.300000031789143,271.25
Burseraceae,Protium pittieri,-80.6026,8.69528,24.300000031789143,271.25
Burseraceae,Protium pittieri,-80.6025,8.689722,23.600000222524006,284.0833333333333
Burseraceae,Protium pittieri,-80.59694,8.67222,22.791666348775227,291.25
