familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rosaceae,Prunus annularis,-84.8,10.3,18.574999968210857,210.08333333333334
Rosaceae,Prunus annularis,-83.82,9.48,17.983333428700764,251.25
Rosaceae,Prunus annularis,-83.8,9.58,11.541666666666666,186.25
Rosaceae,Prunus annularis,-82.970611,8.792667,21.016666730244953,239.83333333333334
Rosaceae,Prunus annularis,-82.466667,8.8,18.125,227.58333333333334
Rosaceae,Prunus annularis,-82.516667,8.85,13.075000047683716,210.75
Rosaceae,Prunus annularis,-83.535555,9.483333,11.349999984105429,174.75
Rosaceae,Prunus annularis,-82.816667,9.025,10.391666650772095,195.91666666666666
Rosaceae,Prunus annularis,-82.81,9.01,11.174999952316284,203.25
Rosaceae,Prunus annularis,-83.86,9.67,11.866666555404663,175.16666666666666
Rosaceae,Prunus annularis,-82.258333,8.758333,20.016666730244953,228.41666666666666
Rosaceae,Prunus annularis,-82.25,8.75,20.491666793823242,244.83333333333334
Rosaceae,Prunus annularis,-82.216111,8.769722,19.87499984105428,296.5
Rosaceae,Prunus annularis,-81.792778,8.519445,18.366666952768963,234.41666666666666
Rosaceae,Prunus annularis,-81.769167,8.484444,18.59999990463257,226.25
Rosaceae,Prunus annularis,-85.316667,10.8,18.574999968210857,192.91666666666666
Rosaceae,Prunus annularis,-85.31,10.8,18.65833330154419,215.91666666666666
Rosaceae,Prunus annularis,-84.800002,10.3,18.699999968210857,200.83333333333334
Rosaceae,Prunus annularis,-84.716667,10.316667,20.858333587646484,282.5833333333333
Rosaceae,Prunus annularis,-84.616667,10.216667,21.391666889190674,287.25
Rosaceae,Prunus annularis,-84.61,10.21,20.09999990463257,285.6666666666667
Rosaceae,Prunus annularis,-84.1,10.12,12.258333285649618,178.83333333333334
Rosaceae,Prunus annularis,-84.1,10.122222,12.258333285649618,178.83333333333334
Rosaceae,Prunus annularis,-82.758333,8.921667,16.541666348775227,210.58333333333334
Rosaceae,Prunus annularis,-81.833333,8.583333,14.78333330154419,280.5833333333333
Rosaceae,Prunus annularis,-84.475,9.791667,18.666666507720947,203.25
Rosaceae,Prunus annularis,-84.119444,10.132778,11.950000047683716,179.75
Rosaceae,Prunus annularis,-84.11,10.13,11.524999856948853,174.41666666666666
Rosaceae,Prunus annularis,-85.338333,10.798056,19.15000009536743,177.58333333333334
Rosaceae,Prunus annularis,-84.833334,10.3,20.891666730244953,201.41666666666666
Rosaceae,Prunus annularis,-84.83,10.3,20.90833346048991,208.66666666666666
Rosaceae,Prunus annularis,-84.725,10.308333,21.366666952768963,297.5
Rosaceae,Prunus annularis,-83.783333,9.583333,9.616666714350382,169.08333333333334
Rosaceae,Prunus annularis,-83.78,9.58,9.616666714350382,169.08333333333334
Rosaceae,Prunus annularis,-83.594444,8.7,24.61666663487752,235.25
Rosaceae,Prunus annularis,-84.816667,10.3,20.18333339691162,191.5
Rosaceae,Prunus annularis,-84.81,10.3,19.1916667620341,181.5
Rosaceae,Prunus annularis,-84.800008,10.3,18.699999968210857,200.83333333333334
Rosaceae,Prunus annularis,-84.800001,10.3,18.699999968210857,200.83333333333334
Rosaceae,Prunus annularis,-84.8,10.3,18.574999968210857,210.08333333333334
Rosaceae,Prunus annularis,-84.113333,10.168611,15.116666634877523,237.41666666666666
Rosaceae,Prunus annularis,-84.111111,10.176389,15.874999761581421,251.83333333333334
Rosaceae,Prunus annularis,-84.109167,10.138333,11.574999968210856,180.25
Rosaceae,Prunus annularis,-84.808333,10.258333,20.766666571299236,216.5
Rosaceae,Prunus annularis,-84.8,10.25,21.074999968210857,204.16666666666666
Rosaceae,Prunus annularis,-84.091667,10.077778,16.37500015894572,202.33333333333334
Rosaceae,Prunus annularis,-83.458333,9.819444,20.458333492279053,280
Rosaceae,Prunus annularis,-83.225,9.341667,14.875,291
Rosaceae,Prunus annularis,-84.125556,10.130278,12.475000063578287,188.08333333333334
Rosaceae,Prunus annularis,-84.12,10.13,11.950000047683716,179.75
Rosaceae,Prunus annularis,-84.11,9.71,15.574999888737997,197.41666666666666
Rosaceae,Prunus annularis,-83.663934,9.563433,9.958333412806192,188.58333333333334
Rosaceae,Prunus annularis,-83.66,9.56,9.958333412806192,188.58333333333334
Rosaceae,Prunus annularis,-83.59,9.39,18.96666669845581,260.4166666666667
Rosaceae,Prunus annularis,-83.066211,9.128929,15.441666841506958,259.4166666666667
Rosaceae,Prunus annularis,-83.781944,9.748056,18.65833330154419,334.9166666666667
Rosaceae,Prunus annularis,-83.546467,9.456721,12.516666730244955,227.58333333333334
Rosaceae,Prunus annularis,-83.51,9.43,8.883333206176758,162.83333333333334
Rosaceae,Prunus annularis,-82.828124,9.009106,11.516666650772095,208
Rosaceae,Prunus annularis,-82.82,9,14.066666523615519,264.6666666666667
Rosaceae,Prunus annularis,-82.819991,8.986481,14.166666746139526,260.9166666666667
Rosaceae,Prunus annularis,-82.819722,8.986389,14.166666746139526,260.9166666666667
Rosaceae,Prunus annularis,-82.81,8.98,14.80833331743876,234.58333333333334
Rosaceae,Prunus annularis,-82.751079,8.904935,16.541666507720947,223.75
Rosaceae,Prunus annularis,-82.75,8.9,17.016666571299236,218.83333333333334
Rosaceae,Prunus annularis,-83.727432,9.676582,16.208333333333332,341.0833333333333
Rosaceae,Prunus annularis,-83.727222,9.676389,16.208333333333332,341.0833333333333
Rosaceae,Prunus annularis,-83.867722,9.693092,11.366666475931803,185.66666666666666
Rosaceae,Prunus annularis,-83.86,9.69,11.03333330154419,190.08333333333334
Rosaceae,Prunus annularis,-83.7829,9.739971,18.483333110809326,258.5
Rosaceae,Prunus annularis,-83.78,9.73,18.300000190734863,268.8333333333333
Rosaceae,Prunus annularis,-83.669444,9.541667,12.558333476384481,213.41666666666666
Rosaceae,Prunus annularis,-83.66944,9.54167,12.558333476384481,213.41666666666666
Rosaceae,Prunus annularis,-83.66,9.53,15.883333285649618,194.16666666666666
Rosaceae,Prunus annularis,-83.065278,9.144444,14.066666603088379,209.83333333333334
Rosaceae,Prunus annularis,-83.065161,9.14431,14.066666603088379,209.83333333333334
Rosaceae,Prunus annularis,-82.743675,8.956458,14.733333269755045,217.58333333333334
Rosaceae,Prunus annularis,-82.73,8.94,14.724999984105429,197.5
Rosaceae,Prunus annularis,-83.067066,9.161935,13.15833330154419,200.91666666666666
Rosaceae,Prunus annularis,-83.93466,9.716666,13.416666587193808,205.33333333333334
Rosaceae,Prunus annularis,-82.77408,8.969554,15.150000015894571,211.25
Rosaceae,Prunus annularis,-83.876688,9.683922,12.175000031789144,168.66666666666666
Rosaceae,Prunus annularis,-82.976941,9.083342,12.483333349227905,212.5
Rosaceae,Prunus annularis,-82.97694,9.083342,12.483333349227905,212.5
Rosaceae,Prunus annularis,-83.876688,9.683922,12.175000031789144,168.66666666666666
Rosaceae,Prunus annularis,-83.87667,9.68389,12.175000031789144,168.66666666666666
Rosaceae,Prunus annularis,-83.79952,9.54941,12.008333285649618,202.25
Rosaceae,Prunus annularis,-84.120889,10.135389,12.016666650772095,180.58333333333334
Rosaceae,Prunus annularis,-84.119444,10.127778,11.950000047683716,179.75
Rosaceae,Prunus annularis,-82.98348,9.095782,12.883333444595337,199
Rosaceae,Prunus annularis,-82.983477,9.095782,12.883333444595337,199
Rosaceae,Prunus annularis,-83.280167,9.605389,18.524999777475994,235
Rosaceae,Prunus annularis,-83.162037,9.79699,19.141666730244953,345.5833333333333
Rosaceae,Prunus annularis,-83.666667,9.555833,10.34166661898295,195.5
Rosaceae,Prunus annularis,-83.08383,9.135957,16.09166646003723,263.8333333333333
Rosaceae,Prunus annularis,-83.083826,9.135957,16.09166646003723,263.8333333333333
Rosaceae,Prunus annularis,-83.074213,9.146373,14.30833331743876,243.41666666666666
Rosaceae,Prunus annularis,-83.0742,9.146373,14.30833331743876,243.41666666666666
Rosaceae,Prunus annularis,-81.765556,8.490556,18.400000254313152,239.91666666666666
Rosaceae,Prunus annularis,-83.669444,9.541667,12.558333476384481,213.41666666666666
Rosaceae,Prunus annularis,-82.743611,8.956389,14.733333269755045,217.58333333333334
Rosaceae,Prunus annularis,-82.25,8.75,20.491666793823242,244.83333333333334
Rosaceae,Prunus annularis,-82.25,8.75,20.491666793823242,244.83333333333334
Rosaceae,Prunus annularis,-84.5,10.5,26.18333339691162,277.0833333333333
Rosaceae,Prunus annularis,-82.466667,8.8,18.125,227.58333333333334
Rosaceae,Prunus annularis,-85.47,10.93,20.908333619435627,180.91666666666666
