familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Pseudobombax septenatum,-79.74438574,9.15660996,26.416666507720947,215.41666666666666
Malvaceae,Pseudobombax septenatum,-79.86121916,9.15829246,26.208333492279053,206.91666666666666
Malvaceae,Pseudobombax septenatum,-79.74438574,9.15660996,26.416666507720947,215.41666666666666
Malvaceae,Pseudobombax septenatum,-71.4249016,-11.8993577,25.050000031789143,214
Malvaceae,Pseudobombax septenatum,-75.81676,5.942214,25.050000190734863,191
Malvaceae,Pseudobombax septenatum,-74.71827,5.2419,27.333333333333332,163.25
Malvaceae,Pseudobombax septenatum,-79.85,-0.617,24.12500015894572,138.58333333333334
Malvaceae,Pseudobombax septenatum,-75.373111,3.289306,25.099999745686848,143.75
Malvaceae,Pseudobombax septenatum,-75.353028,3.333833,24.291666507720947,155.83333333333334
Malvaceae,Pseudobombax septenatum,-75.351778,3.332528,24.241666475931805,154.91666666666666
Malvaceae,Pseudobombax septenatum,-75.272833,3.359472,25.975000222524006,138.33333333333334
Malvaceae,Pseudobombax septenatum,-83.28611,8.46111,26.449999809265137,264.5833333333333
Malvaceae,Pseudobombax septenatum,-84.45,9.91,25.02499993642171,180.41666666666666
Malvaceae,Pseudobombax septenatum,-52.8731,-10.8339,25.53333346048991,172.25
Malvaceae,Pseudobombax septenatum,-75,10.75,27.27500009536743,86.41666666666667
Malvaceae,Pseudobombax septenatum,-70.25,-12,24.558333079020183,225.75
Malvaceae,Pseudobombax septenatum,-70.25,-12,24.558333079020183,225.75
Malvaceae,Pseudobombax septenatum,-76.5,3.75,19.62500015894572,133.41666666666666
Malvaceae,Pseudobombax septenatum,-72.8667,3.8811,26.583333174387615,229.33333333333334
Malvaceae,Pseudobombax septenatum,-66.5,-14.83333,25.791666507720947,153.33333333333334
Malvaceae,Pseudobombax septenatum,-67.5,-15.75,23.05833355585734,134.83333333333334
Malvaceae,Pseudobombax septenatum,-67.5,-15.75,23.05833355585734,134.83333333333334
Malvaceae,Pseudobombax septenatum,-67.55,-14.36666,25.366666475931805,160
Malvaceae,Pseudobombax septenatum,-79.573617,9.360167,26.12500015894572,210
Malvaceae,Pseudobombax septenatum,-73.241389,6.705556,24.75,151.91666666666666
Malvaceae,Pseudobombax septenatum,-73.07333,3.90111,26.458333492279053,237.75
Malvaceae,Pseudobombax septenatum,-69.69278,8.29528,27.733333269755047,132.91666666666666
Malvaceae,Pseudobombax septenatum,-75.90611,-9.62611,21.64999993642171,94.75
Malvaceae,Pseudobombax septenatum,-73.07337,3.90115,26.458333492279053,237.75
Malvaceae,Pseudobombax septenatum,-65.08583,-4.14444,26.699999968210857,190.33333333333334
Malvaceae,Pseudobombax septenatum,-79.6,9.1,25.958333174387615,207.91666666666666
Malvaceae,Pseudobombax septenatum,-75.352,9.539,26.38333336512248,123.83333333333333
Malvaceae,Pseudobombax septenatum,-68.7667,-13.5833,25.02499993642171,194.33333333333334
Malvaceae,Pseudobombax septenatum,-72.6054,5.192,25.233333428700764,228.08333333333334
Malvaceae,Pseudobombax septenatum,-76.45,8.5333333,26.416666348775227,157.41666666666666
Malvaceae,Pseudobombax septenatum,-76.45,8.5333333,26.416666348775227,157.41666666666666
Malvaceae,Pseudobombax septenatum,-85.38,12.275,25.041666507720947,133.83333333333334
Malvaceae,Pseudobombax septenatum,-85.3069444,12.3369444,24.625,151
Malvaceae,Pseudobombax septenatum,-85.2408333,11.8311111,26.475000222524006,149.16666666666666
Malvaceae,Pseudobombax septenatum,-85.2891111,11.865,26.608333269755047,138.83333333333334
Malvaceae,Pseudobombax septenatum,-85.103638900000007,12.3193611,24.925000190734863,148.58333333333334
Malvaceae,Pseudobombax septenatum,-84.8170278,12.5736111,24.774999618530273,183.25
Malvaceae,Pseudobombax septenatum,-85.9333333,11.75,26.68333339691162,126.25
Malvaceae,Pseudobombax septenatum,-74.802306,4.608945,27.199999968210857,160.58333333333334
Malvaceae,Pseudobombax septenatum,-74.781306,5.085444,27.050000031789143,163.25
Malvaceae,Pseudobombax septenatum,-74.127667,11.313778,27.766666730244953,64.25
Malvaceae,Pseudobombax septenatum,-75.516667,9.15,27.71666669845581,114.5
Malvaceae,Pseudobombax septenatum,-74.781306,5.085444,27.050000031789143,163.25
Malvaceae,Pseudobombax septenatum,-74.687911,4.552772,26.833333333333332,172.91666666666666
Malvaceae,Pseudobombax septenatum,-73.21066,7.24896,24.13333336512248,153.83333333333334
Malvaceae,Pseudobombax septenatum,-75.7125,6.457389,23.791666825612385,202.16666666666666
Malvaceae,Pseudobombax septenatum,-75.109787,9.936583,26.458333651224773,133.58333333333334
Malvaceae,Pseudobombax septenatum,-74.781306,5.085444,27.050000031789143,163.25
Malvaceae,Pseudobombax septenatum,-74.127667,11.313778,27.766666730244953,64.25
Malvaceae,Pseudobombax septenatum,-76.038039,4.790061,21.6916667620341,162.5
Malvaceae,Pseudobombax septenatum,-75.708792,4.798544,21.108333428700764,177.08333333333334
Malvaceae,Pseudobombax septenatum,-74.165842,10.650728,27.808332920074463,107.08333333333333
Malvaceae,Pseudobombax septenatum,-83.695087,8.689825,26.041666666666668,288.1666666666667
Malvaceae,Pseudobombax septenatum,-75.475627,10.539068,27.59999990463257,98.83333333333333
Malvaceae,Pseudobombax septenatum,-75.447326,10.553793,27.516666412353516,90.66666666666667
Malvaceae,Pseudobombax septenatum,-75.396333,10.452533,27.674999872843426,100.66666666666667
Malvaceae,Pseudobombax septenatum,-75.378611,10.235833,27.699999968210857,104.08333333333333
Malvaceae,Pseudobombax septenatum,-75.579712,6.268674,21.758333524068195,193.25
Malvaceae,Pseudobombax septenatum,-75.570045,6.323023,21.175000031789143,212.58333333333334
Malvaceae,Pseudobombax septenatum,-75.449903,10.572341,27.416666825612385,91.5
Malvaceae,Pseudobombax septenatum,-75.429726,10.355278,27.18333339691162,107.41666666666667
Malvaceae,Pseudobombax septenatum,-75.428048,10.354531,27.18333339691162,107.41666666666667
Malvaceae,Pseudobombax septenatum,-83.46,8.63,26.22499990463257,239.66666666666666
Malvaceae,Pseudobombax septenatum,-83.466667,8.641667,26.44166660308838,235.83333333333334
Malvaceae,Pseudobombax septenatum,-85.616667,11.044444,25.916666666666668,143.66666666666666
Malvaceae,Pseudobombax septenatum,-83.286111,8.461111,26.449999809265137,264.5833333333333
Malvaceae,Pseudobombax septenatum,-84.452778,9.919444,25.74999984105428,171.5
Malvaceae,Pseudobombax septenatum,-84.591667,9.8,26.56666660308838,182.83333333333334
Malvaceae,Pseudobombax septenatum,-83.466667,8.641667,26.44166660308838,235.83333333333334
Malvaceae,Pseudobombax septenatum,-84.518889,9.539167,26.65833330154419,190.08333333333334
Malvaceae,Pseudobombax septenatum,-83.507651,8.679075,26.233333110809326,263.0833333333333
Malvaceae,Pseudobombax septenatum,-84.606111,9.778611,26.40833346048991,177.83333333333334
Malvaceae,Pseudobombax septenatum,-84.137667,9.384639,26.100000222524006,178.83333333333334
Malvaceae,Pseudobombax septenatum,-83.283333,8.419444,26.391666571299236,296.25
Malvaceae,Pseudobombax septenatum,-85.077778,9.644444,26.25,205
Malvaceae,Pseudobombax septenatum,-84.02,9.97,19.799999872843426,271.6666666666667
Malvaceae,Pseudobombax septenatum,-76.166667,4.216667,23.824999650319416,126.25
Malvaceae,Pseudobombax septenatum,-72.6054,5.192,25.233333428700764,228.08333333333334
Malvaceae,Pseudobombax septenatum,-75.6652,5.7852,25.100000222524006,177.5
Malvaceae,Pseudobombax septenatum,-74.827799,5.059851,27.10000006357829,216.83333333333334
Malvaceae,Pseudobombax septenatum,-74.82674,5.058729,27.10000006357829,216.83333333333334
Malvaceae,Pseudobombax septenatum,-74.826031,5.058985,27.10000006357829,216.83333333333334
Malvaceae,Pseudobombax septenatum,-74.812377,5.152323,26.125,186.33333333333334
Malvaceae,Pseudobombax septenatum,-74.808244,5.150237,26.55833339691162,182
Malvaceae,Pseudobombax septenatum,-74.807807,5.150172,26.55833339691162,182
Malvaceae,Pseudobombax septenatum,-74.806343,5.150786,26.55833339691162,182
Malvaceae,Pseudobombax septenatum,-74.80625,5.150504,26.55833339691162,182
Malvaceae,Pseudobombax septenatum,-75.569722,10.36,27.449999809265137,97.25
Malvaceae,Pseudobombax septenatum,-75.516667,9.15,27.71666669845581,114.5
Malvaceae,Pseudobombax septenatum,-74.781306,5.085444,27.050000031789143,163.25
Malvaceae,Pseudobombax septenatum,-74.687911,4.552772,26.833333333333332,172.91666666666666
Malvaceae,Pseudobombax septenatum,-73.21066,7.24896,24.13333336512248,153.83333333333334
Malvaceae,Pseudobombax septenatum,-75.107222,9.936389,26.35000006357829,131.41666666666666
Malvaceae,Pseudobombax septenatum,-74.1275,11.313611,27.766666730244953,64.25
Malvaceae,Pseudobombax septenatum,-73.890722,8.413583,28.44166660308838,201
Malvaceae,Pseudobombax septenatum,-75.961945,8.562025,27.55833339691162,133.25
Malvaceae,Pseudobombax septenatum,-75.573364,10.376307,NA,NA
Malvaceae,Pseudobombax septenatum,-89.93333,13.81667,23.74999984105428,152.33333333333334
Malvaceae,Pseudobombax septenatum,-89.57414,13.81153,21.991666316986084,155.25
Malvaceae,Pseudobombax septenatum,-89.5738889,13.8113889,21.991666316986084,155.25
Malvaceae,Pseudobombax septenatum,-68.55972,-14.33,23.075000127156574,154.83333333333334
Malvaceae,Pseudobombax septenatum,-68.6933333,-14.5469444,22.166666507720947,141.5
