familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Pseudosamanea guachapele,-80.717,-1.567,22.416666666666668,44.583333333333336
Fabaceae,Pseudosamanea guachapele,-79.617,-0.9,24.891666412353516,166.58333333333334
Fabaceae,Pseudosamanea guachapele,-73.748211,8.326211,28.541666666666668,198.33333333333334
Fabaceae,Pseudosamanea guachapele,-75.84425,6.872194,25.366666316986084,216.66666666666666
Fabaceae,Pseudosamanea guachapele,-75.837417,6.867833,25.46666653951009,223.66666666666666
Fabaceae,Pseudosamanea guachapele,-75.833944,6.863722,25.31666660308838,225.58333333333334
Fabaceae,Pseudosamanea guachapele,-75.829556,6.609583,25.125000317891438,205.41666666666666
Fabaceae,Pseudosamanea guachapele,-75.822361,6.863889,24.133333524068195,220.33333333333334
Fabaceae,Pseudosamanea guachapele,-75.708944,6.454583,23.791666825612385,202.16666666666666
Fabaceae,Pseudosamanea guachapele,-75.708083,6.454806,23.12499984105428,204.41666666666666
Fabaceae,Pseudosamanea guachapele,-74.802306,4.608945,27.199999968210857,160.58333333333334
Fabaceae,Pseudosamanea guachapele,-74.791333,4.663083,27.125,175.75
Fabaceae,Pseudosamanea guachapele,-74.789444,4.662583,27.125,175.75
Fabaceae,Pseudosamanea guachapele,-74.776528,4.662833,27,181.33333333333334
Fabaceae,Pseudosamanea guachapele,-74.771389,4.663945,26.74166663487752,153.66666666666666
Fabaceae,Pseudosamanea guachapele,-75.351778,3.332528,24.241666475931805,154.91666666666666
Fabaceae,Pseudosamanea guachapele,-75.259083,3.352194,25.683333079020183,138.41666666666666
Fabaceae,Pseudosamanea guachapele,-75.007611,3.657944,27.75833336512248,140.33333333333334
Fabaceae,Pseudosamanea guachapele,-74.978139,3.669194,27.625,142.25
Fabaceae,Pseudosamanea guachapele,-74.85336,5.068506,26.93333339691162,187.08333333333334
Fabaceae,Pseudosamanea guachapele,-74.852939,5.068578,26.93333339691162,187.08333333333334
Fabaceae,Pseudosamanea guachapele,-75.4687,10.395528,27.958333333333332,79.16666666666667
Fabaceae,Pseudosamanea guachapele,-76.585083,3.123611,23.59166653951009,175.91666666666666
Fabaceae,Pseudosamanea guachapele,-75.832184,6.532282,25.8083332379659,113.66666666666667
Fabaceae,Pseudosamanea guachapele,-75.832182,6.53228,25.8083332379659,113.66666666666667
Fabaceae,Pseudosamanea guachapele,-75.831927,6.5319140000000004,25.8083332379659,113.66666666666667
Fabaceae,Pseudosamanea guachapele,-75.831882,6.53224,25.8083332379659,113.66666666666667
Fabaceae,Pseudosamanea guachapele,-75.83185,6.53218,25.8083332379659,113.66666666666667
Fabaceae,Pseudosamanea guachapele,-75.831684,6.532626,25.8083332379659,113.66666666666667
Fabaceae,Pseudosamanea guachapele,-75.337083,3.334083,25.699999809265137,141.91666666666666
Fabaceae,Pseudosamanea guachapele,-75.314944,3.350722,24.666666666666668,148.16666666666666
Fabaceae,Pseudosamanea guachapele,-75.231472,3.406444,25.975000222524006,134.41666666666666
Fabaceae,Pseudosamanea guachapele,-73.879017,7.179883,28.083333492279053,228.83333333333334
Fabaceae,Pseudosamanea guachapele,-73.793317,8.296567,28.491666793823242,192.66666666666666
Fabaceae,Pseudosamanea guachapele,-73.685556,10.085833,28.39999993642171,111.25
Fabaceae,Pseudosamanea guachapele,-73.21,6.725278,25.22499990463257,164.66666666666666
Fabaceae,Pseudosamanea guachapele,-73.202222,6.715278,23.46666653951009,161.33333333333334
Fabaceae,Pseudosamanea guachapele,-75.6075,1.606111,25.69166660308838,273.6666666666667
Fabaceae,Pseudosamanea guachapele,-85.20805,10.3575,27.31666644414266,162
Fabaceae,Pseudosamanea guachapele,-80.102665,8.507188,26.266666730244953,185.25
Fabaceae,Pseudosamanea guachapele,-88.866667,13.5,25.758333206176758,161.66666666666666
Fabaceae,Pseudosamanea guachapele,-74.797897,10.948792,28.11666663487752,73
Fabaceae,Pseudosamanea guachapele,-76.77,6.45,27.94166660308838,413.25
Fabaceae,Pseudosamanea guachapele,-79.55027,9.35527,26.333333174387615,219.25
Fabaceae,Pseudosamanea guachapele,-80.102665,8.507188,26.266666730244953,185.25
Fabaceae,Pseudosamanea guachapele,-79.9,-2.2167,25.44166660308838,91.08333333333333
Fabaceae,Pseudosamanea guachapele,-73,3.5,26.59999990463257,241.5
