familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Myrtaceae,Psidium friedrichsthalianum,-75.428048,10.354531,27.18333339691162,107.41666666666667
Myrtaceae,Psidium friedrichsthalianum,-83.216667,9.616667,22.583333333333332,269.0833333333333
Myrtaceae,Psidium friedrichsthalianum,-88.833333,13.666667,22.666666984558105,167.41666666666666
Myrtaceae,Psidium friedrichsthalianum,-86.25,12.133333,26.6833332379659,152.41666666666666
Myrtaceae,Psidium friedrichsthalianum,-84.97027,10.4,24.116666475931805,183.58333333333334
Myrtaceae,Psidium friedrichsthalianum,-87.45305,15.73638,26.674999872843426,209.16666666666666
Myrtaceae,Psidium friedrichsthalianum,-75,10.75,27.27500009536743,86.41666666666667
Myrtaceae,Psidium friedrichsthalianum,-83.663611,9.360556,23.083333492279053,250.25
Myrtaceae,Psidium friedrichsthalianum,-92.674169,15.339439,27.300000031789143,186.33333333333334
Myrtaceae,Psidium friedrichsthalianum,-84.45,11.56666,25.549999872843426,203.75
Myrtaceae,Psidium friedrichsthalianum,-87.6667,14.5833,24.36666663487752,129.58333333333334
Myrtaceae,Psidium friedrichsthalianum,-87.6,14.7167,23.600000381469727,128.66666666666666
Myrtaceae,Psidium friedrichsthalianum,-96.149444,18.110556,25.958333174387615,204.83333333333334
Myrtaceae,Psidium friedrichsthalianum,-79.83,9.15,26.549999872843426,199.25
Myrtaceae,Psidium friedrichsthalianum,-76.236756,3.572546,22.84166653951009,122.83333333333333
Myrtaceae,Psidium friedrichsthalianum,-94.616667,17.266667,25.208333174387615,298.6666666666667
Myrtaceae,Psidium friedrichsthalianum,-85.383333,12.283333,24.875,137.5
Myrtaceae,Psidium friedrichsthalianum,-66.9167,10.5,21.708333174387615,75.66666666666667
Myrtaceae,Psidium friedrichsthalianum,-87.785,14.931111,25.333333174387615,153.41666666666666
Myrtaceae,Psidium friedrichsthalianum,-87.1667,14.25,21.450000286102295,86.41666666666667
Myrtaceae,Psidium friedrichsthalianum,-86.26666,12.1,25.75833336512248,110.58333333333333
Myrtaceae,Psidium friedrichsthalianum,-86.511111,12.173611,26.083333492279053,111.83333333333333
Myrtaceae,Psidium friedrichsthalianum,-84.48333,11.78333,25.416666825612385,193.66666666666666
Myrtaceae,Psidium friedrichsthalianum,-86.244444,12.108333,26.18333339691162,137.16666666666666
Myrtaceae,Psidium friedrichsthalianum,-85.04416,13.62777,24.75,170.66666666666666
Myrtaceae,Psidium friedrichsthalianum,-86.293055,12.158333,26.94166660308838,138
Myrtaceae,Psidium friedrichsthalianum,-85.516667,11.466667,24.925000031789143,162.33333333333334
Myrtaceae,Psidium friedrichsthalianum,-83.19,9.6,23.43333339691162,266.75
Myrtaceae,Psidium friedrichsthalianum,-76.65144,5.6932,26.983333269755047,289.3333333333333
Myrtaceae,Psidium friedrichsthalianum,-97.888056,17.123889,21.84166669845581,140.66666666666666
Myrtaceae,Psidium friedrichsthalianum,-89.25,13.66667,22.583333333333332,157.66666666666666
Myrtaceae,Psidium friedrichsthalianum,-96.728333,18.690278,24.075000127156574,224.33333333333334
Myrtaceae,Psidium friedrichsthalianum,-96.675,18.675,24.674999872843426,224.66666666666666
Myrtaceae,Psidium friedrichsthalianum,-94.883333,18.266667,22.96666669845581,147.16666666666666
Myrtaceae,Psidium friedrichsthalianum,-94.861111,18.258333,23.62500015894572,131.16666666666666
Myrtaceae,Psidium friedrichsthalianum,-94.859167,18.254722,23.62500015894572,131.16666666666666
Myrtaceae,Psidium friedrichsthalianum,-94.861111,18.258333,23.62500015894572,131.16666666666666
Myrtaceae,Psidium friedrichsthalianum,-86.994722,15.267778,22.458333174387615,100.25
Myrtaceae,Psidium friedrichsthalianum,-85.878611,14.907778,23.175000031789143,109.25
Myrtaceae,Psidium friedrichsthalianum,-76.383333,6.666667,24.84999990463257,215.83333333333334
Myrtaceae,Psidium friedrichsthalianum,-73.08825,7.068625,22.883333206176758,131.41666666666666
Myrtaceae,Psidium friedrichsthalianum,-73.087277,7.066986,22.883333206176758,131.41666666666666
Myrtaceae,Psidium friedrichsthalianum,-97.783333,16.800617,24.18333355585734,118.5
Myrtaceae,Psidium friedrichsthalianum,-83.583335,8.466667,26.05833339691162,305.3333333333333
Myrtaceae,Psidium friedrichsthalianum,-83.55,8.45,25.458333333333332,291.5833333333333
Myrtaceae,Psidium friedrichsthalianum,-75.94319,5.69695,20.60000006357829,193.91666666666666
Myrtaceae,Psidium friedrichsthalianum,-96.208333,17.86,25.25833336512248,286.6666666666667
Myrtaceae,Psidium friedrichsthalianum,-96.103889,17.925556,25.02499993642171,252.83333333333334
Myrtaceae,Psidium friedrichsthalianum,-96.022222,17.872778,25.574999968210857,239.16666666666666
Myrtaceae,Psidium friedrichsthalianum,-91.018611,16.093056,25.824999968210857,239.75
