familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Quararibea asterolepis,-74.911191,6.36026,22.80833355585734,238.5
Malvaceae,Quararibea asterolepis,-74.840823,6.14728,24.041666507720947,245.83333333333334
Malvaceae,Quararibea asterolepis,-80.083,-0.017,24.716666380564373,79.83333333333333
Malvaceae,Quararibea asterolepis,-79.35,-2.567,22.350000222524006,113.83333333333333
Malvaceae,Quararibea asterolepis,-76.956173,7.556571,27.40833314259847,252.75
Malvaceae,Quararibea asterolepis,-76.115361,4.779222,18.90833330154419,172
Malvaceae,Quararibea asterolepis,-76.115361,4.779472,18.90833330154419,172
Malvaceae,Quararibea asterolepis,-76.114806,4.780194,18.90833330154419,172
Malvaceae,Quararibea asterolepis,-76.105194,4.723194,18.34166653951009,165.33333333333334
Malvaceae,Quararibea asterolepis,-76.105056,4.722833,18.34166653951009,165.33333333333334
Malvaceae,Quararibea asterolepis,-76.138583,4.745167,18.74166663487752,186
Malvaceae,Quararibea asterolepis,-76.111917,4.77875,18.90833330154419,172
Malvaceae,Quararibea asterolepis,-76.111861,4.778778,18.90833330154419,172
Malvaceae,Quararibea asterolepis,-76.111556,4.779278,18.90833330154419,172
Malvaceae,Quararibea asterolepis,-76.023083,4.900806,18.34999990463257,178.41666666666666
Malvaceae,Quararibea asterolepis,-83.337776,8.406493,26.258333206176758,304.9166666666667
Malvaceae,Quararibea asterolepis,-80.14742,8.61297,23.733333110809326,203.75
Malvaceae,Quararibea asterolepis,-80.110717,8.614236,23.72499990463257,198.58333333333334
Malvaceae,Quararibea asterolepis,-75.565188,7.202489,25.391666571299236,208.58333333333334
Malvaceae,Quararibea asterolepis,-75.504906,7.23216,25.28333346048991,219.5
Malvaceae,Quararibea asterolepis,-75.501116,7.231261,25.28333346048991,219.5
Malvaceae,Quararibea asterolepis,-75.501026,7.23126,25.28333346048991,219.5
Malvaceae,Quararibea asterolepis,-75.500999,7.231215,25.28333346048991,219.5
Malvaceae,Quararibea asterolepis,-75.46668,7.235217,24.391666730244953,226.91666666666666
Malvaceae,Quararibea asterolepis,-76.285971,4.316255,18.89999993642171,171.91666666666666
Malvaceae,Quararibea asterolepis,-75.858526,6.04167,25.233333587646484,179.25
Malvaceae,Quararibea asterolepis,-75.852799,6.038727,25.12500015894572,194.16666666666666
Malvaceae,Quararibea asterolepis,-75.030209,9.08699,27.87500015894572,131.83333333333334
Malvaceae,Quararibea asterolepis,-80.111357,8.614476,23.72499990463257,198.58333333333334
Malvaceae,Quararibea asterolepis,-75.587722,5.677889,24.30833355585734,188.25
Malvaceae,Quararibea asterolepis,-83.728784,8.636387,26.050000031789143,295.5
Malvaceae,Quararibea asterolepis,-84.18806,9.97028,22.18333339691162,219.91666666666666
Malvaceae,Quararibea asterolepis,-82.967972,8.792556,21.016666730244953,239.83333333333334
Malvaceae,Quararibea asterolepis,-75.056396,7.3167,25.233333110809326,297.5833333333333
Malvaceae,Quararibea asterolepis,-78.11666,8.66666,26.675000031789143,188.75
Malvaceae,Quararibea asterolepis,-77.733333,7.866667,23.100000222524006,241.91666666666666
Malvaceae,Quararibea asterolepis,-77.733333,8.133333,26.958333333333332,168.08333333333334
