familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Quararibea costaricensis,-84.616667,10.283333,20.641666571299236,276.0833333333333
Malvaceae,Quararibea costaricensis,-84.63527,10.35194,22.950000127156574,331.1666666666667
Malvaceae,Quararibea costaricensis,-85.036806,10.722937,23.05833339691162,280
Malvaceae,Quararibea costaricensis,-84.46666,10.28333,22.266666571299236,284
Malvaceae,Quararibea costaricensis,-84.46,10.28,22.266666571299236,284
Malvaceae,Quararibea costaricensis,-84.830556,10.355556,18.824999968210857,228.25
Malvaceae,Quararibea costaricensis,-83.9875,10.059722,19.641666730244953,278.9166666666667
Malvaceae,Quararibea costaricensis,-83.9875,10.059722,19.641666730244953,278.9166666666667
Malvaceae,Quararibea costaricensis,-84.95,10.816667,26.25833336512248,227.58333333333334
Malvaceae,Quararibea costaricensis,-84.8,10.3,18.574999968210857,210.08333333333334
Malvaceae,Quararibea costaricensis,-84.46,10.27,21.958333492279053,292.0833333333333
Malvaceae,Quararibea costaricensis,-83.82,10.11,21.708333015441895,310.25
Malvaceae,Quararibea costaricensis,-83.7892,9.7008,17.06666660308838,258
Malvaceae,Quararibea costaricensis,-84.800003,10.3,18.699999968210857,200.83333333333334
Malvaceae,Quararibea costaricensis,-84.8,10.3,18.574999968210857,210.08333333333334
Malvaceae,Quararibea costaricensis,-84.83,10.35,18.5583332379659,212.75
Malvaceae,Quararibea costaricensis,-84.61,10.28,21.075000127156574,285.8333333333333
Malvaceae,Quararibea costaricensis,-84.78,10.35,18.583333174387615,280.5833333333333
Malvaceae,Quararibea costaricensis,-84.8,10.366667,20.291666666666668,282.3333333333333
Malvaceae,Quararibea costaricensis,-84.81,10.3,19.1916667620341,181.5
Malvaceae,Quararibea costaricensis,-84.95,10.816667,26.25833336512248,227.58333333333334
Malvaceae,Quararibea costaricensis,-84.995833,10.720833,22.9333332379659,275.9166666666667
Malvaceae,Quararibea costaricensis,-84.825,10.275,22.37500015894572,205.25
Malvaceae,Quararibea costaricensis,-84.82,10.27,22.37500015894572,205.25
Malvaceae,Quararibea costaricensis,-84.825,10.275,22.37500015894572,205.25
Malvaceae,Quararibea costaricensis,-84.69,10.44,20.924999872843426,297.9166666666667
Malvaceae,Quararibea costaricensis,-84.69,10.44,20.924999872843426,297.9166666666667
Malvaceae,Quararibea costaricensis,-84.46,10.28,22.266666571299236,284
Malvaceae,Quararibea costaricensis,-84.46,10.28,22.266666571299236,284
Malvaceae,Quararibea costaricensis,-84.83,10.33,19.083333492279053,200.25
Malvaceae,Quararibea costaricensis,-84.83,10.33,19.083333492279053,200.25
Malvaceae,Quararibea costaricensis,-83.98,10.05,18.65833346048991,298
Malvaceae,Quararibea costaricensis,-84.78055,10.29722,18.616666475931805,253.41666666666666
Malvaceae,Quararibea costaricensis,-83.47,9.42,9.03333338101705,186.33333333333334
Malvaceae,Quararibea costaricensis,-84.69,10.44,20.924999872843426,297.9166666666667
Malvaceae,Quararibea costaricensis,-84.6,10.58,25.541666666666668,271.25
Malvaceae,Quararibea costaricensis,-83.82,10.11,21.708333015441895,310.25
Malvaceae,Quararibea costaricensis,-83.825,10.113889,21.708333015441895,310.25
Malvaceae,Quararibea costaricensis,-84.7,10.241667,19.40833330154419,252.58333333333334
Malvaceae,Quararibea costaricensis,-84.83333,10.78333,26.34166669845581,243.25
Malvaceae,Quararibea costaricensis,-84.80666,10.3175,17.65833314259847,214.41666666666666
Malvaceae,Quararibea costaricensis,-84.80416,10.30944,18.28333330154419,196.58333333333334
Malvaceae,Quararibea costaricensis,-84.75,10.33,18.43333371480306,275.9166666666667
Malvaceae,Quararibea costaricensis,-84.833333,10.3,20.90833346048991,208.66666666666666
Malvaceae,Quararibea costaricensis,-84.83333,10.33333,19.083333492279053,200.25
Malvaceae,Quararibea costaricensis,-84.833333,10.333333,19.083333492279053,200.25
Malvaceae,Quararibea costaricensis,-84.83,10.33,19.083333492279053,200.25
Malvaceae,Quararibea costaricensis,-84.73861,10.30666,21.0583332379659,284.4166666666667
Malvaceae,Quararibea costaricensis,-84.833333,10.333333,19.083333492279053,200.25
Malvaceae,Quararibea costaricensis,-84.80861,10.28416,20.43333339691162,187.5
Malvaceae,Quararibea costaricensis,-84.8,10.366667,20.291666666666668,282.3333333333333
Malvaceae,Quararibea costaricensis,-84.783333,10.35,18.583333174387615,280.5833333333333
Malvaceae,Quararibea costaricensis,-84.83,10.33,19.083333492279053,200.25
Malvaceae,Quararibea costaricensis,-83.95,10.03,17.583333333333332,308.8333333333333
Malvaceae,Quararibea costaricensis,-84.3,10.21,18.625,286.75
Malvaceae,Quararibea costaricensis,-84.8,10.36,19.28333314259847,278.3333333333333
Malvaceae,Quararibea costaricensis,-84.31,10.25,17.27500009536743,274.25
Malvaceae,Quararibea costaricensis,-85.3,10.76,21.916666825612385,202.25
Malvaceae,Quararibea costaricensis,-85.327278,10.849528,20.59166669845581,274.0833333333333
Malvaceae,Quararibea costaricensis,-85.3,10.766667,21.21666669845581,192.83333333333334
Malvaceae,Quararibea costaricensis,-84.8,10.366667,20.291666666666668,282.3333333333333
Malvaceae,Quararibea costaricensis,-84.61,10.21,20.09999990463257,285.6666666666667
Malvaceae,Quararibea costaricensis,-84.658333,10.452778,24.68333339691162,298.9166666666667
Malvaceae,Quararibea costaricensis,-84.75,10.33,18.43333371480306,275.9166666666667
Malvaceae,Quararibea costaricensis,-84.830556,10.355556,18.824999968210857,228.25
Malvaceae,Quararibea costaricensis,-83.9875,10.059722,19.641666730244953,278.9166666666667
Malvaceae,Quararibea costaricensis,-83.789346,9.701105,17.06666660308838,258
Malvaceae,Quararibea costaricensis,-83.8,9.76,18.916666825612385,236.33333333333334
Malvaceae,Quararibea costaricensis,-84.991667,10.580556,22.266666571299236,220.41666666666666
Malvaceae,Quararibea costaricensis,-85.04089,10.712528,22.266666571299236,282.5833333333333
Malvaceae,Quararibea costaricensis,-84.73,10.3,20.391666730244953,286.0833333333333
Malvaceae,Quararibea costaricensis,-84.3,10.21666,18.625,286.75
Malvaceae,Quararibea costaricensis,-84.3,10.21,18.625,286.75
Malvaceae,Quararibea costaricensis,-84.80944,10.30416,19.075000286102295,188.25
Malvaceae,Quararibea costaricensis,-84.80944,10.30416,19.075000286102295,188.25
Malvaceae,Quararibea costaricensis,-84.80944,10.30416,19.075000286102295,188.25
