familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Quararibea parvifolia,-84.653031,10.453016,24.68333339691162,298.9166666666667
Malvaceae,Quararibea parvifolia,-84.332428,10.694346,25.741666793823242,279.6666666666667
Malvaceae,Quararibea parvifolia,-84.01,10.43,25.949999809265137,317.4166666666667
Malvaceae,Quararibea parvifolia,-83.55,9.78,19.375000317891438,271.6666666666667
Malvaceae,Quararibea parvifolia,-83.41638,9.81888,19.800000031789143,248.08333333333334
Malvaceae,Quararibea parvifolia,-84.003611,10.431389,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-84.01,10.43,25.949999809265137,317.4166666666667
Malvaceae,Quararibea parvifolia,-84,10.5,26.02499993642171,310.25
Malvaceae,Quararibea parvifolia,-84.04,10.4,25.424999713897705,310.6666666666667
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-84.01666,10.43333,25.949999809265137,317.4166666666667
Malvaceae,Quararibea parvifolia,-84.01,10.43,25.949999809265137,317.4166666666667
Malvaceae,Quararibea parvifolia,-84.01,10.43,25.949999809265137,317.4166666666667
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-83.80944,10.16111,23.916666666666668,301.3333333333333
Malvaceae,Quararibea parvifolia,-83.8,10.16,23.733333269755047,308.5
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-84.01666,10.43333,25.949999809265137,317.4166666666667
Malvaceae,Quararibea parvifolia,-84.01,10.43,25.949999809265137,317.4166666666667
Malvaceae,Quararibea parvifolia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Quararibea parvifolia,-83.677778,10.65,25.708333492279053,308.3333333333333
Malvaceae,Quararibea parvifolia,-83.67,10.65,26.050000190734863,305.75
Malvaceae,Quararibea parvifolia,-83.667,10.667,26.208333492279053,308.25
