familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fagaceae,Quercus oleoides,-93.475451,16.806752,23.500000317891438,86.5
Fagaceae,Quercus oleoides,-93.615622,17.815121,26.108333428700764,188.16666666666666
Fagaceae,Quercus oleoides,-93.554437,17.900779,26.225000222524006,181.33333333333334
Fagaceae,Quercus oleoides,-97.803512,22.085322,23.78333330154419,94.66666666666667
Fagaceae,Quercus oleoides,-93.828428,16.726097,24.033333619435627,75.16666666666667
Fagaceae,Quercus oleoides,-93.394705,16.801543,23.425000349680584,88.83333333333333
Fagaceae,Quercus oleoides,-93.457078,16.881338,22.416666825612385,97.5
Fagaceae,Quercus oleoides,-93.456654,16.878906,22.416666825612385,97.5
Fagaceae,Quercus oleoides,-83.161389,10.070833,26.28333330154419,285.9166666666667
Fagaceae,Quercus oleoides,-83.161,10.071,26.28333330154419,285.9166666666667
Fagaceae,Quercus oleoides,-98.55,20.633,18.700000127156574,99.16666666666667
Fagaceae,Quercus oleoides,-96.933,19.564,18.549999952316284,136.83333333333334
Fagaceae,Quercus oleoides,-96.13422,19.17377,25.758333524068195,124.58333333333333
Fagaceae,Quercus oleoides,-96.99929,18.8993,21.11666663487752,122.83333333333333
Fagaceae,Quercus oleoides,-98.33333,20.43333,18.358333190282185,140.33333333333334
Fagaceae,Quercus oleoides,-96.859444,19.2025,20.674999872843426,117.66666666666667
Fagaceae,Quercus oleoides,-88.235830000000007,16.93333,NA,NA
Fagaceae,Quercus oleoides,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fagaceae,Quercus oleoides,-88.36527,16.57861,NA,NA
Fagaceae,Quercus oleoides,-85.42638,10.63166,26.94166660308838,180.33333333333334
Fagaceae,Quercus oleoides,-88.38333,17.23333,25.90833330154419,172.5
Fagaceae,Quercus oleoides,-88.983333,16.966667,23.641666412353516,167.58333333333334
Fagaceae,Quercus oleoides,-88.558611,17.301944,25.708333492279053,164.5
Fagaceae,Quercus oleoides,-98.803889,21.272219,23.22499990463257,150.66666666666666
Fagaceae,Quercus oleoides,-96.72,18.811389,24.13333336512248,207.75
Fagaceae,Quercus oleoides,-86.678611,15.523333,25.21666669845581,94
Fagaceae,Quercus oleoides,-97.566528,21.624172,NA,NA
Fagaceae,Quercus oleoides,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fagaceae,Quercus oleoides,-88.48333,16.36666,NA,NA
Fagaceae,Quercus oleoides,-88.54777,16.56694,25.87500015894572,197.08333333333334
Fagaceae,Quercus oleoides,-88.40416,16.56611,26.30833339691162,191
Fagaceae,Quercus oleoides,-95.8806,18.1069,26.141666889190674,161.91666666666666
Fagaceae,Quercus oleoides,-97.766667,21.9,23.674999872843426,109.58333333333333
Fagaceae,Quercus oleoides,-87.051944,14.023611,19.516666889190674,110.83333333333333
Fagaceae,Quercus oleoides,-87.04694,14.02805,20.63333336512248,100.08333333333333
Fagaceae,Quercus oleoides,-87.02777,14.04333,20.483333428700764,102.25
Fagaceae,Quercus oleoides,-86.97916,13.90361,20.333333174387615,104.5
Fagaceae,Quercus oleoides,-87.65,14.46666,24.449999968210857,104.83333333333333
Fagaceae,Quercus oleoides,-87.05194,14.02361,19.516666889190674,110.83333333333333
Fagaceae,Quercus oleoides,-87.02277,14.01666,22.633333524068195,74.25
Fagaceae,Quercus oleoides,-86.97916,13.90333,20.333333174387615,104.5
Fagaceae,Quercus oleoides,-97.886111,22.354722,24.199999809265137,82.08333333333333
Fagaceae,Quercus oleoides,-97.877778,22.274722,24.291666825612385,81.5
Fagaceae,Quercus oleoides,-97.846111,22.286389,24.62499984105428,83.41666666666667
Fagaceae,Quercus oleoides,-98.863056,21.441667,24.84166653951009,163.83333333333334
Fagaceae,Quercus oleoides,-97.94,22.56,24.40833314259847,82.75
Fagaceae,Quercus oleoides,-97.88,22.31,24.208333174387615,83.33333333333333
Fagaceae,Quercus oleoides,-97.877778,22.274722,24.291666825612385,81.5
Fagaceae,Quercus oleoides,-97.82,22.23,24.483333269755047,83.83333333333333
Fagaceae,Quercus oleoides,-97.725,20.477778,22.40833314259847,143.66666666666666
Fagaceae,Quercus oleoides,-97.682222,20.465278,22.71666669845581,138.08333333333334
Fagaceae,Quercus oleoides,-97.006667,20.093056,24.399999777475994,146.08333333333334
Fagaceae,Quercus oleoides,-97.006667,20.0975,24.399999777475994,146.08333333333334
Fagaceae,Quercus oleoides,-96.096944,18.190278,25.86666663487752,175.83333333333334
Fagaceae,Quercus oleoides,-95.800833,18.373333,25.81666660308838,123.66666666666667
Fagaceae,Quercus oleoides,-95.031667,16.891389,25.4416667620341,143.5
Fagaceae,Quercus oleoides,-92.730833,17.140278,23.06666660308838,205.5
Fagaceae,Quercus oleoides,-92.716389,17.118056,22.25000015894572,173
Fagaceae,Quercus oleoides,-92.651667,17.216389,24.65000009536743,229.58333333333334
Fagaceae,Quercus oleoides,-92.593889,17.745556,26.733333269755047,210.08333333333334
Fagaceae,Quercus oleoides,-97.703889,20.451944,22.908333619435627,133.33333333333334
Fagaceae,Quercus oleoides,-96.895833,18.035833,22.40833346048991,166.5
Fagaceae,Quercus oleoides,-95.264167,16.836667,21.833333174387615,91.25
Fagaceae,Quercus oleoides,-95.009444,16.885,25.366666475931805,146.08333333333334
Fagaceae,Quercus oleoides,-88.29694,16.9225,25.949999968210857,187.16666666666666
Fagaceae,Quercus oleoides,-99.303889,22.853889,23.383333524068195,113.16666666666667
Fagaceae,Quercus oleoides,-99.169444,22.544722,24.108333428700764,113.33333333333333
Fagaceae,Quercus oleoides,-97.868333,20.408333,21.891666730244953,169.83333333333334
Fagaceae,Quercus oleoides,-97.831667,20.363611,21.141666730244953,189.25
Fagaceae,Quercus oleoides,-97.725278,20.455833,23.199999968210857,124
Fagaceae,Quercus oleoides,-97.067778,20.045556,24.09166669845581,147.25
Fagaceae,Quercus oleoides,-95.890833,18.838611,25.383333206176758,125.58333333333333
Fagaceae,Quercus oleoides,-95.219167,18.440278,25.083333333333332,175.66666666666666
Fagaceae,Quercus oleoides,-95.148056,18.060833,25.858333269755047,120.75
Fagaceae,Quercus oleoides,-95.025556,17.248611,25.63333336512248,229.33333333333334
Fagaceae,Quercus oleoides,-95.009444,16.851944,25.508333206176758,135.08333333333334
Fagaceae,Quercus oleoides,-93.373611,16.774167,23.216666380564373,85
Fagaceae,Quercus oleoides,-98.968056,21.489444,24.44166660308838,161.08333333333334
Fagaceae,Quercus oleoides,-98.01472,23.11389,23.24999984105428,80.75
Fagaceae,Quercus oleoides,-97.877778,22.274722,24.291666825612385,81.5
Fagaceae,Quercus oleoides,-97.686111,20.489444,22.983333428700764,124.41666666666667
Fagaceae,Quercus oleoides,-96.134722,19.0375,25.1916667620341,117.5
Fagaceae,Quercus oleoides,-98.757778,21.248333,24.28333330154419,152.58333333333334
Fagaceae,Quercus oleoides,-97.874322,22.2664,24.391666889190674,82.33333333333333
Fagaceae,Quercus oleoides,-96.960278,19.149722,19.483333587646484,139
Fagaceae,Quercus oleoides,-89.616944,17.215556,24.799999872843426,138.25
Fagaceae,Quercus oleoides,-89.51805,17.24277,24.949999968210857,135.5
Fagaceae,Quercus oleoides,-98.055808,23.011122,23.050000031789143,80.33333333333333
Fagaceae,Quercus oleoides,-96.325,18.291667,25.86666663487752,176.83333333333334
Fagaceae,Quercus oleoides,-98.875,21.441667,24.84999990463257,165.16666666666666
Fagaceae,Quercus oleoides,-97.909133,22.404386,24.324999809265137,82.33333333333333
Fagaceae,Quercus oleoides,-96.858333,19.925,23.35000006357829,157.41666666666666
Fagaceae,Quercus oleoides,-96.728056,19.923333,23.883333206176758,139.25
Fagaceae,Quercus oleoides,-96.625,19.991667,24.53333346048991,131.5
Fagaceae,Quercus oleoides,-98.875,21.208333,22.824999968210857,138.5
Fagaceae,Quercus oleoides,-98.723333,21.227222,24.09999990463257,151.66666666666666
Fagaceae,Quercus oleoides,-98.675,21.208333,24.141666571299236,147.91666666666666
Fagaceae,Quercus oleoides,-97.960556,20.279722,18.924999872843426,235.58333333333334
Fagaceae,Quercus oleoides,-97.880278,20.383333,22.40833314259847,150.83333333333334
Fagaceae,Quercus oleoides,-97.858333,20.741667,22.375000317891438,137.75
Fagaceae,Quercus oleoides,-97.727785,20.479643,22.15833346048991,153.16666666666666
Fagaceae,Quercus oleoides,-97.475,19.858333,15.416666825612387,90.58333333333333
Fagaceae,Quercus oleoides,-96.900278,20.125,24.383333206176758,146.66666666666666
Fagaceae,Quercus oleoides,-96.825,19.991667,22.166666825612385,166.66666666666666
Fagaceae,Quercus oleoides,-96.725,19.891667,23.74166663487752,138.33333333333334
Fagaceae,Quercus oleoides,-96.6225,19.952778,24.333333174387615,131.91666666666666
Fagaceae,Quercus oleoides,-96.375,17.858333,23.325000127156574,264.5
Fagaceae,Quercus oleoides,-94.53639,17.5231,25.56666660308838,255.91666666666666
Fagaceae,Quercus oleoides,-94.435278,18.137778,26.133333047231037,234.58333333333334
Fagaceae,Quercus oleoides,-94.408333,18.125,26.216666380564373,237.83333333333334
Fagaceae,Quercus oleoides,-94.391667,18.125,26.216666380564373,238.83333333333334
Fagaceae,Quercus oleoides,-86.7,13.9,24.10000006357829,74.08333333333333
Fagaceae,Quercus oleoides,-86.6997942,13.90092041,23.933332920074463,76.33333333333333
Fagaceae,Quercus oleoides,-85.44,10.46,27.53333346048991,185.16666666666666
Fagaceae,Quercus oleoides,-85.43975694,10.46110143,27.53333346048991,185.16666666666666
Fagaceae,Quercus oleoides,-96.900278,20.125,24.383333206176758,146.66666666666666
Fagaceae,Quercus oleoides,-96.851389,18.066667,22.825000127156574,208.66666666666666
Fagaceae,Quercus oleoides,-96.770833,19.8825,23.016666571299236,151.75
Fagaceae,Quercus oleoides,-96.149444,18.092778,25.949999809265137,213.91666666666666
Fagaceae,Quercus oleoides,-96.141667,18.091667,25.949999809265137,213.91666666666666
