familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Arecaceae,Raphia taedigera,-83.589821,8.480183,26.041666666666668,310.9166666666667
Arecaceae,Raphia taedigera,-83.505875,10.547559,26.333333015441895,334.8333333333333
Arecaceae,Raphia taedigera,-83.505875,10.547559,26.333333015441895,334.8333333333333
Arecaceae,Raphia taedigera,-83.507418,10.532733,NA,NA
Arecaceae,Raphia taedigera,-83.505875,10.547559,26.333333015441895,334.8333333333333
Arecaceae,Raphia taedigera,-83.505875,10.547559,26.333333015441895,334.8333333333333
Arecaceae,Raphia taedigera,-76.716111,6.207111,27.55833355585734,483.9166666666667
Arecaceae,Raphia taedigera,-83.509556,10.532567,26.241666952768963,369
Arecaceae,Raphia taedigera,-83.653174,10.690126,26.266666730244953,308.5
Arecaceae,Raphia taedigera,-83.652395,10.690696,26.266666730244953,308.5
Arecaceae,Raphia taedigera,-77.171417,7.412861,27.383333206176758,262.8333333333333
Arecaceae,Raphia taedigera,-83.522611,10.569484,26.31666644414266,357.3333333333333
Arecaceae,Raphia taedigera,-83.563295,10.550463,26.275000254313152,296.0833333333333
Arecaceae,Raphia taedigera,-77.034944,8.054333,26.96666669845581,176.66666666666666
Arecaceae,Raphia taedigera,-82.603126,9.586411,26.38333336512248,246
Arecaceae,Raphia taedigera,-83.525042,10.585108,26.258333524068195,377
Arecaceae,Raphia taedigera,-83.378465,10.329415,26.175000190734863,295.25
Arecaceae,Raphia taedigera,-83.28076,10.219744,NA,NA
Arecaceae,Raphia taedigera,-83.240522,10.163224,26.233333269755047,282.9166666666667
Arecaceae,Raphia taedigera,-83.286202,10.229173,26.233333428700764,278.5
Arecaceae,Raphia taedigera,-83.285742,10.228542,26.233333428700764,278.5
Arecaceae,Raphia taedigera,-83.279427,10.189777,26.233333269755047,299.0833333333333
Arecaceae,Raphia taedigera,-84.8978,12.8614,24.808332920074463,191.83333333333334
Arecaceae,Raphia taedigera,-52.8731,-10.8339,25.53333346048991,172.25
Arecaceae,Raphia taedigera,-83.7,10.916667,26.358333428700764,373.1666666666667
Arecaceae,Raphia taedigera,-83.7,10.916667,26.358333428700764,373.1666666666667
Arecaceae,Raphia taedigera,-84.73,11.03,26.233333110809326,224.83333333333334
Arecaceae,Raphia taedigera,-83.74583,12.075,25.99999984105428,276.9166666666667
Arecaceae,Raphia taedigera,-48.1756,-21.7944,20.791666666666668,115.66666666666667
Arecaceae,Raphia taedigera,-83.02,9.95,26.291666666666668,277.75
Arecaceae,Raphia taedigera,-80.04722,9.28027,26.583333651224773,229.83333333333334
Arecaceae,Raphia taedigera,-77.11888,7.44055,27.391666571299236,255.41666666666666
Arecaceae,Raphia taedigera,-77.11,7.433611,27.391666571299236,263
Arecaceae,Raphia taedigera,-85.066667,10.7,23.59999990463257,253.75
Arecaceae,Raphia taedigera,-82.82638,9.73944,NA,NA
Arecaceae,Raphia taedigera,-80.56666,9.07083,NA,NA
Arecaceae,Raphia taedigera,-77.039444,7.710278,27.27500009536743,230
Arecaceae,Raphia taedigera,-52.316414,4.94422,25.991666793823242,221.08333333333334
Arecaceae,Raphia taedigera,-79.13,9.45,26.641666571299236,229.75
Arecaceae,Raphia taedigera,-79.066667,9.458333,26.675000031789143,190.41666666666666
Arecaceae,Raphia taedigera,-83.63,10.68,26.299999872843426,305.3333333333333
Arecaceae,Raphia taedigera,-83.8667,10,13.466666539510092,317.3333333333333
Arecaceae,Raphia taedigera,-83.5,10.53,26.28333346048991,347.5
Arecaceae,Raphia taedigera,-83.5,10.533333,26.28333346048991,347.5
Arecaceae,Raphia taedigera,-77.125833,7.886667,26.766666571299236,181.83333333333334
Arecaceae,Raphia taedigera,-83.55,8.7,25.19166644414266,257.0833333333333
Arecaceae,Raphia taedigera,-83.377779,8.772222,25.983333269755047,300.5
Arecaceae,Raphia taedigera,-83.37,8.77,25.97499990463257,298.5833333333333
Arecaceae,Raphia taedigera,-48.45,-1.35,26.633333206176758,239.25
Arecaceae,Raphia taedigera,-48.44,-1.34,26.59999990463257,236.16666666666666
Arecaceae,Raphia taedigera,-83.96666,10.8,25.041666825612385,295
Arecaceae,Raphia taedigera,-83.9,11.033333,26.0666667620341,302.75
Arecaceae,Raphia taedigera,-84.167,10.85,25.44166660308838,279.6666666666667
Arecaceae,Raphia taedigera,-84.166667,10.85,25.44166660308838,279.6666666666667
Arecaceae,Raphia taedigera,-84.804444,10.873889,26.34166669845581,249.58333333333334
Arecaceae,Raphia taedigera,-48.433611,-1.464444,26.449999968210857,223.41666666666666
Arecaceae,Raphia taedigera,-48.976111,-1.619167,26.47499990463257,217.66666666666666
Arecaceae,Raphia taedigera,-77.173833,8.432333,26.350000381469727,146.25
Arecaceae,Raphia taedigera,-77.173833,8.432333,26.350000381469727,146.25
