familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rutaceae,Ravenia rosea,-83.53,8.72,24.208333174387615,289.3333333333333
Rutaceae,Ravenia rosea,-83.73,10.64,26.06666660308838,304.9166666666667
Rutaceae,Ravenia rosea,-83.58,8.72,24.63333336512248,255.83333333333334
Rutaceae,Ravenia rosea,-83.55,8.65,25.12500015894572,269.5
Rutaceae,Ravenia rosea,-83.96,10.25,24.641666730244953,300.1666666666667
Rutaceae,Ravenia rosea,-84.18,10.76,25.89999993642171,287.4166666666667
Rutaceae,Ravenia rosea,-84.63333,14,24.11666663487752,220
Rutaceae,Ravenia rosea,-84.8978,12.8614,24.808332920074463,191.83333333333334
Rutaceae,Ravenia rosea,-75.5,7,16.18333339691162,220.91666666666666
Rutaceae,Ravenia rosea,-84.5,10.5,26.18333339691162,277.0833333333333
Rutaceae,Ravenia rosea,-85.25,10.5,27.266666571299236,168.83333333333334
Rutaceae,Ravenia rosea,-84.25,11.08333,24.575000127156574,288.75
Rutaceae,Ravenia rosea,-85.3208334,14.2302778,24.97499990463257,168.25
Rutaceae,Ravenia rosea,-83.7,12.66666,25.166666825612385,223.5
Rutaceae,Ravenia rosea,-84.3144444,11.0411111,25.600000381469727,268.3333333333333
Rutaceae,Ravenia rosea,-85.15055,14.41027,25.266666730244953,182.41666666666666
Rutaceae,Ravenia rosea,-85.15,14.38333,25.25,184.83333333333334
Rutaceae,Ravenia rosea,-85.14666,14.47083,25.199999968210857,182.75
Rutaceae,Ravenia rosea,-85.14583,14.41194,25.358333587646484,183.41666666666666
Rutaceae,Ravenia rosea,-85.08333,14.48333,25.35000006357829,189.5
Rutaceae,Ravenia rosea,-85.05,14.46666,24.75833336512248,191.16666666666666
Rutaceae,Ravenia rosea,-84.4547222,11.055,25.858333269755047,244.75
Rutaceae,Ravenia rosea,-85.15,14.33333,25.11666663487752,182.5
Rutaceae,Ravenia rosea,-85.06666,14.51666,25.116666475931805,189.33333333333334
Rutaceae,Ravenia rosea,-85.4908333,14.065,24.00833336512248,158.25
Rutaceae,Ravenia rosea,-85.4302778,14.1,25.19166660308838,161.5
Rutaceae,Ravenia rosea,-85.3208334,14.2302778,24.97499990463257,168.25
Rutaceae,Ravenia rosea,-85.3208334,14.2302778,24.97499990463257,168.25
Rutaceae,Ravenia rosea,-85.05,14.3666667,25.24166663487752,187.33333333333334
Rutaceae,Ravenia rosea,-85.0941666,13.0536111,25.150000254313152,184.33333333333334
Rutaceae,Ravenia rosea,-85.333333,10.916667,24.60000006357829,248
Rutaceae,Ravenia rosea,-84.866667,10.75,26.225000222524006,236.33333333333334
Rutaceae,Ravenia rosea,-83.566667,10.416667,26.116666952768963,298.5833333333333
Rutaceae,Ravenia rosea,-83.75,10.633333,26.0583332379659,306.25
Rutaceae,Ravenia rosea,-83.566667,10.45,26.166666825612385,295.0833333333333
Rutaceae,Ravenia rosea,-85.427778,10.990556,22.574999968210857,249.33333333333334
Rutaceae,Ravenia rosea,-85.408333,11.033333,24.475000222524006,232.25
Rutaceae,Ravenia rosea,-84,10.466667,26.041666666666668,305.0833333333333
Rutaceae,Ravenia rosea,-83.538889,8.722222,24.550000031789143,287.5
Rutaceae,Ravenia rosea,-83.366667,8.766667,25.97499990463257,298.5833333333333
Rutaceae,Ravenia rosea,-84.883333,10.75,26.1916667620341,242.83333333333334
Rutaceae,Ravenia rosea,-83.575,8.575,25.46666669845581,250.58333333333334
Rutaceae,Ravenia rosea,-83.463099,8.729248,25.833333333333332,322
Rutaceae,Ravenia rosea,-85.408334,11.033333,24.641666571299236,230.25
Rutaceae,Ravenia rosea,-83.3,8.75,26.266666571299236,276.5833333333333
Rutaceae,Ravenia rosea,-83.05,9.419444,23.224999745686848,255.66666666666666
Rutaceae,Ravenia rosea,-83.736111,10.643889,26.074999968210857,304.5833333333333
Rutaceae,Ravenia rosea,-83.580556,8.716667,24.63333336512248,255.83333333333334
Rutaceae,Ravenia rosea,-83.580556,8.723611,24.63333336512248,255.83333333333334
Rutaceae,Ravenia rosea,-83.554167,8.659722,25.325000127156574,265.4166666666667
Rutaceae,Ravenia rosea,-83.961111,10.25,24.641666730244953,300.1666666666667
Rutaceae,Ravenia rosea,-83.736112,10.643889,26.074999968210857,304.5833333333333
Rutaceae,Ravenia rosea,-84.183333,10.766667,25.841666380564373,277.3333333333333
Rutaceae,Ravenia rosea,-83.788889,10.441667,26.05833339691162,301.75
Rutaceae,Ravenia rosea,-83.780556,10.45,26.041666825612385,305.3333333333333
Rutaceae,Ravenia rosea,-83.519444,8.672222,26.21666653951009,240.5
Rutaceae,Ravenia rosea,-84.043056000000007,9.483333,25.30833339691162,257.4166666666667
Rutaceae,Ravenia rosea,-83.450556,9.973333,24.291666666666668,281.75
Rutaceae,Ravenia rosea,-83.452778,9.972222,24.291666666666668,281.75
Rutaceae,Ravenia rosea,-83.788889,10.441667,26.05833339691162,301.75
Rutaceae,Ravenia rosea,-84.180556,10.686111,25.84999990463257,278.8333333333333
Rutaceae,Ravenia rosea,-84.14868,10.780154,25.841666380564373,281.9166666666667
Rutaceae,Ravenia rosea,-84.152917,10.755062,25.891666571299236,277.75
Rutaceae,Ravenia rosea,-84.105833,10.6425,25.80833339691162,293.5833333333333
Rutaceae,Ravenia rosea,-84.056978,10.644462,25.791666666666668,297.1666666666667
Rutaceae,Ravenia rosea,-85.427182,10.990357,22.574999968210857,249.33333333333334
Rutaceae,Ravenia rosea,-85.317889,10.943333,24.208333174387615,253
Rutaceae,Ravenia rosea,-85.317639,10.943222,24.208333174387615,253
Rutaceae,Ravenia rosea,-84.1805556,10.6861111,25.84999990463257,278.8333333333333
Rutaceae,Ravenia rosea,-84.61667,14.05,25.43333339691162,229.66666666666666
Rutaceae,Ravenia rosea,-84.35,11.33333,25.4333332379659,240.41666666666666
Rutaceae,Ravenia rosea,-83.2167,8.68333,25.69166644414266,249.16666666666666
Rutaceae,Ravenia rosea,-84.83,15.05,25.96666669845581,218.16666666666666
Rutaceae,Ravenia rosea,-84.7166667,15.5,26.25833336512248,242.58333333333334
Rutaceae,Ravenia rosea,-81.13444,8.53972,23,291.5
Rutaceae,Ravenia rosea,-81.12944,8.52388,22.53333346048991,296
Rutaceae,Ravenia rosea,-81.12944,8.52388,22.53333346048991,296
Rutaceae,Ravenia rosea,-81.12638,8.52277,22.53333346048991,296
Rutaceae,Ravenia rosea,-84.9,13.75,25.87499984105428,177.41666666666666
Rutaceae,Ravenia rosea,-81.12416,8.51222,21.47499990463257,285.4166666666667
Rutaceae,Ravenia rosea,-85,13.75,20.34166669845581,188.33333333333334
Rutaceae,Ravenia rosea,-84.98333,13.75,23.00833336512248,193.5
Rutaceae,Ravenia rosea,-84.95833,13.74166,25.00833336512248,180.91666666666666
