familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Verbenaceae,Rehdera trinervis,-90.35611,15.70222,25.21666669845581,357.0833333333333
Verbenaceae,Rehdera trinervis,-90.1792,15.7422,23.483333428700764,387.5
Verbenaceae,Rehdera trinervis,-102,23,17.06666660308838,30.666666666666668
Verbenaceae,Rehdera trinervis,-89.4,21.15,25.824999809265137,70.33333333333333
Verbenaceae,Rehdera trinervis,-88.1044,20.6797,25.84166669845581,94.83333333333333
Verbenaceae,Rehdera trinervis,-89,20.816667,25.78333346048991,84.25
Verbenaceae,Rehdera trinervis,-88.165,13.229722,24.983333269755047,155.33333333333334
Verbenaceae,Rehdera trinervis,-87.73,20.48,25.358333428700764,96
Verbenaceae,Rehdera trinervis,-85.36666,12.1,26.69166660308838,103
Verbenaceae,Rehdera trinervis,-89.513333,20.565278,25.75833336512248,91.58333333333333
Verbenaceae,Rehdera trinervis,-88.572222,20.670833,25.808332920074463,101.5
Verbenaceae,Rehdera trinervis,-89.41416,13.49555,26.225000381469727,152.66666666666666
Verbenaceae,Rehdera trinervis,-85.35,10.35,27.075000127156574,158.5
Verbenaceae,Rehdera trinervis,-85.33333,10.45,26.799999713897705,147.41666666666666
Verbenaceae,Rehdera trinervis,-88.36666,13.85,24.02500009536743,165.58333333333334
Verbenaceae,Rehdera trinervis,-85.61666,10.83333,25.858333110809326,146
Verbenaceae,Rehdera trinervis,-86.05,12.38333,26.958333333333332,120.66666666666667
Verbenaceae,Rehdera trinervis,-85.37,10.68,25.366666475931805,150.41666666666666
Verbenaceae,Rehdera trinervis,-86.11666,12.71666,25.083333174387615,99.91666666666667
Verbenaceae,Rehdera trinervis,-85.616667,10.85,25.799999713897705,140.16666666666666
Verbenaceae,Rehdera trinervis,-85.61,10.85,25.766666730244953,139.66666666666666
Verbenaceae,Rehdera trinervis,-85.583333,10.833333,26.5,137.41666666666666
Verbenaceae,Rehdera trinervis,-85.25,10.56,26.824999809265137,159.41666666666666
Verbenaceae,Rehdera trinervis,-86.033333,12.616667,24.925000031789143,107
Verbenaceae,Rehdera trinervis,-86.01666,12.63333,25.00000015894572,107.5
Verbenaceae,Rehdera trinervis,-85.98333,12.63333,24.34999990463257,106.75
Verbenaceae,Rehdera trinervis,-87.68333,14.33333,23.825000127156574,105.25
Verbenaceae,Rehdera trinervis,-85.58333,10.83333,26.5,137.41666666666666
